"gap_id","priority","entity_or_id","role","url","expected_extension","status","method","tls_validation","warning","http_status","content_type","effective_url","local_filename","bytes","sha256","magic_ok","retrieved_utc","error"
"2001","P2","bcra_boldat202505_tipo_titular","Boletín Estadístico mayo 2025 · tipo de titular/destino","https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf",".pdf","DOWNLOAD_FAILED","curl.exe + Invoke-WebRequest","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","","","https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf","","0","","False","2026-08-28T20:00:21.5570471Z","curl: curl.exe : curl: (6) Could not resolve host: www7.bcra.gob.ar
En C:\Users\miyur\Downloads\SOURCE_BACKFILL_TOOL_V96_ROUND3\tool_round3\Download-SourceBackfill.ps1: 84 Carácter: 17
+         $meta = & $CurlCommand.Source @args 2> $stderr
+                 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (curl: (6) Could...ww7.bcra.gob.ar:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
curl: (6) Could not resolve host: www7.bcra.gob.ar
curl: (6) Could not resolve host: www7.bcra.gob.ar
curl: (6) Could not resolve host: www7.bcra.gob.ar
curl: (6) Could not resolve host: www7.bcra.gob.ar | IWR: No se puede resolver el nombre remoto: 'www7.bcra.gob.ar'"
"2002","P2","bcra_ief_1s2018_ciclo","IEF · primer semestre 2018","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0118.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0118.pdf","2002_P2_bcra_ief_1s2018_ciclo.pdf","1423308","09e0305bf0cae9d40eb7f6002bc4d0b28f4fc37d951761a882dafafee1de43cc","True","2026-08-28T20:00:22.9124294Z",""
"2003","P2","bcra_ief_1s2019_ciclo","IEF · primer semestre 2019","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0119.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0119.pdf","2003_P2_bcra_ief_1s2019_ciclo.pdf","902373","de9aca43185b3778dcbdf138bbebf0b85f21ed1b8516198605ec6c4c41532b49","True","2026-08-28T20:00:23.9655532Z",""
"2004","P2","bcra_ief_2s2023_ciclo","IEF · segundo semestre 2023","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0223.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0223.pdf","2004_P2_bcra_ief_2s2023_ciclo.pdf","1144797","8d69b6fb4e37719fe5e707598f6a3704fcf543da5e9500800cd0d3d8106c4f39","True","2026-08-28T20:00:24.5584313Z",""
"2005","P2","bcra_iif_1s2024_ahorro_ph","Informe de Inclusión Financiera · primer semestre 2024","https://www.bcra.gob.ar/archivos/pdfs/PublicacionesEstadisticas/Informe-inclusion-%20financiera-octubre-24.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bcra.gob.ar/archivos/pdfs/PublicacionesEstadisticas/Informe-inclusion-%20financiera-octubre-24.pdf","2005_P2_bcra_iif_1s2024_ahorro_ph.pdf","2122951","d86e20fd424bdd1790fda2d9b262258846bb9a6d3ba2555cd74d46d8916a7798","True","2026-08-28T20:00:25.5091687Z",""
"2006","P2","bcra_iif_1s2025_mora","Informe de Inclusión Financiera primer semestre 2025","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informe-inclusion-financiera-octubre-25.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informe-inclusion-financiera-octubre-25.pdf","2006_P2_bcra_iif_1s2025_mora.pdf","2404631","07a210eecaa7d45c3afa34042718be4a1489d418598ba6a996da0f64070bc50b","True","2026-08-28T20:00:26.8954579Z",""
"2007","P2","bcra_iif_2s2024_ahorro_ph","Informe de Inclusión Financiera · segundo semestre 2024","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informe-inclusion-financiera-abril-25.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informe-inclusion-financiera-abril-25.pdf","2007_P2_bcra_iif_2s2024_ahorro_ph.pdf","2319050","1a93f4c386a1be093656ae21a2949224569ef73cc40631a6e71ca85f7eb5e5ad","True","2026-08-28T20:00:28.7383257Z",""
"2008","P2","bcra_iif_2s2025_ahorro_ph","Informe de Inclusión Financiera · segundo semestre 2025","https://www.bcra.gob.ar/archivos/Pdfs/publicacionesestadisticas/informes/informe-inclusion-financiera-2026-04.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/publicacionesestadisticas/informes/informe-inclusion-financiera-2026-04.pdf","2008_P2_bcra_iif_2s2025_ahorro_ph.pdf","1877423","791835603eaf4d31bf637cccc72f8d5ee1e18e8545ddf66cd248bb2ddd12d311","True","2026-08-28T20:00:30.3078964Z",""
"2009","P2","bcra_imm_dic2024_mora","Informe Monetario Mensual diciembre 2024","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informe-monetario-mensual-dic-24.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informe-monetario-mensual-dic-24.pdf","2009_P2_bcra_imm_dic2024_mora.pdf","2284708","488847eb4333927f21d5c655eb840d0b4d34419d4fb08a828fb2e2001b600824","True","2026-08-28T20:00:31.6817366Z",""
"2010","P2","bcra_imm_jun2014_a5590","Informe Monetario Mensual · junio 2014","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/bol0614.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/bol0614.pdf","2010_P2_bcra_imm_jun2014_a5590.pdf","486976","70bf8ab9521f1a52c3e434d78a892a716d0bd7b5d83b824f7558d103cacd0b0b","True","2026-08-28T20:00:32.1382946Z",""
