script,pre_v115_result,post_v115_result,interpretation
qa_v97.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,V97 requiere que una fuente recuperada después permanezca sin ruta/hash.
qa_v98.py,PASS,PASS,Compatible
qa_v100.py,PASS,PASS,Compatible
qa_v101.py,PASS,PASS,Compatible
qa_v102.py,PASS,PASS,Compatible
qa_v103.py,PASS,PASS,Compatible
qa_v104.py,PASS,PASS,Compatible
qa_v105.py,PASS,PASS,Compatible
qa_v106.py,PASS,PASS,Compatible
qa_v107.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Falla sólo porque congela conteos de catálogo/fuentes anteriores a V115.
qa_v108.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Falla sólo porque congela conteos de catálogo/fuentes anteriores a V115.
qa_v109.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Falla sólo porque congela conteos de catálogo/fuentes anteriores a V115.
qa_v110.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Falla sólo porque congela conteos de catálogo/fuentes anteriores a V115.
qa_v111.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Falla sólo porque congela conteos de catálogo/fuentes anteriores a V115.
qa_v112.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Falla sólo porque congela conteos de catálogo/fuentes anteriores a V115.
qa_v113.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Falla sólo porque congela conteos de catálogo/fuentes anteriores a V115.
qa_v114.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Falla sólo porque congela conteos de catálogo/fuentes anteriores a V115.
qa_v115.py,N/A,PASS,"Invariantes actuales, secuencia de cuatro rondas y aritmética exacta."
