entity,basis,period,metric,lower,upper,unit,quality,system_bound
Banco Santander Argentina SA,CONSOLIDATED_CONTROL_ONLY,Q4-2023,BCRA_PASS_INCOME_SHARE,0,3.0825,percent_of_entity_Q4_pass_income,BOUND_INHERITED_V64,NO
Banco Santander Argentina SA,CONSOLIDATED_CONTROL_ONLY,Q4-2023,OTHERFI_PASS_INCOME_SHARE,96.9175,100,percent_of_entity_Q4_pass_income,BOUND_INHERITED_V64,NO
ICBC Argentina,INDIVIDUAL_ENTITY_REGULATORY,Q4-2023,BCRA_NET_PASS_FLOW,199396505.326565,199396505.326565,thousand_ARS_Dec2023_constant,EXACT_POINT,NO
ICBC Argentina,INDIVIDUAL_ENTITY_REGULATORY,Q4-2023,OTHERFI_NET_PASS_FLOW,-902037.134193,-902037.134193,thousand_ARS_Dec2023_constant,EXACT_POINT,NO
Banco de Valores S.A.,SEPARATED_INDIVIDUAL,Q4-2023,BCRA_NET_PASS_FLOW,132269429.624235,132269429.624235,thousand_ARS_Dec2023_constant,EXACT_POINT,NO
Banco de Valores S.A.,SEPARATED_INDIVIDUAL,Q4-2023,OTHERFI_NET_PASS_FLOW,-156631.697124,-156631.697124,thousand_ARS_Dec2023_constant,EXACT_POINT,NO
Banco Supervielle S.A.,SEPARATED_INDIVIDUAL,Q4-2023,BCRA_PASS_INCOME,83427561.666363,86713401.666363,thousand_ARS_Dec2023_constant,BOUND,NO
Banco Supervielle S.A.,SEPARATED_INDIVIDUAL,Q4-2023,OTHERFI_PASS_INCOME,0,3285840,thousand_ARS_Dec2023_constant,BOUND,NO
Banco Supervielle S.A.,SEPARATED_INDIVIDUAL,Q4-2023,OTHERFI_NET_PASS_FLOW,-591120.907458,2694719.092542,thousand_ARS_Dec2023_constant,BOUND,NO
Banco Provincia de Buenos Aires,SEPARATED_INDIVIDUAL,FY-2023,BCRA_NET_PASS_FLOW,1040489497,1040489497,thousand_ARS_homogeneous,EXACT_ANNUAL_CONTROL_NOT_Q4,NO
Banco Credicoop,SEPARATED_INDIVIDUAL,FY-2023,BCRA_NET_PASS_FLOW,180887922,180887922,thousand_ARS_homogeneous,EXACT_ANNUAL_CONTROL_NOT_Q4,NO
SYSTEM,INDIVIDUAL_ENTITY_REGULATORY_REQUIRED,Q4-2023,BCRA_SHARE_OF_IEF_7_7PP,N/D,N/D,share,NOT_IDENTIFIED,YES
Banco Macro S.A.,SEPARATED_INDIVIDUAL,Q4-2023,BCRA_NET_PASS_FLOW,61675202.8273678,61675202.8273678,thousand_ARS_Dec2023_constant,EXACT_POINT,NO
Banco Macro S.A.,SEPARATED_INDIVIDUAL,Q4-2023,OTHERFI_NET_PASS_FLOW,3227033.293852227,3227033.293852227,thousand_ARS_Dec2023_constant,EXACT_POINT,NO
