claim,status,evidence,caveat,scope,next
V66_BANCO_VALORES_Q4_FOUR_LEG,IDENTIFIED_EXACT,"9M separated Annex Q: BCRA income 73,941,249; otherFI income 181,075; otherFI expense 474,355; BCRA expense zero. FY: BCRA income 245,614,573; otherFI income 325,492; otherFI expense 931,695; BCRA expense zero. Q4 net BCRA=132269429.624, net otherFI=-156631.697 thousand Dec-2023 ARS.",9M source retrieved through regulator-origin filing mirror; FY is issuer-official audited. Same accounting basis/period logic verified.,Banco de Valores Q4-2023 individual,retain exact row; prioritize large banks for coverage
V66_STRICT_Q4_FOUR_LEG_EXACT_COVERAGE,5.2096%_ASSETS,"ICBC + Banco de Valores exact Q4 four-leg; BCRA Dec-2023 assets 3,965,612.9 + 1,071,950.1 million ARS.","Only two entities; asset coverage is retrieval diagnostic, not pass-flow weight.",Q4-2023 target basis,expand exact large-bank coverage
V66_SUPERVIELLE_Q4_PASS_TOTAL,IDENTIFIED_EXACT_TOTAL,"Separated 9M pass income total 88,903,285 and expense 420,309; FY separated pass income 222,993,972 and expense 1,235,416. Q4 totals: income 86713401.666, expense 591120.907 thousand Dec-2023 ARS.",9M note has no BCRA/otherFI split.,Banco Supervielle Q4-2023 individual,retrieve 9M Annex Q/split if available
V66_SUPERVIELLE_COUNTERPARTY_SPLIT,BOUNDED_NOT_POINT_IDENTIFIED,"FY otherFI income 3,285,840 caps Q4 otherFI income at [0,3,285,840]; Q4 BCRA income [83427561.666,86713401.666]; Q4 otherFI expense exact 591120.907.",Bound uses nonnegative gross subleg logic; no assumed 9M allocation.,Banco Supervielle Q4-2023 individual,seek direct 9M counterparty split
V66_POINT_OTHERFI_SUBSET,IDENTIFIED_OPEN_SUBSET,"ICBC + Banco de Valores + Galicia: otherFI income=6240313.771, expense=2570552.37, net=3669761.401 thousand ARS; asset footprint=14.178874%.",Open subset; Galicia BCRA expense missing; no system inference.,Q4-2023 individual basis,expand four-leg coverage
V66_SUPERVIELLE_INCLUDED_BOUND_FOOTPRINT,16.224729%_ASSETS,ICBC + Banco de Valores + Galicia point detail plus Supervielle bound; all individual basis.,"Contains a bound, not a point-estimate four-leg network.",retrieval diagnostic,do not use for system cancellation
V66_BAPRO_Q4,N/D,FY four-leg exact inherited; no compatible 9M Annex Q extracted.,FY is not Q4.,Banco Provincia,priority retrieval remains high
V66_CREDICOOP_Q4,N/D,Official publication index confirms 30-09-2023 statements; compatible Annex Q file not recovered.,Existence is not data extraction.,Banco Credicoop,retrieve direct file/Annex Q
V66_BNA_9M_SEPARATED_EXISTENCE,CONFIRMED_DOCUMENT_EXISTENCE,Official AGN/BNA records identify separated/interim 9M financial statements to 30-09-2023.,Four-leg Annex Q table not extracted; stock/broad interest cannot substitute.,Banco Nación,retrieve separated Annex Q 9M/FY pair
V66_SYSTEM_INTERBANK_CANCELLATION,NOT_IDENTIFIED,Strict exact full-four-leg coverage = 5.2096% assets; open network remains material.,Entity/subset nets do not test system cancellation.,system Q4-2023,large-bank coverage scale-up
V66_IEF_PASS_BCRA_SHARE,N/D,"More exact entity numerator evidence, but no high-coverage system-compatible numerator/denominator bridge.",Do not map asset coverage into flow shares.,IEF Q4-2023,keep gate closed
V66_HOUSEHOLD_ANNEX_Q_FLOW_BRIDGE,NOT_IDENTIFIED,No direct PH/PJ allocation of accrued Annex Q product interest added in V66.,Product/origination/stock evidence remains non-equivalent.,system household flow,deprioritize until direct accounting source found
V67_MACRO_Q4_FOUR_LEG,IDENTIFIED_EXACT,"Official separated Annex Q 9M: BCRA income 73,509,754; otherFI income 42,130; otherFI expense 7,281,804; BCRA expense zero by table structure. FY: BCRA income 174,358,904; otherFI income 5,794,175; otherFI expense 13,664,897; BCRA expense zero. Q4 net BCRA=61675202.827368; net otherFI=3227033.293852 thousand Dec-2023 ARS.",Both filings are issuer-official and separated; homogeneous-currency differencing applied. Zero BCRA expense is based on the Annex Q pass-expense category listing only other financial institutions in both compatible filings.,Banco Macro Q4-2023 individual,retain exact row and pursue remaining large banks
V67_STRICT_Q4_FOUR_LEG_EXACT_COVERAGE,11.260968%_ASSETS,"ICBC + Banco de Valores + Banco Macro exact Q4 four-leg; BCRA Dec-2023 asset numerator = 10,889,096.4 million ARS.","Only three entities; asset coverage is retrieval diagnostic, not a pass-flow weight.",Q4-2023 target basis,"expand toward public banks, Santander, BBVA, Ciudad"
V67_OPEN_EXACT_SUBSET_SIGN_INSTABILITY,SUPPORTED_DIRECTLY,"ICBC+Banco Valores exact net otherFI = -1,058,668.831 thousand; after adding Macro exact = 2168364.462536 thousand.",This is not a system estimate; it demonstrates that an open-subset sign is composition-sensitive.,Q4-2023 exact individual subset,keep closed-network gate intact
V67_SANTANDER_PRIMARY_PAIR,OFFICIAL_BINARIES_LOCATED_NOT_PARSED,Santander shareholder page exposes Balance 3T 2023 and 4T 2023; clicked URLs are explicitly named Consolidados_y_Separados.,"Current web fetch fails with Unicode decoding error, so Annex Q separated values were not transcribed or inferred.",Banco Santander Argentina 2023,retrieve binaries via alternate mirror/CNV or parser path
V67_SYSTEM_INTERBANK_CANCELLATION,NOT_IDENTIFIED,Strict exact full-four-leg asset coverage = 11.260968%.,Open network remains material.,system Q4-2023,large-bank coverage scale-up
V67_IEF_PASS_BCRA_SHARE,N/D,"More exact individual numerator evidence, but no high-coverage system-compatible numerator/denominator bridge.",Do not map asset coverage into flow shares.,IEF Q4-2023,keep gate closed
