node_id,test_or_action,positive_condition,next_state,control,source_ids,current_target_state
START,Recuperar cuerpo 71597/152677/2876,Tipo y estado legibles,CLASSIFY,Si no: SICHE/archivo,e0_argentina_decree_1344_2007_original_finance_rule;e0_cgn_circular_22_2004_note_regularization;e0_cgn_account_2008_uepex_closing_exception,OPEN_0_OF_10
CLASSIFY_A,Tipo orden/C-41 o equivalente,ORDER,A_ORDERED,No inferir liquidación,e0_argentina_decree_1344_2007_original_finance_rule;e0_cgn_circular_22_2004_note_regularization;e0_cgn_account_2008_uepex_closing_exception,OPEN_0_OF_10
A_ORDERED,Localizar orden y respaldo,TGN antes; CGN después,A_BANK,Custodia no es pago,e0_argentina_decree_1344_2007_original_finance_rule;e0_cgn_circular_22_2004_note_regularization;e0_cgn_account_2008_uepex_closing_exception,OPEN_0_OF_10
A_BANK,Localizar movimiento BNA vía TGN,"Cuenta, fecha, signo, importe, referencia",A_RECONCILE,Cero sin metadatos no cierra,e0_argentina_decree_1344_2007_original_finance_rule;e0_cgn_circular_22_2004_note_regularization;e0_cgn_account_2008_uepex_closing_exception,OPEN_0_OF_10
A_RECONCILE,Conciliar formulario/orden/movimiento,Identidad y sin reversa,SETTLED_A,Sólo entonces confirma,e0_argentina_decree_1344_2007_original_finance_rule;e0_cgn_circular_22_2004_note_regularization;e0_cgn_account_2008_uepex_closing_exception,OPEN_0_OF_10
CLASSIFY_B,Tipo C-55/débito/regularización,DIRECT_DEBIT,B_EXTRACT,No inferir por concepto,e0_argentina_decree_1344_2007_original_finance_rule;e0_cgn_circular_22_2004_note_regularization;e0_cgn_account_2008_uepex_closing_exception,OPEN_0_OF_10
B_EXTRACT,Localizar extracto/aviso BNA,"Código, cuenta, fecha, signo, importe",B_BOOK,Extracto no prueba imputación,e0_argentina_decree_1344_2007_original_finance_rule;e0_cgn_circular_22_2004_note_regularization;e0_cgn_account_2008_uepex_closing_exception,OPEN_0_OF_10
B_BOOK,Cruzar Libro Banco y regularización,"Formulario, partida, estado, referencia",B_RECONCILE,Revisar reversa,e0_argentina_decree_1344_2007_original_finance_rule;e0_cgn_circular_22_2004_note_regularization;e0_cgn_account_2008_uepex_closing_exception,OPEN_0_OF_10
B_RECONCILE,Conciliar débito/formulario/Libro Banco,Identidad y sin reversa,SETTLED_B,Sólo entonces confirma,e0_argentina_decree_1344_2007_original_finance_rule;e0_cgn_circular_22_2004_note_regularization;e0_cgn_account_2008_uepex_closing_exception,OPEN_0_OF_10
OPEN,Tipo o puente faltante,Cualquier divergencia,OPEN_0_OF_10,Mantener abierto,e0_argentina_decree_1344_2007_original_finance_rule;e0_cgn_circular_22_2004_note_regularization;e0_cgn_account_2008_uepex_closing_exception,OPEN_0_OF_10
