request_id,institution,attach_file,purpose,why_minimal,exclude
REQ133_ECON,Ministerio de Economía / Tesoro,E0_FISCAL_PUBLIC_BUYBACK_CALLS_2008_V154.csv,fechas; cuenta; ISIN y calendario de cuatro rondas,acota sin imponer conclusión,ledger completo; datos de participantes no necesarios
REQ133_ECON,Ministerio de Economía / Tesoro,E0_FISCAL_STRIP_BUYBACK_SUMMARY_2009_V154.csv,identificar strip; cuenta y fechas,separa 2009 de las cuatro rondas,anexos no vinculados
REQ133_BCRA,BCRA / CRyL,E0_REQUEST_SEARCH_KEY_MATRIX_V154.csv,códigos CG1-CG7; formularios y claves exactas,permite búsqueda técnica reproducible,filas de otros organismos si el canal exige mínimo
REQ133_BNA,Banco de la Nación Argentina,E0_FISCAL_BUYBACK_PROGRAM_EVENTS_2005_2009_V154.csv,identificar primera etapa 11-22/08/2008,distingue mandato BNA de licitaciones posteriores,segunda etapa como si fuera blotter BNA
REQ133_AGN,Auditoría General de la Nación,E0_AGN_BODEN_REQUEST_PUBLIC_SCHEMA_V154.csv,UUID; nid; vid y fechas,identifica unívocamente el nodo sin datos del solicitante,cualquier dato personal histórico
REQ133_CNV,Comisión Nacional de Valores,E0_FISCAL_CUSTODIAN_INFORMATION_GAPS_V154.csv,nota Caja 19/11/2014 y barrera documentada,identifica antecedente supervisor,interpretaciones de tenencia cero
REQ133_CAJA,Caja de Valores S.A.,E0_FISCAL_BUYBACK_SETTLEMENT_CHAIN_V154.csv,cuenta; calendario y especies,permite certificación agregada focalizada,nombres de participantes o beneficiarios privados
REQ133_ECON,Ministerio de Economía / Tesoro,E0_FISCAL_Q4_DISCOUNT_PESOS_VALUATION_BRIDGE_V154.csv,"VNO, valor efectivo y baja contable Q4 conciliados por especie",permite localizar el papel de trabajo exacto sin adjuntar planillas completas,inferencias sobre contrapartes o pago no documentado
REQ133_ECON,Ministerio de Economía / Tesoro,E0_FISCAL_GDP_UNITS_REPURCHASE_SCOPE_BRIDGE_V154.csv,"tres especies, VNO nativos y efectivo exacto del tramo referencia 2006",acota la búsqueda del ledger y expediente sin remitir fuentes completas,"atribución de vendedor, modalidad o pago no documentada"

