priority,episode,variable_family,target_artifact,preferred_source,status,why,next_action
P0,E0_2001_2003,shock,Announcement norm publication implementation and market-onset sensitivity table,BCRA + InfoLeg + Ministerio de Economía,PRIMARY_MAP_BUILT_PARTIAL,legal chronology is preserved but no single t0 is defensible,Freeze multiple t0 candidates and episode windows; do not collapse
P0,E0_2001_2003,banks,Normalize BCRA balance/result carriers and exact loss/recovery clocks,BCRA,PRIMARY_CARRIERS_FOUND,system stress is documented but comparable monthly bridge is not built,Extract with currency universe entity and reporting-break metadata
P0,E0_2001_2003,state_bcra,Realized fiscal accounting for pesification compensation and public absorption,Tesoro+BCRA+AGN,PUBLIC_METADATA_AND_PRODUCER_MAP_EXHAUSTED_EXECUTED_CHAIN_OPEN_NOT_SENT,AGN API closes final identity; DADP/SIGADE/SIDIF/COMDOC and disclosure comparators make missing records individually targetable.,"Recover AGN quarterly annexes, S01 body, DADP process records, 2008 subledgers and settlement messages; preserve no-request gate."
P0,E0_2001_2003,households,Official broad household income consumption and purchasing-power sources,INDEC + labor administrative sources,SOCIAL_CLOCKS_BUILT_SCOPE_GAPS_OPEN,employment unemployment poverty indigence and registered-stable real wage clocks are frozen; broad income and consumption remain open,Extend only with primary vintages and preserve EPH/method/population breaks
P0,E0_2001_2003,risk,Exact mora provisions write-offs capital and liquidity sequence,BCRA,RISK_CLOCKS_BUILT_MONTHLY_GAP_AND_VINTAGE_RECONCILIATION_OPEN,monthly irregularity and annual coverage net exposure bad-debt liquidity and accounting-capitalization clocks are frozen; exact monthly buffer/flow and regulatory-capital carriers remain open,Preserve vintages; seek exact monthly provisions write-offs and regulatory capital without interpolating January-May 2002
P0,E0_2001_2003,banks,Issuer financial statements and audit reports for material banks,Issuers+CNV+AGN,OPEN_HETEROGENEITY_GAP,system aggregates can hide gains/losses by institution,Prioritize material institutions and reconcile to BCRA aggregates
P1,E0_2001_2003,state_bcra,Independent public audits of compensation/resolution mechanisms,AGN,PUBLIC_METADATA_AND_PRODUCER_MAP_EXHAUSTED_EXECUTED_CHAIN_OPEN_NOT_SENT,AGN API closes final identity; DADP/SIGADE/SIDIF/COMDOC and disclosure comparators make missing records individually targetable.,"Recover AGN quarterly annexes, S01 body, DADP process records, 2008 subledgers and settlement messages; preserve no-request gate."
P1,E0_2001_2003,shock,Program and diagnosis documents,IMF+World Bank+IDB,DISCOVERY_SECONDARY,useful for external chronology but not a substitute for local primary decisions,Add only after local primary map and label secondary
P1,E2_2014,credit,Compatible realized all-in credit cost and stock/origination bridge,BCRA,OPEN,current support is partial,Check preserved sources before downloading duplicates
P1,E4_2018_2019,credit,"Compatible originations, rates and borrower-service bridge",BCRA,OPEN,current causal credit channel is incomplete,Separate pre-existing mora trend from post-t0 credit dynamics
P1,E5_2020_2021,risk,"Forbearance, classification and provision-rule timeline",BCRA,OPEN_SPECIAL_REGIME,required before any comparison,Build special-regime metadata only
P1,E6_2023_2026,banks,Exact CNV attachment contract and six target issuer binaries,CNV,OPEN,blocks Mariva/HSBC/BMA exact crosswalks,Observe path+verb+payload; never guess GetPublicValetKey route
P1,E6_2023_2026,banks,"Banco Rioja compatible 9M opening and 158,789k mismatch explanation",Issuer+BCRA,OPEN_FALSIFIER,global account mapping remains disproved,Seek documentary reconciliation; do not fit residual
P0,E0_2008,SLU_backup_SICHE,SICHE export + backup inventory + migration file + populated banking tables,CGN+DGSIAF+SAF 355,LEGAL_DUTY_PROVED_TARGET_DATA_OPEN_NOT_SENT,fuentes/bases perpetuas y migraciones documentadas,"catálogo SICHE, Acta, planillas y export 2008"
P0,E0_2008,SIGADE_SIDIF_LINK,Transmisiones SIGADE–SIDIF-Link y formularios SIDIF Central SAF 355,Economía / DGSIAF / SAF 355,PRIMARY_ROUTE_PROVED_TARGET_OPEN_NOT_SENT,ruta oficial contemporánea a 2008,"obtener lotes, IDs SIGADE y formularios"
P0,E0_2008,SICHE_SIDIF_CENTRAL,"Export consultas por SIGADE, beneficiario, deuda exigible y detalle 2001-2012",SICHE / DGSIAF / CGN,NAMED_QUERIES_FOUND_NOT_EXECUTED,consulta histórica oficial,"pedir catálogo, parámetros, export y hash"
P1,E0_COMPARATOR_2019,REPO_COMMISSION,Mayor y asiento cuenta 2.1.2.01.02.99.00 · comisión REPO,SAF 355 / SIGADE / e-SIDIF,ACCOUNTING_LEAD_NOT_TARGET_IDENTITY,pista concreta con diferencia de precisión publicada; error no probado,obtener componentes no redondeados y puente instrumento-fecha-ID-contraparte-origen
P2,E0_2008,SLU,Prueba de implantación SAF 355 y módulo objetivo,DGSIAF / SAF 355,SECONDARY_CONDITIONAL_ROUTE,no se acreditó uso primario para el objetivo,no priorizar salvo evidencia de despliegue
P0,E0_2008,ANEXO_K_FORMS,Mayorizado y formularios SIDIF 71597/152677/2876,SAF 355 / CGN / DGSIAF,EXACT_IDS_PUBLIC_BODY_OPEN_NOT_SENT,fila 83106000 fuera de Cuadro 1A,"obtener formularios, asiento, orden y mayor"
P0,E0_2008,TGN_BANK_SETTLEMENT,Movimiento TGN/CUT y extracto BNA asociado,TGN / BNA,OFFICIAL_AUDIT_ROUTE_PROVED_TARGET_OPEN,única capa que puede confirmar liquidación,"conciliar cuenta, fecha, signo, moneda, importe y referencia"
P1,E0_COMPARATOR_2018_2019,REPO_PRECISION,Componentes no redondeados y papel de trabajo OTROS,UAI / SAF 355 / CGN,DISPLAYED_TENSION_ERROR_NOT_PROVED,"0,45 no es error demostrable con precisión desigual","obtener importes fuente, asiento y regla de imputación"
