row_id,filename,role,catalogued,catalog_source_id,bytes,sha256,preserved
B154_01,sigen_archivos_adjuntos_ver.js,ATTACHMENT_ROUTE_DISCOVERY,NO,BUNDLE_ONLY,141,16dfe3d4e1bc4bb5da9bb50b2e63b32d4335e5ac98f5fe80c5cf3ea8ed9f1094,YES
B154_02,sigen_if_2020_02708805_closing_tasks.pdf,CLOSING_BODY_BUNDLE_ONLY,NO,BUNDLE_ONLY,351353,50d08a3347369c2780c3525e8920f47872fcc2375ccdc202d2dae64e9ecc7969,YES
B154_03,sigen_if_2020_09433026_annex_a_certification.pdf,EXECUTED_ANNEX_A_COMPARATOR,YES,e0_sigen_if_2020_annex_a_bank_certification_comparator,76870,cfe81cbc7b6abee4657a87a7c61fc0834f8fc3778e0dad137074f0542ec55808,YES
B154_04,sigen_if_2020_09438552_annex_c_certification.pdf,EXECUTED_ANNEX_C_COMPARATOR_BUNDLE_ONLY,NO,BUNDLE_ONLY,77022,225c154fd5ee95ab449cca5dd23f8095e0ec3fa31489530e1929447be54689a6,YES
B154_05,sigen_if_2020_30081841_remainder_certification.pdf,EXECUTED_REMAINDER_COMPARATOR,YES,e0_sigen_if_2020_remainder_certification_cross_reference_comparator,76984,9d757bd6212135e24cdcc1c757c3e03adb2af5479d094715d0e891344ed96b5c,YES
B154_06,sigen_if_2020_34855376_account_control.pdf,LATER_ACCOUNT_AUDIT_COMPARATOR,YES,e0_sigen_if_2020_account_control_audit_comparator,100269,b4c9e30958fc9f86923f2a22fca6530c0e8e97274adc624df2e3f513bb07f977,YES
B154_07,sigen_public_reports_archive_2020_2026_listing.html,CURRENT_ACCOUNT_REPORT_FAMILY,YES,e0_sigen_public_archive_2020_account_record_family,200562,368a6c86d580e1cea684f28a7bada19c2f1efc9c2775c6555699f1d2845f611f,YES
B154_08,sigen_report_00394_2020_closing_tasks_detail.html,CLOSING_DETAIL_COMPARATOR,NO,BUNDLE_ONLY,12448,227ae34603df077aba1f517aa611e43a398390595e0f26cf8950e8859c7a3a66,YES
B154_09,sigen_report_00395_2020_annex_c_certification_detail.html,ANNEX_C_DETAIL_COMPARATOR,NO,BUNDLE_ONLY,12662,0bbd625dccab830225053ca6e0cc5d567a49366bcfb4347a5f7bf8e6c739e961,YES
B154_10,sigen_report_00398_2020_annex_a_certification_detail.html,ANNEX_A_DETAIL_COMPARATOR,NO,BUNDLE_ONLY,12779,18406c6f73ef535147dd8b597d2cfa8ddf6e65ee656b19555492273f7488f47f,YES
B154_11,sigen_report_00399_2020_remainder_certification_detail.html,REMAINDER_DETAIL_COMPARATOR,NO,BUNDLE_ONLY,13297,8d0c95e90b386f88dcaae271e5ff3442080ba383dfb93b3c638591edb6526ddd,YES
B154_12,sigen_report_00402_2020_account_control_detail.html,ACCOUNT_AUDIT_DETAIL_COMPARATOR,NO,BUNDLE_ONLY,13232,b6f82a7f590942cc9c8c84d9e62eb2fe3e4ef981b8f8891d265954cf0be4fd66,YES
