control_id,source_id,doc_page,rendered_check,result
WV166_01,e0_dgsiaf_slu_bank_reconciliation_manual_2003_v7,10,grupos LIB/TRA/MAN/APL/EXB y regla automática/manual,PASS
WV166_02,e0_dgsiaf_slu_bank_reconciliation_manual_2003_v7,49,"conciliación automática de extracto, Libro Banco, recursos/gastos y contracódigos",PASS
WV166_03,e0_dgsiaf_slu_bank_reconciliation_manual_2003_v7,50,"generación de gestión/documento, asiento y relación origen-destino",PASS
WV166_04,e0_dgsiaf_slu_bank_reconciliation_manual_2003_v7,59,conciliación manual y suma parcial,PASS
WV166_05,e0_dgsiaf_slu_bank_reconciliation_manual_2003_v7,60,banco/sucursal/cuenta y campos de movimiento,PASS
WV166_06,e0_dgsiaf_slu_bank_reconciliation_basic_tables_2002_v7,22,"código interno: grupo, código, descripción y débito/crédito",PASS
WV166_07,e0_dgsiaf_slu_bank_reconciliation_basic_tables_2002_v7,25,"código externo: banco, código, grupo y movimiento interno",PASS
WV166_08,e0_dgsiaf_slu_bank_reconciliation_basic_tables_2002_v7,30,relación partida de gasto-movimiento externo,PASS
WV166_09,e0_dgsiaf_slu_bank_reconciliation_basic_tables_2002_v7,31,C55 automático enviado a SIDIF Central,PASS
WV166_10,e0_dgsiaf_slu_bank_reconciliation_basic_tables_2002_v7,38,"Consulta de Bajas, prohibición de borrar códigos usados y rehabilitación",PASS
WV166_11,e0_dgsiaf_slu_treasury_basic_tables_1,2,BCUENTA local sin historia; baja y rehabilitación,PASS
WV166_12,e0_dgsiaf_slu_treasury_basic_tables_1,3,ACTA_FUE local sin historia; cuenta-fuente,PASS
WV166_13,e0_dgsiaf_slu_treasury_basic_tables_2,3,BGRUPMOVBCO sin historia,PASS
WV166_14,e0_dgsiaf_slu_treasury_basic_tables_2,4,BMOVBCO sin historia,PASS
WV166_15,e0_dgsiaf_slu_treasury_basic_tables_2,5,BMOVEXTERNO y campos banco/contracódigo/movimiento,PASS
WV166_16,e0_dgsiaf_slu_treasury_basic_tables_2,6,AMOV_FORG aplicación automática por cuenta y movimiento,PASS
WV166_17,e0_dgsiaf_slu_treasury_basic_tables_2,7,ACLB_MOB relación extracto-Libro Banco,PASS
WV166_18,e0_dgsiaf_slu_treasury_basic_tables_2,8,BCODLIBBCO y marca de conciliación,PASS


