authority,applies_to,operative_point,request_use,prohibited_inference,official_url
Decreto 1131/2016,Administración Pública Nacional,"implementa RUDO en GDE y reconoce valor de originales a documentos electrónicos o digitalizados conforme sus reglas","pedir identificadores de origen/destino y búsqueda de documentos migrados o digitalizados","que un expediente 2008 haya nacido en GDE o que toda digitalización histórica esté necesariamente en RUDO",https://www.argentina.gob.ar/normativa/nacional/decreto-1131-2016-266999/texto
Decreto 1131/2016 artículo 9,Administración Pública Nacional,"deroga entre otras normas el Decreto 1571/1981","evitar fundar el pedido actual en una norma derogada","invocar el Decreto 1571/1981 como obligación vigente",https://www.argentina.gob.ar/normativa/nacional/decreto-1131-2016-266999/texto
Resolución 44-E/2016,Administración Pública Nacional,"regula guarda temporal y archivo de documentos electrónicos en RUDO; sus artículos 8 y 9 fueron luego derogados","pedir la regla vigente y la traza documental concreta sin copiar deberes derogados","exigir hoy un acta bajo los artículos 8 o 9 como si siguieran vigentes",https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-44-2016-270156/texto
Resolución 9/2018,Administración Pública Nacional,"aprueba plazos para nueve procedimientos específicos y prevé archivo de GEDO en RUDO","usar sólo si la serie pedida coincide exactamente con uno de esos procedimientos","trasladar sus plazos a expedientes de recompra o custodia sin correspondencia de serie",https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-9-2018-306987/texto
Resolución Conjunta 5/2023,Administración Pública Nacional,"crea la Comisión de Evaluación Documental y prevé propuestas institucionales para series específicas no transversales","pedir propuesta de serie; plazo; acceso; dictamen; inventario y acto de disposición aplicables","suponer un plazo uniforme para todas las series institucionales",https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-5-2023-393496/texto
Directriz AGN de Evaluación Documental,Administración Pública Nacional,"exige contexto; productor; serie; identificadores y documentación de transferencias o eliminaciones en la evaluación","evaluar si una respuesta negativa individualiza serie; productor; búsqueda y disposición","confundir autorización general o plazo vencido con prueba de eliminación efectiva",https://www.argentina.gob.ar/sites/default/files/disposicion_evaluacion.pdf
Consulta de expedientes del Ministerio de Economía,Ministerio de Economía,"distingue presentaciones desde septiembre de 2016 en GDE y anteriores en COMDOC","pedir primero identificador legado 2008-2009 y después su eventual migración","exigir número GDE originario a toda actuación histórica",https://www.argentina.gob.ar/economia/informacionciudadana/consultadeexpedientes
Normas BCRA sobre conservación y reproducción,Entidades financieras,"permiten reproducir documentos bajo responsabilidad y exigen trazas de reproducción; los soportes se conservan por el plazo normativo indicado","pedir reproducción autenticada; número de soporte; actas de apertura/cierre; registro y acto de destrucción","que la posibilidad de reproducir a los dos años pruebe destrucción del original o que un plazo vencido pruebe baja",https://www.bcra.gob.ar/Pdfs/Texord/t-consyr.pdf
Normas CNV Título VIII artículo 65,Agentes regulados por CNV,"publican un plazo actual de conservación documental de diez años","usar como control actual y pedir la regla histórica y el acto concreto aplicados al registro","aplicación retroactiva automática a 2008 o prueba de destrucción por vencimiento",https://www.argentina.gob.ar/normativa/recurso/219405/texact-TituloVIII-CapI/htm
Ley 20.643,Caja de Valores y depositantes,"prevé registros que permitan individualizar derechos y funciones de registro; conciliación y custodia","pedir registros institucionales; certificación o agregado sin datos protegidos","acceso público irrestricto e indefinido a beneficiarios finales o subcuentas privadas",https://www.argentina.gob.ar/normativa/nacional/ley-20643-69798/actualizacion


