source_id,file,bytes,sha256,status
e0_cgn_account2020_bid1192_zero_uncertified_closure_v182,cgn_account_2020_annex_4_21_mdp.xlsx,18116,3e46ba3b82a1ee18c643c2baa62773506b9ce84cf70cd5f12aa72918be3e6097,CATALOGUED_SHA_VALID
e0_cgn_account2020_bid1192_notes_uncertified_closure_v182,cgn_account_2020_annex_4_21_notes.pdf,66263,e3dad6c9269af0100ea04a8c82cbad7362a4169ee5800dc887d39ba687d4c827,CATALOGUED_SHA_VALID
e0_cgn_account2020_bank_accounts_mypes_absence_v182,cgn_account_2020_annex_4_37_bank_accounts.xlsx,29979,ebecb094065701a6413dff928b02ab658d3c4033cc444cbe5124078e9fbd427f,CATALOGUED_SHA_VALID
e0_cgn_account2021_mdp_bid1192_absence_v182,cgn_account_2021_annex_4_20_mdp.xlsx,17713,876937ffab440737e39713ae8b6086a55c0bc9b91ce280b9cabc7b4a871657e8,CATALOGUED_SHA_VALID
e0_cgn_account2021_mdp_notes_v182,cgn_account_2021_annex_4_20_notes.pdf,87810,4ad75591a8f36077b694090a642eed1883fe074235e1ad256e8f337748e7331e,CATALOGUED_SHA_VALID
e0_cgn_account2021_bank_accounts_mypes_absence_v182,cgn_account_2021_annex_4_35_bank_accounts.xlsx,508295,74d32dec5bfd114599018c1320791fabdcb7acebddcfc2cfbe7acaab9887f3c7,CATALOGUED_SHA_VALID
e0_infoleg_res1406_2014_labor_negative_identity_v182,infoleg_resolution_1406_2014_labor_negative_comparator.html,45970,7fdc17e7839557dc3267a0fb9433727d343863d6012791b77e4666f68feeed29,CATALOGUED_SHA_VALID
e0_sigen_archive_cuenta2018_record_v182,sigen_archive_record_cuenta_2018_201921.html,11989,2adb4d59a4f7572e8b076743bf33b2f1034695aa2db8397f4a5485ce2271e80b,CATALOGUED_SHA_VALID
e0_sigen_archive_cuenta2019_record_v182,sigen_archive_record_cuenta_2019_204917.html,12217,5b84c00f061053b54f09bdf71e5105bde963089792f9d9c7579f02f750c2de22,CATALOGUED_SHA_VALID
e0_sigen_archive_cuenta2020_record_v182,sigen_archive_record_cuenta_2020_207827.html,12815,6cdb9848b9ea6591ef6a660d185645d448d913498b486dd6929968aed43a7626,CATALOGUED_SHA_VALID
e0_wayback_sigen_attachment_78595142_negative_control_v182,wayback_sigen_attachment_78595142_cnrt_iesci_2011_negative_control.pdf,5858891,15ec88ad02c26fef73c7d08a0b8819ac1a0baeb52441f402f8c8008aa66a5a5b,CATALOGUED_SHA_VALID
e0_wayback_sigen_attachment_cdx_provenance_v182,wayback_cdx_sigen_attachment_query_2026-09-01.json,184,8a203b8f32ac4bfb4d1920e1f4dc9e8e4b2e3633a16a52824c0ee9b0562a4fc5,CATALOGUED_SHA_VALID
e0_wayback_sigen_detail_cdx_negative_v182,wayback_cdx_sigen_detail_query_2026-09-01.json,3,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,CATALOGUED_SHA_VALID
duplicate_of_e0_cgn_account2019_bid1192_missing_information_accounts_v177,cgn_account_2019_separata_i.pdf,4121927,9078603aa0f3ad78c4a8292be5130f25fe2aece5748fe87c67a1405f18a36101,BYTE_IDENTICAL_DUPLICATE_LOCAL_CONTROL_NOT_NEW_CATALOG_ROW
