claim,status,evidence,caveat,scope,next
V62_Q4_BROAD_COVERAGE,6_ENTITIES,Macro Ciudad Galicia Santander BBVA Supervielle,mixed bases; no system share,Q4-2023,V63
V62_HH_PRODUCT_COVERAGE,5_ENTITIES,Added BBVA and Supervielle,product proxy,Q4-2023,V63
V62_HH_CONSOLIDATED_SUBSAMPLE,DESCRIPTIVE_ONLY,17.7546% broad interest,nonrepresentative,4 consolidated banks,V63
V62_SANTANDER_BCRA_PASS_BOUND,ENTITY_BOUND,<= 3.0825%,not system,Santander Q4,V63
V62_SANTANDER_OTHERFI_BOUND,ENTITY_BOUND,>= 96.9175%,not system,Santander Q4,V63
V62_INTERBANK_CANCELLATION,NOT_IDENTIFIED_MISSING_EXPENSE_LEGS,otherFI income lower bound 573.983bn,expense coverage sparse,sample,V63
V62_IEF_PASS_BCRA_SHARE,N/D,counterparty incomplete,no floor,system,V63
V63_FOUR_LEG_SCHEMA,STRONG_SUPPORT,BCRA Annex Q explicitly splits pass income/expense BCRA vs otherFI,template evidence,regulatory,V64
V63_CIUDAD_FOUR_LEG_Q4,IDENTIFIED,Q3/9M and FY disclose pass income/expense all otherFI,Q4 derived by homogeneous differencing,Ciudad Q4-2023,V64
V63_SUBSET_NETTING,REJECTED_AS_SYSTEM_TEST,open subset may transact with banks outside sample,requires closed near-full coverage,system methodology,V64
V63_SYSTEM_INTERBANK_CANCELLATION,NOT_IDENTIFIED_CLOSED_COVERAGE_MISSING,four-leg schema exists but coverage incomplete,do not infer from sample imbalance,system Q4,V64
V63_IEF_PASS_BCRA_SHARE,N/D,no system numerator/denominator reconciliation,strict floor stays revoked,IEF Q4-2023,V64
V63_HOUSEHOLD_SYSTEM_POINT,N/D,product rows not strict household-sector mapping,coverage/sector gates open,system Q4,V64
