date,bank_real_monthly_pct,pf_real_monthly_pct,fintech_real_monthly_pct,bank_pf_real_gap_pp,fintech_tna_pct,fintech_observed,fintech_extended,fintech_status
2019-01-01,2.369662,0.748504,,1.6211579999999999,,False,False,sin serie fintech comparable
2019-02-01,1.361162,-0.652778,,2.01394,,False,False,sin serie fintech comparable
2019-03-01,0.366719,-1.352317,,1.719036,,False,False,sin serie fintech comparable
2019-04-01,1.820047,0.412598,7.687215,1.407449,,True,False,observado
2019-05-01,2.406611,1.025775,8.111816,1.3808359999999997,,True,False,observado
2019-06-01,2.791086,1.36785,8.625509,1.423236,,True,False,observado
2019-07-01,3.214848,1.684324,9.059807,1.530524,,True,False,observado
2019-08-01,1.76572,0.418876,7.865553,1.346844,,True,False,observado
2019-09-01,0.443099,-1.047339,6.563422,1.4904380000000002,,True,False,observado
2019-10-01,2.901194,1.144062,9.203531,1.757132,,True,False,observado
2019-11-01,1.849451,-0.504879,6.191029,2.35433,,True,False,observado
2019-12-01,2.139358,-0.326,8.954881,2.465358,,True,False,observado
2020-01-01,3.423869,0.63493,10.902066,2.788939,,True,False,observado
2020-02-01,3.253359,0.656415,10.271298,2.596944,,True,False,observado
2020-03-01,1.493652,-0.964796,8.170478,2.4584479999999997,,True,False,observado
2020-04-01,2.884713,0.245102,10.27835,2.639611,,True,False,observado
2020-05-01,2.69749,0.385624,10.768346,2.311866,,True,False,observado
2020-06-01,1.906698,0.089869,10.008376,1.816829,,True,False,observado
2020-07-01,2.237526,0.388902,9.462285,1.8486239999999998,,True,False,observado
2020-08-01,1.52119,-0.282565,8.507048,1.803755,,True,False,observado
2020-09-01,1.424096,-0.410979,7.90035,1.835075,,True,False,observado
2020-10-01,0.448472,-1.239359,6.893223,1.687831,,True,False,observado
2020-11-01,1.209447,-0.492385,7.516277,1.701832,,True,False,observado
2020-12-01,0.58832,-1.210594,6.887925,1.798914,,True,False,observado
2021-01-01,0.627119,-1.240084,7.099223,1.867203,,True,False,observado
2021-02-01,1.051931,-0.791346,8.11194,1.843277,,True,False,observado
2021-03-01,-0.133984,-1.959026,6.010342,1.8250419999999998,,True,False,observado
2021-04-01,0.511781,-1.270795,6.991771,1.782576,136.288201,True,False,observado
2021-05-01,1.189214,-0.562328,7.903708,1.7515420000000002,137.87189,True,False,observado
2021-06-01,1.17413,-0.39295,7.633889,1.5670799999999998,132.609337,True,False,observado
2021-07-01,1.44621,-0.223862,7.874343,1.670072,133.288471,True,False,observado
2021-08-01,1.913213,0.282764,8.50216,1.630449,134.166261,True,False,observado
2021-09-01,0.891113,-0.754453,7.441496,1.645566,135.026619,True,False,observado
2021-10-01,0.854934,-0.723534,7.146553,1.578468,130.969451,True,False,observado
2021-11-01,1.743496,0.218978,7.929892,1.524518,127.91929,True,False,observado
2021-12-01,0.54903,-1.04028,6.560859,1.5893100000000002,127.833174,True,False,observado
2022-01-01,0.67758,-0.87584,6.479303,1.55342,127.273227,True,False,observado
2022-02-01,-0.038021,-1.556132,5.402702,1.518111,124.208287,True,False,observado
2022-03-01,-1.93376,-3.268796,3.172207,1.3350360000000001,121.373472,True,False,observado
2022-04-01,-1.152039,-2.424161,3.993725,1.2721219999999998,123.39069,True,False,observado
2022-05-01,-0.132456,-1.332071,5.010002,1.199615,123.758963,True,False,observado
2022-06-01,-0.260511,-1.356268,4.897526,1.095757,125.424986,True,False,observado
2022-07-01,-1.800803,-3.058748,3.100009,1.257945,128.829581,True,False,observado
2022-08-01,-0.652224,-1.925854,4.132191,1.2736299999999998,136.686649,True,False,observado
2022-09-01,0.327351,-0.723639,5.672236,1.05099,146.249747,True,False,observado
2022-10-01,0.513065,-0.67297,6.042755,1.186035,153.283919,True,False,observado
2022-11-01,1.58392,0.673106,7.474444,0.910814,153.096551,True,False,observado
2022-12-01,1.547781,0.508418,7.590165,1.039363,157.244873,True,False,observado
2023-01-01,0.625482,-0.343171,6.698601,0.968653,157.563095,True,False,observado
2023-02-01,0.076294,-0.897724,6.034137,0.9740179999999999,156.741419,True,False,observado
2023-03-01,-0.883175,-1.775897,4.681284,0.892722,152.589882,True,False,observado
2023-04-01,-1.466973,-2.17923,3.871221,0.7122569999999999,151.190368,True,False,observado
2023-05-01,0.135582,-0.458897,5.136192,0.594479,159.698028,True,False,observado
2023-06-01,2.578475,1.47412,7.768977,1.104355,170.185529,True,False,observado
2023-07-01,2.071716,1.105103,7.471846,0.9666129999999999,171.489299,True,False,observado
2023-08-01,-2.882381,-3.54392,2.122869,0.6615389999999999,177.943517,True,False,observado
2023-09-01,-3.719846,-3.113137,3.395384,-0.6067089999999999,198.936449,True,False,observado
2023-10-01,1.290423,1.471605,7.841884,-0.18118199999999995,201.535628,True,False,observado
2023-11-01,-1.400304,-2.061324,4.218862,0.6610199999999999,210.840206,True,False,observado
2023-12-01,-11.08133,-12.449928,-6.257893,1.3685980000000004,211.370008,True,False,observado
2024-01-01,-7.669443,-9.812128,-2.649319,2.1426849999999993,209.025235,True,False,observado
2024-02-01,-2.374831,-3.986784,2.861939,1.6119530000000002,197.778658,True,False,observado
2024-03-01,-0.513121,-3.684896,4.41546,3.1717750000000002,190.935469,True,False,observado
2024-04-01,-0.462339,-3.449561,5.207448,2.987222,173.991442,True,False,observado
2024-05-01,1.531476,-1.232834,8.550636,2.76431,157.005111,True,False,observado
2024-06-01,0.690222,-1.810075,7.257735,2.500297,146.007567,True,False,observado
2024-07-01,1.177473,-1.020902,7.388758,2.198375,140.610332,True,False,observado
2024-08-01,1.406723,-0.989799,7.159089,2.396522,139.560699,True,False,observado
2024-09-01,2.144412,-0.252512,7.839509,2.396924,138.968231,True,False,observado
2024-10-01,3.080161,0.595437,7.95365,2.484724,130.313754,True,False,observado
2024-11-01,3.366961,0.52502,7.96314,2.841941,126.995117,True,False,observado
2024-12-01,3.061657,-0.001229,7.918164,3.0628859999999998,130.036596,True,False,observado
