"collection","year","target","query_url","attempts","curl_exit","http_status","classification","valid_capture_rows","response"
"CC-MAIN-2017-04","2017","sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2017-04-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: sigen.gov.ar/documentacion/plananualpdfs/""}"
"CC-MAIN-2017-04","2017","www.sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2017-04-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: www.sigen.gov.ar/documentacion/plananualpdfs/""}"
"CC-MAIN-2017-09","2017","sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2017-09-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: sigen.gov.ar/documentacion/plananualpdfs/""}"
"CC-MAIN-2017-09","2017","www.sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2017-09-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: www.sigen.gov.ar/documentacion/plananualpdfs/""}"
"CC-MAIN-2017-13","2017","sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2017-13-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: sigen.gov.ar/documentacion/plananualpdfs/""}"
"CC-MAIN-2017-13","2017","www.sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2017-13-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: www.sigen.gov.ar/documentacion/plananualpdfs/""}"
"CC-MAIN-2017-17","2017","sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2017-17-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: sigen.gov.ar/documentacion/plananualpdfs/""}"
"CC-MAIN-2017-17","2017","www.sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2017-17-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: www.sigen.gov.ar/documentacion/plananualpdfs/""}"
"CC-MAIN-2017-22","2017","sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2017-22-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: sigen.gov.ar/documentacion/plananualpdfs/""}"
"CC-MAIN-2017-22","2017","www.sigen.gov.ar/documentacion/plananualpdfs/","https://index.commoncrawl.org/CC-MAIN-2017-22-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200","1","0","404","NO_CAPTURE_VALID","0","{""message"": ""No Captures found for: www.sigen.gov.ar/documentacion/plananualpdfs/""}"
