entity,basis,q4_broad,q4_household_product,four_leg_pass_q4,closed_network_eligible,status,v64_source,v64_note
Banco Macro SA,CONSOLIDATED,YES,YES,PARTIAL_EXACT_INCOME_APPROX_EXPENSE,NO,HIGH_COVERAGE_ENTITY,,INHERITED_V63
Banco Ciudad de Buenos Aires,CONSOLIDATED,YES,YES,YES_EXACT,NO_OPEN_SUBSET,FIRST_FULL_FOUR_LEG_Q4_ENTITY,,INHERITED_V63
Banco de Galicia y Buenos Aires SAU,INDIVIDUAL,YES,YES,PARTIAL_EXACT,NO_BASIS_INDIVIDUAL,SEPARATE_PANEL,,INHERITED_V63
Banco Santander Argentina SA,CONSOLIDATED,YES,NO,BOUND_ONLY,NO,COUNTERPARTY_BOUND,,INHERITED_V63
BBVA Argentina,CONSOLIDATED,YES,YES,TOTAL_ONLY,NO,COUNTERPARTY_UNSPLIT,,INHERITED_V63
Grupo Supervielle / Banco Supervielle,CONSOLIDATED,YES,YES,TOTAL_FINANCIAL_SECTOR_ONLY,NO,COUNTERPARTY_UNSPLIT,,INHERITED_V63
Banco de la Nacion Argentina,CONSOLIDATED,NO_Q4,NO_Q4,FY_ONLY,NO,ANNUAL_CONTROL,,INHERITED_V63
Banco Provincia de Buenos Aires,CONSOLIDATED_OR_INDIVIDUAL_ND,NO,NO,NOT_RETRIEVED,NO,SOURCE_LOCATED_PENDING,,INHERITED_V63
Banco Credicoop,N/D,NO,NO,NOT_RETRIEVED,NO,SOURCE_LOCATED_PENDING,,INHERITED_V63
ICBC Argentina,INDIVIDUAL_STANDALONE,YES,YES,YES_EXACT,NO_BASIS_NOT_HARMONIZED,FULL_FOUR_LEG_Q4_IDENTIFIED_V64,https://www.icbc.com.ar/wcm/connect/4de3ed09-cb4e-4064-b6a5-0aa3f0bca5fd/Estados%2BFinancieros%2BICBC%2B202309_ESPA%C3%91OL%2BLEGALIZADO.pdf?CVID=oNG1sHj&MOD=AJPERES ; https://www.icbc.com.ar/wcm/connect/09254af5-2d9a-4742-bec0-bbd0018305d5/Estados%2BFinancieros%2BICBC%2B202312_ESPA%C3%91OL%2BLEGALIZADO.pdf?CVID=oUU1Wae&MOD=AJPERES,Official Annex Q 9M and FY; Q4 reconstructed with frozen Sep-to-Dec homogeneous-currency factor.
