priority,scope,version,entity_or_id,role,url,extension,reason
P0,issuer_registry_v89_v96,90,BICE,FY2023 issuer,https://www.bice.com.ar/wp-content/uploads/2025/03/Memoria-y-Balance-2023.pdf,.pdf,used
P0,issuer_registry_v89_v96,96,Banco CMF S.A.,official 2023 report,https://www.bancocmf.com.ar/wp-content/uploads/Anual-2023-Memoria.pdf,.pdf,used_hold_source
P0,issuer_registry_v89_v96,91,Banco Industrial,FY2023 separated issuer,https://www.garval.sba.com.ar/images/LEGALIZADOS-BIND---2023---12---EEFF-Separados.pdf,.pdf,used
P0,issuer_registry_v89_v96,94,Banco Provincia del Neuquén S.A.,2023 standalone/group-basis disclosure,https://apiapp.bpn.com.ar/Resources/Files/06c53b4c8d1a4285ae8685e7d02644a2.pdf,.pdf,used_context
P0,issuer_registry_v89_v96,94,Banco Provincia del Neuquén S.A.,FY2023 official Balance / Annex Q,https://apiapp.bpn.com.ar/Resources/Files/3c8ae1e827054171978cb213a56891df.pdf,.pdf,used
P0,issuer_registry_v89_v96,95,Banco de Formosa S.A.,9M2023 official separated package / Annex Q,https://www.bancoformosa.com.ar/Multimedios/pdfs/117571.pdf,.pdf,used_primary
P0,issuer_registry_v89_v96,95,Banco de Formosa S.A.,FY2023 official financial-statements package,https://www.bancoformosa.com.ar/Multimedios/pdfs/117598.pdf,.pdf,used_primary
P0,issuer_registry_v89_v96,95,Banco de Formosa S.A.,official 2023 integrated report,https://www.bancoformosa.com.ar/Multimedios/pdfs/118254.pdf,.pdf,used_primary_control
P0,issuer_registry_v89_v96,93,Banco de La Pampa S.E.M.,FY2023 official issuer Memoria/Balance Annex Q,https://www.bancodelapampa.com.ar/files/files/Dise%C3%B1o%20Memoria%20y%20Balance%20General%202023%20web.pdf,.pdf,used
P0,issuer_registry_v89_v96,89,Banco de San Juan S.A.,30/09/2023,https://assets.ctfassets.net/e7eu92ue673r/y9IVnh4fy1BgWES0TUbmZ/468b8e783fed7b6e18bd70a9ee7bebf9/30.09.2023__SEPARADOS_.pdf,.pdf,URL_AND_CHECKPOINT_AUDIT_ONLY_BINARY_NOT_CONTAINER_RETRIEVED
