path,bytes,mib,over_50_mib,over_100_mib
.gitignore,571,0.000545,False,False
BACKUP_ACTUALIZACION_2026-08-25.md,648,0.000618,False,False
BACKUP_ACTUALIZACION_2026-08-27.md,1866,0.001780,False,False
BACKUP_ACTUALIZACION_2026-08-28.md,10599,0.010108,False,False
BACKUP_ACTUALIZACION_2026-08-29.md,31580,0.030117,False,False
index.html,8039192,7.666771,False,False
RESTORE_LARGE_SOURCES.ps1,1831,0.001746,False,False
TREE.txt,1286658,1.227053,False,False
data/derivados/add_household_signs_return_scenarios_v130.py,29100,0.027752,False,False
data/derivados/add_rates_timeline_checkbox_v132.py,6076,0.005795,False,False
data/derivados/add_svg_pattern_v129.py,3283,0.003131,False,False
data/derivados/add_who_benefits_notes_v131.py,15235,0.014529,False,False
data/derivados/audit_claude_feedback_consistency.py,7170,0.006838,False,False
data/derivados/audit_financial_pincer.py,59590,0.056829,False,False
data/derivados/AUDITORIA_COBERTURA_FUENTES_V149.md,7674,0.007318,False,False
data/derivados/AUDITORIA_COBERTURA_FUENTES_V194.md,4299,0.004100,False,False
data/derivados/AUDITORIA_COBERTURA_FUENTES_V195.md,5043,0.004809,False,False
data/derivados/AUDITORIA_ESCALAS_LOG_Y_JERARQUIA_VISUAL_V148.md,5013,0.004781,False,False
data/derivados/AUDITORIA_FEEDBACK_CLAUDE.md,13962,0.013315,False,False
data/derivados/AUDITORIA_PINZA_FINANCIERA.md,4757,0.004537,False,False
data/derivados/build_fintech_layout_and_milei.py,8193,0.007813,False,False
data/derivados/build_milei_shock_bridge.py,11604,0.011066,False,False
data/derivados/build_public_rates_reading.py,10152,0.009682,False,False
data/derivados/build_rates_volume.py,57978,0.055292,False,False
data/derivados/build_salary_june_2026.py,19945,0.019021,False,False
data/derivados/build_unified_1843_account.py,30159,0.028762,False,False
data/derivados/COBERTURA_FUENTES_V194.csv,1732,0.001652,False,False
data/derivados/fintech_saldos_mensuales.csv,357,0.000340,False,False
data/derivados/FUENTES_V194_QA.json,160,0.000153,False,False
data/derivados/HANDOVER_REDISENO_POST_V148.md,46770,0.044603,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V180.md,62881,0.059968,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V181.md,64045,0.061078,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V182.md,64904,0.061897,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V183.md,65867,0.062816,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V184.md,66847,0.063750,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V185.md,67629,0.064496,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V186.md,69359,0.066146,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V187.md,70383,0.067122,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V188.md,71355,0.068049,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V189.md,72158,0.068815,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V190.md,72853,0.069478,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V191.md,73595,0.070186,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V192.md,74376,0.070930,False,False
data/derivados/HANDOVER_REDISENO_V149_A_V193.md,75221,0.071736,False,False
data/derivados/lo_que_te_robo_reconciliacion.csv,1159,0.001105,False,False
data/derivados/plazo_fijo_30_59_monto_mensual.csv,12794,0.012201,False,False
data/derivados/prestamos_personales_monto_operado_mensual.csv,13202,0.012590,False,False
data/derivados/tasas_impacto_financiero_post_shock.csv,10247,0.009772,False,False
data/derivados/tasas_impacto_financiero_ventana_espejo.csv,9978,0.009516,False,False
data/derivados/tasas_pinza_hogar_auditada.csv,30328,0.028923,False,False
data/derivados/tasas_resumen_auditado.json,1698,0.001619,False,False
data/derivados/credito_consumo/bcra_bancos_ofertas_y_resultados_2026-08-30.csv,15894,0.015158,False,False
data/derivados/credito_consumo/bcra_inclusion_prestamos_personales_2023_2025.csv,7827,0.007464,False,False
data/derivados/credito_consumo/bcra_inclusion_prestamos_personales_edad_cortes_2023_2025.csv,21209,0.020226,False,False
data/derivados/credito_consumo/bcra_inclusion_proveedores_2023_2025.csv,60415,0.057616,False,False
data/derivados/credito_consumo/bcra_panel_bancos_2023_2026.csv,279415,0.266471,False,False
data/derivados/credito_consumo/bcra_panel_bancos_resumen_2023_2026.csv,2609,0.002488,False,False
