carrier,bytes,sha256,type,validation_status,detail
CICLO_AJUSTE_CHECKPOINT_V89(1)(1).zip,46678,3d62603779003d42fb52a52072158c13723c59749afa43457c2f2e620f96258f,zip,zip_ok,
CICLO_AJUSTE_CHECKPOINT_V89(2).zip,46678,3d62603779003d42fb52a52072158c13723c59749afa43457c2f2e620f96258f,zip,zip_ok,
sep2023(1).7z,17016237,31a0a315444496d4336695b6bd48deb562456df10e47fbc46de3703a77528bdb,7z,sha256_exact_current_repo_archive,202309d.7z
dic2023(1).7z,17296123,60ef86addba5e6646a2bfd42853ca077ea7970e9fa6effe54f1179049868f0d4,7z,sha256_exact_current_repo_archive,202312d.7z
202312d.7z,17296123,60ef86addba5e6646a2bfd42853ca077ea7970e9fa6effe54f1179049868f0d4,7z,sha256_exact_current_repo_archive,202312d.7z
202309d.7z,17016237,31a0a315444496d4336695b6bd48deb562456df10e47fbc46de3703a77528bdb,7z,sha256_exact_current_repo_archive,202309d.7z
202406d(3).7z,17346550,316c6c80f1206b08e13753bb4ac8b8ffe6239fbbf523dc7bddf9154e0e95385d,7z,sha256_exact_current_repo_archive,202406d.7z
CICLO_AJUSTE_CHECKPOINT_V82(1).zip,21600,9dc31c900d5f7201037300b434d3ff9405d202a8997666e56ff63537e90dd0ab,zip,zip_ok,
CICLO_AJUSTE_CHECKPOINT_V81(1).zip,17878,135970c512962e124f140143f7ee98d387beed506c4658c6f5079f985504357e,zip,zip_ok,
BUNDLE_REPO_CICLO_AJUSTE_CHECKPOINT_V80_BCRA0923(1).zip,172818524,9cb601add9dd4e07aab2b1848ca846d209deade186dedb187855e39a07265e9a,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V80_BCRA_LEGACY_DATE_ENDPOINT_AND_BNA_COMPARATIVE_BACKFILL_GATE(1).zip,22300519,36a0e5a010ffd59b34691e56e8c2df356cd0f7c15be3e1641651e66a6074e32f,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V79_BNA_BASIS_DIVERGENCE_AND_BCRA_ARCHIVE_SCOPE_GATE(1).zip,11166377,066dc8cb04fb0ad564ff536aa0cb9252338fc62d281daad34d1215ec2590b3da,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V78_BAPRO_9M_SEPARATED_FOUR_LEG_RECOVERY_AND_Q4_PROMOTION(1).zip,11136868,c5ee329922f61752056a35525d78583eb6377225ee4485332b0d17a5c5ed013b,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V76_BCRA_TRIMANUA_TAXONOMY_AND_PUBLIC_BANK_ALTERNATE_DISCLOSURE_GATE(1).zip,8985526,6bb844c965acfe2dc09b085034f019001e97a7395143edd3bc6da1a11e391960,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V75_CREDICOOP_9M_ALTERNATE_FOUR_LEG_BRIDGE(1).zip,8961505,33113e2abf8e1b555b127537a09fc6b3b65b4ac524b2c16d210634ec720cb20f,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V74_BCRA_SEP2023_ENTITY_LEVEL_REGULATORY_CONTROL(1).zip,3979246,5198fe12bd7960b23acf2ff796f065d6061ac87edb814770e7a3755c366446c4,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V73_PUBLIC_BANK_9M_RECOVERY_CHECKPOINT(1).zip,3967186,e15d23d91b860afce93b7bf4b701f3f029d11404c95a7242af83cdda5ee092c0,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V72_BNA_AGN_BINARY_RECOVERY_AND_ANNEX_Q_FREQUENCY_CORRECTION(1).zip,3948518,a10581613d5e40ae978879d34eb8e83815da9ea881b2a8e2dda69c424232a368,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V71_REGULATORY_ARCHIVE_RECOVERY_AND_SOURCE_SCOPE_REFINEMENT(2).zip,1809885,9c7b0d5bb7f77fbc247ef25f9441e79e50f05c53494678388a2d5b6c587da42f,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V70_BNA_9M_SOURCE_AUDIT_AND_PUBLIC_BANK_RETRIEVAL_GATE(3).zip,1768698,463fafe24cdb8b39c79c2c8bdf7ebc4d1e44f4e5176af5e0364eba8235349c61,zip,zip_ok,
