scope,id,tema,titulo,url,declared_local_path,url_extension,audit_state,local_matches,versions,reference_files,registry_statuses,period_or_role,already_in_master_catalog
data/fuentes/FUENTES.csv,bcra_iif_1s2024_ahorro_ph,ahorro_hogares,Informe de Inclusión Financiera · primer semestre 2024,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-primer-semestre-2024/,,,reference_only_web_or_nonbinary,,,,,,
data/fuentes/FUENTES.csv,bcra_iif_2s2024_ahorro_ph,ahorro_hogares,Informe de Inclusión Financiera · segundo semestre 2024,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-segundo-semestre-del-2024/,,,reference_only_web_or_nonbinary,,,,,,
data/fuentes/FUENTES.csv,bcra_iif_2s2025_ahorro_ph,ahorro_hogares,Informe de Inclusión Financiera · segundo semestre 2025,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-segundo-semestre-de-2025/,,,reference_only_web_or_nonbinary,,,,,,
data/fuentes/FUENTES.csv,indec_estrategias_manutencion_2025,ahorro_hogares,Estrategias de manutención: ¿cómo organizan su economía los hogares argentinos?,https://www.indec.gob.ar/ftp/cuadros/publicaciones/dosier_estrategias_manutencion_2025.pdf,/data/fuentes/hogares/indec/indec_estrategias_manutencion_2025.pdf,.pdf,binary_preserved_sha256_verified,/data/fuentes/hogares/indec/indec_estrategias_manutencion_2025.pdf,,,,,yes
data/fuentes/FUENTES.csv,afip_recaudacion_aporte_2021,aporte_solidario,Informe de recaudación · 4° trimestre 2021,https://contenidos.afip.gob.ar/institucional/estudios/archivos/informe-4-trimestre-2021.pdf,/data/fuentes/grandes_fortunas/aporte_solidario/afip_informe_recaudacion_4t_2021.pdf,,binary_preserved_sha256_verified,/data/fuentes/grandes_fortunas/aporte_solidario/afip_informe_recaudacion_4t_2021.pdf,,,,,yes
data/fuentes/FUENTES.csv,aporte_solidario_informe_final,aporte_solidario,Aporte Solidario y Extraordinario · informe final al 17/12/2021,https://www.argentina.gob.ar/sites/default/files/2021/12/aporte_solidario_final_2021.12.20.pdf,/data/fuentes/grandes_fortunas/aporte_solidario/aporte_solidario_final_2021-12-20.pdf,,binary_preserved_sha256_verified,/data/fuentes/grandes_fortunas/aporte_solidario/aporte_solidario_final_2021-12-20.pdf,,,,,yes
data/fuentes/FUENTES.csv,bcra_ief_1s2018_ciclo,ciclo_ajuste_bancos,IEF · primer semestre 2018,https://www.bcra.gob.ar/publicaciones/informe-de-estabilidad-financiera-primer-semestre-de-2018/,,,reference_only_web_or_nonbinary,,,,,,
data/fuentes/FUENTES.csv,bcra_ief_1s2019_ciclo,ciclo_ajuste_bancos,IEF · primer semestre 2019,https://www.bcra.gob.ar/publicaciones/informe-de-estabilidad-financiera-primer-semestre-2019/,,,reference_only_web_or_nonbinary,,,,,,
data/fuentes/FUENTES.csv,bcra_ief_1s2024_ciclo,ciclo_ajuste_bancos,IEF · primer semestre 2024,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0124.pdf,/data/fuentes/ciclo_ajuste/backfill_v96/bcra_ief_1s2024_ciclo.pdf,.pdf,binary_preserved_sha256_verified,/data/fuentes/ciclo_ajuste/backfill_v96/bcra_ief_1s2024_ciclo.pdf,,,,,yes
data/fuentes/FUENTES.csv,bcra_ief_2s2023_ciclo,ciclo_ajuste_bancos,IEF · segundo semestre 2023,https://www.bcra.gob.ar/publicaciones/informe-de-estabilidad-financiera-segundo-semestre-de-2023/,,,reference_only_web_or_nonbinary,,,,,,
data/fuentes/FUENTES.csv,bcra_ief_2s2024_ciclo,ciclo_ajuste_bancos,IEF · segundo semestre 2024,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf,/data/fuentes/ciclo_ajuste/backfill_v96/bcra_ief_2s2024_ciclo.pdf,.pdf,binary_preserved_sha256_verified,/data/fuentes/ciclo_ajuste/backfill_v96/bcra_ief_2s2024_ciclo.pdf,,,,,yes
data/fuentes/FUENTES.csv,bcra_isb_abr2014_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · abril 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-abril-de-2014/,,,reference_only_web_or_nonbinary,,,,,,
data/fuentes/FUENTES.csv,bcra_isb_abr2018_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · abril 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-abril-2018/,,,reference_only_web_or_nonbinary,,,,,,
data/fuentes/FUENTES.csv,bcra_isb_dic2013_buffers,ciclo_ajuste_bancos,Informe sobre Bancos · diciembre 2013,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-diciembre-de-2013/,,,reference_only_web_or_nonbinary,,,,,,
data/fuentes/FUENTES.csv,bcra_isb_dic2018_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · diciembre 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-diciembre-de-2018-2/,,,reference_only_web_or_nonbinary,,,,,,
data/fuentes/FUENTES.csv,bcra_isb_dic2023_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · diciembre 2023,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-diciembre-de-2023/,,,reference_only_web_or_nonbinary,,,,,,
data/fuentes/FUENTES.csv,bcra_isb_ene2014_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · enero 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-enero-de-2014/,,,reference_only_web_or_nonbinary,,,,,,
