source_archive,virtual_path,basename,size,crc,container_chain,method,normbase,depth
FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,AQ_FREQUENCY_CORRECTION_V60.csv,AQ_FREQUENCY_CORRECTION_V60.csv,293,27279586,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,zip,aqfrequencycorrectionv60csv,0
FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,AQ_SYSTEM_AGGREGATE_2023_V60.csv,AQ_SYSTEM_AGGREGATE_2023_V60.csv,453,3657801338,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,zip,aqsystemaggregate2023v60csv,0
FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,AQ_TO_IEF_ANNUAL_BRIDGE_V60.csv,AQ_TO_IEF_ANNUAL_BRIDGE_V60.csv,521,3222057515,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,zip,aqtoiefannualbridgev60csv,0
FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,AUDITORIA_V60.md,AUDITORIA_V60.md,1028,3191199415,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,zip,auditoriav60md,0
FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,BASE_V59.zip,BASE_V59.zip,1488966,3327583224,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,zip,basev59zip,0
FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,INTEREST_ACCRUED_SECTOR_FLOW_V59.csv,INTEREST_ACCRUED_SECTOR_FLOW_V59.csv,3456,2350036141,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip::BASE_V59.zip,zip,interestaccruedsectorflowv59csv,1
FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,SECURITIES_RESULT_ISSUER_FLOW_V59.csv,SECURITIES_RESULT_ISSUER_FLOW_V59.csv,973,2396753114,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip::BASE_V59.zip,zip,securitiesresultissuerflowv59csv,1
FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,MANIFEST_V59.json,MANIFEST_V59.json,3173,1958130905,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip::BASE_V59.zip,zip,manifestv59json,1
FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,VEREDICTO_V59.md,VEREDICTO_V59.md,1520,2869004237,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip::BASE_V59.zip,zip,veredictov59md,1
FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,POSITIVE_FINANCIAL_INCOME_FORMULA_V59.csv,POSITIVE_FINANCIAL_INCOME_FORMULA_V59.csv,2665,3309765842,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip::BASE_V59.zip,zip,positivefinancialincomeformulav59csv,1
