path,bytes,mib,over_25_mib,over_50_mib,over_100_mib
.gitignore,516,0.000492,FALSE,FALSE,FALSE
BACKUP_ACTUALIZACION_2026-08-25.md,648,0.000618,FALSE,FALSE,FALSE
BACKUP_ACTUALIZACION_2026-08-27.md,1866,0.001780,FALSE,FALSE,FALSE
BACKUP_ACTUALIZACION_2026-08-28.md,6920,0.006599,FALSE,FALSE,FALSE
RESTORE_LARGE_SOURCES.ps1,1831,0.001746,FALSE,FALSE,FALSE
data/derivados/AUDITORIA_COBERTURA_FUENTES_V149.md,7674,0.007318,FALSE,FALSE,FALSE
data/derivados/AUDITORIA_COBERTURA_FUENTES_V194.md,4299,0.004100,FALSE,FALSE,FALSE
data/derivados/AUDITORIA_COBERTURA_FUENTES_V195.md,5043,0.004809,FALSE,FALSE,FALSE
data/derivados/AUDITORIA_ESCALAS_LOG_Y_JERARQUIA_VISUAL_V148.md,5013,0.004781,FALSE,FALSE,FALSE
data/derivados/AUDITORIA_FEEDBACK_CLAUDE.md,13962,0.013315,FALSE,FALSE,FALSE
data/derivados/AUDITORIA_PINZA_FINANCIERA.md,4757,0.004537,FALSE,FALSE,FALSE
data/derivados/COBERTURA_FUENTES_V194.csv,1732,0.001652,FALSE,FALSE,FALSE
data/derivados/FUENTES_V194_QA.json,160,0.000153,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_POST_V148.md,46770,0.044603,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V180.md,62881,0.059968,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V181.md,64045,0.061078,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V182.md,64904,0.061897,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V183.md,65867,0.062816,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V184.md,66847,0.063750,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V185.md,67629,0.064496,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V186.md,69359,0.066146,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V187.md,70383,0.067122,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V188.md,71355,0.068049,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V189.md,72158,0.068815,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V190.md,72853,0.069478,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V191.md,73595,0.070186,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V192.md,74376,0.070930,FALSE,FALSE,FALSE
data/derivados/HANDOVER_REDISENO_V149_A_V193.md,75221,0.071736,FALSE,FALSE,FALSE
data/derivados/__pycache__/add_svg_pattern_v129.cpython-314.pyc,5824,0.005554,FALSE,FALSE,FALSE
data/derivados/__pycache__/audit_financial_pincer.cpython-312.pyc,67746,0.064608,FALSE,FALSE,FALSE
data/derivados/__pycache__/build_fintech_layout_and_milei.cpython-314.pyc,9172,0.008747,FALSE,FALSE,FALSE
data/derivados/__pycache__/build_milei_shock_bridge.cpython-314.pyc,12457,0.011880,FALSE,FALSE,FALSE
data/derivados/__pycache__/build_public_rates_reading.cpython-314.pyc,11184,0.010666,FALSE,FALSE,FALSE
data/derivados/__pycache__/build_rates_volume.cpython-312.pyc,64526,0.061537,FALSE,FALSE,FALSE
data/derivados/__pycache__/build_salary_june_2026.cpython-314.pyc,27902,0.026609,FALSE,FALSE,FALSE
