gap_idx,priority,entity,basename,source_archive,container_chain,virtual_path,line,match_type,context
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip::BASE_V56.zip::BASE_V55.zip::BASE_V54.zip::BASE_V53.zip,FUENTES_V53.md,14,url_exact,- **BCRA_IEF_II_2024_PDF** — https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip,FUENTES_V57.md,6,basename,   https://www.bcra.gob.ar/pdfs/publicacionesestadisticas/bolmetes.pdf  
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip,RAW_API_MANIFEST_V57.csv,2,basename,"BCRA_BOLMETES_METHOD,official_methodology_pdf,https://www.bcra.gob.ar/pdfs/publicacionesestadisticas/bolmetes.pdf,monthly-results publication regime,VERIFIED_WEB_TEXT,NO,,Explicitly says publication of monthly results was discontinued from Jan-2020; accumulated monthly results remain in month-end homogeneous currency."
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip::BASE_V59.zip::BASE_V58.zip,FUENTES_V58.md,4,url_exact,URL: https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip::BASE_V59.zip::BASE_V58.zip,RAW_MODERN_XLSX_MANIFEST_V58.csv,6,url_exact,"IEF_DEC2024_PDF,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf,YES,WEB_PARSED_ONLY,,TABLE_2_EXACTLY_PARSED_AND_SCREENSHOT_VERIFIED,Exact Q3/Q4 2023 analytical profitability components"
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip::BASE_V59.zip,FUENTES_V59.md,12,url_exact,   https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V61_SYSTEM_Q4_AQ_PASS_NETTING(4).zip,FRONTERA_CICLO_AJUSTE_V61_SYSTEM_Q4_AQ_PASS_NETTING(4).zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip::BASE_V56.zip::BASE_V55.zip::BASE_V54.zip::BASE_V53.zip,FUENTES_V53.md,14,url_exact,- **BCRA_IEF_II_2024_PDF** — https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V61_SYSTEM_Q4_AQ_PASS_NETTING(4).zip,FRONTERA_CICLO_AJUSTE_V61_SYSTEM_Q4_AQ_PASS_NETTING(4).zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip,FUENTES_V57.md,6,basename,   https://www.bcra.gob.ar/pdfs/publicacionesestadisticas/bolmetes.pdf  
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V61_SYSTEM_Q4_AQ_PASS_NETTING(4).zip,FRONTERA_CICLO_AJUSTE_V61_SYSTEM_Q4_AQ_PASS_NETTING(4).zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip,RAW_API_MANIFEST_V57.csv,2,basename,"BCRA_BOLMETES_METHOD,official_methodology_pdf,https://www.bcra.gob.ar/pdfs/publicacionesestadisticas/bolmetes.pdf,monthly-results publication regime,VERIFIED_WEB_TEXT,NO,,Explicitly says publication of monthly results was discontinued from Jan-2020; accumulated monthly results remain in month-end homogeneous currency."
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V61_SYSTEM_Q4_AQ_PASS_NETTING(4).zip,FRONTERA_CICLO_AJUSTE_V61_SYSTEM_Q4_AQ_PASS_NETTING(4).zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip,FUENTES_V58.md,4,url_exact,URL: https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
