year,autos_units,motos_units,period_status,auto_source_segment
2002,96951,,annual,CEDEM from DNRPA-ACARA
2003,143273,,annual,CEDEM from DNRPA-ACARA
2004,280271,,annual,CEDEM from DNRPA-ACARA
2005,389823,,annual,CEDEM from DNRPA-ACARA
2006,453152,,annual,CEDEM from DNRPA-ACARA
2007,572744,,annual,CEDEM from DNRPA-ACARA
2008,610769,,annual,Produccion archive
2009,514903,,annual,Produccion archive
2010,662738,,annual,Produccion archive
2011,858022,,annual,Produccion archive
2012,840992,,annual,Produccion archive
2013,956721,,annual,Produccion archive
2014,687186,,annual,Produccion archive
2015,644019,,annual,Produccion archive
2016,710014,,annual,Produccion archive
2017,901019,,annual,Produccion archive
2018,803048,,annual,Produccion archive
2019,459753,320671,annual,ACARA-SIOMAA
2020,342474,265260,annual,ACARA-SIOMAA
2021,381777,383767,annual,ACARA-SIOMAA
2022,407532,411241,annual,ACARA-SIOMAA
2023,449438,470691,annual,ACARA-SIOMAA
2024,414211,485221,annual,ACARA-SIOMAA
2025,612178,650325,annual,ACARA-SIOMAA
2026,339359,511986,January-July only,ACARA-SIOMAA
