year,beef_kg_per_capita,poultry_kg_per_capita,pork_kg_per_capita,total_kg_per_capita,period_status
2002,59.60,17.60,4.98,82.18,annual
2003,60.82,18.40,5.33,84.55,annual
2004,63.49,21.60,5.75,90.84,annual
2005,62.26,24.20,6.22,92.68,annual
2006,64.15,27.80,7.37,99.32,annual
2007,68.97,28.90,7.94,105.81,annual
2008,68.76,31.50,7.62,107.88,annual
2009,68.36,33.40,7.96,109.72,annual
2010,57.78,34.90,8.06,100.74,annual
2011,55.38,39.00,8.64,103.02,annual
2012,58.75,40.20,8.56,107.51,annual
2013,63.08,39.60,10.40,113.08,annual
2014,58.81,40.40,10.65,109.86,annual
2015,58.60,45.80,11.40,115.80,annual
2016,55.40,43.10,12.30,110.80,annual
2017,57.30,44.50,13.70,115.50,annual
2018,56.50,44.10,14.10,114.70,annual
2019,51.10,45.40,14.10,110.70,annual
2020,50.68,46.79,14.34,111.81,annual
2021,49.40,46.32,15.86,111.58,annual
2022,50.98,46.35,16.80,114.12,annual
2023,52.72,46.46,16.82,115.99,annual
2024,48.49,46.25,17.42,112.16,annual
2025,49.92,47.68,18.89,116.48,annual
2026,47.40,46.70,19.60,113.70,PM12 through May; not calendar year
