series_code,legacy_role,legacy_public_name,v56_series_id_continuity,post2020_published_or_conceptual_counterpart,v57_mapping_status,notes
1150,monthly_total_result,Resultados Mensuales de entidades financieras -total,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,P24 Resultado total integral acumulado del período,CONCEPTUAL_BROAD_COUNTERPART_NOT_EXACT_MONTHLY_SERIES,"Post-2020 publication is accumulated homogeneous-currency result, not legacy monthly result."
1151,earned_interest_total,Resultados Mensuales de entidades financieras por intereses ganados totales,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,P24 Ingresos financieros - Por Intereses,BROAD_PUBLISHED_LINE_AVAILABLE_EQUIVALENCE_NOT_ESTABLISHED,Useful directional bridge only.
1152,earned_interest_liquidity,Resultados Mensuales de entidades financieras por intereses ganados de disponibilidades,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,,NO_DIRECT_POST2020_RAW_LINE_IDENTIFIED,
1153,earned_interest_loans_plus_indexation,Resultados Mensuales de entidades financieras por intereses ganados de préstamos ,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,Indicator R8 numerator: Total de Flujo de Intereses por Préstamos + ajustes,CONCEPTUAL_POST2020_COUNTERPART_EXISTS_RAW_AMOUNT_NOT_EXPOSED_ON_P24,Confirms a post-2020 loans-interest flow concept; still no household/corporate sector split.
1154,earned_interest_active_passes,Resultados Mensuales de entidades financieras por intereses ganados de pases activos,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,IEF/Informe sobre Bancos analytic component: primas por pases,ANALYTIC_COMPONENT_EXISTS_NOT_P24_RAW,Counterparty can be BCRA when instrument is BCRA repo; target +7.7 pp remains frozen from IEF.
1155,earned_interest_fx_forward_sales,Resultados Mensuales de entidades financieras por intereses ganados de activos emergentes de operaciones a término vinculadas con venta de mon.ext.,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,IEF FX / other-financial components,OVERLAPPING_CONCEPTUAL_COUNTERPART_NO_EXACT_ACCOUNT_BRIDGE,"FX mixes remeasurement, trading, forwards/derivatives; no direct household identity."
1156,earned_interest_other_financing,Resultados Mensuales de entidades financieras por intereses ganados de otras financiaciones por intermediación financiera,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,,NO_DIRECT_POST2020_RAW_LINE_IDENTIFIED,
1157,paid_interest_total,Resultados Mensuales de entidades financieras por intereses pagados totales,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,P24 Egresos financieros - Por Intereses,BROAD_PUBLISHED_LINE_AVAILABLE_EQUIVALENCE_NOT_ESTABLISHED,"Broad funding expense, not a depositor-sector split."
1158,paid_interest_deposits_plus_indexation,Resultados Mensuales de entidades financieras deintereses pagados por depósitos ,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,P24 interest expenses plus indexed-deposit adjustments may be embedded,CER_DEPOSIT_SIDE_CONCEPTUAL_ONLY,"Household can be depositor receiving indexation, falsifying one-way household->bank CER mapping."
1159,paid_interest_passive_passes,Resultados Mensuales de entidades financieras por intereses pagados por pases pasivos,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,IEF/Informe sobre Bancos analytic component: primas por pases,ANALYTIC_COMPONENT_EXISTS_NOT_P24_RAW,Counterparty can be BCRA when instrument is BCRA repo; target +7.7 pp remains frozen from IEF.
