gap_id,priority,entity_or_id,role,url,web_probe_status,sandbox_raw_byte_status,local_downloader_status,note
0,P0,BICE,FY2023 issuer,https://www.bice.com.ar/wp-content/uploads/2025/03/Memoria-y-Balance-2023.pdf,web_reader_ok,UNAVAILABLE_FROM_WEB_LAYER,QUEUED,279-page PDF readable in web layer; raw bytes not exportable to sandbox in this mode
1,P0,Banco CMF S.A.,official 2023 report,https://www.bancocmf.com.ar/wp-content/uploads/Anual-2023-Memoria.pdf,web_reader_ok,UNAVAILABLE_FROM_WEB_LAYER,QUEUED,63-page PDF readable in web layer; raw bytes not exportable to sandbox in this mode
2,P0,Banco Industrial,FY2023 separated issuer,https://www.garval.sba.com.ar/images/LEGALIZADOS-BIND---2023---12---EEFF-Separados.pdf,web_reader_internal_error,UNAVAILABLE_FROM_WEB_LAYER,QUEUED,Direct web PDF fetch errored; queued for local downloader
3,P0,Banco Provincia del Neuquén S.A.,2023 standalone/group-basis disclosure,https://apiapp.bpn.com.ar/Resources/Files/06c53b4c8d1a4285ae8685e7d02644a2.pdf,web_reader_ok,UNAVAILABLE_FROM_WEB_LAYER,QUEUED,8-page PDF readable in web layer; raw bytes not exportable to sandbox in this mode
4,P0,Banco Provincia del Neuquén S.A.,FY2023 official Balance / Annex Q,https://apiapp.bpn.com.ar/Resources/Files/3c8ae1e827054171978cb213a56891df.pdf,web_reader_ok,UNAVAILABLE_FROM_WEB_LAYER,QUEUED,94-page PDF readable in web layer; raw bytes not exportable to sandbox in this mode
5,P0,Banco de Formosa S.A.,9M2023 official separated package / Annex Q,https://www.bancoformosa.com.ar/Multimedios/pdfs/117571.pdf,web_reader_ok,UNAVAILABLE_FROM_WEB_LAYER,QUEUED,105-page PDF readable in web layer; raw bytes not exportable to sandbox in this mode
6,P0,Banco de Formosa S.A.,FY2023 official financial-statements package,https://www.bancoformosa.com.ar/Multimedios/pdfs/117598.pdf,web_reader_too_large,UNAVAILABLE_FROM_WEB_LAYER,QUEUED,Web layer reported source too large (~12.3 MB); queued for local downloader
7,P0,Banco de Formosa S.A.,official 2023 integrated report,https://www.bancoformosa.com.ar/Multimedios/pdfs/118254.pdf,web_reader_too_large,UNAVAILABLE_FROM_WEB_LAYER,QUEUED,Web layer reported source too large (~54.5 MB); queued for local downloader
8,P0,Banco de La Pampa S.E.M.,FY2023 official issuer Memoria/Balance Annex Q,https://www.bancodelapampa.com.ar/files/files/Dise%C3%B1o%20Memoria%20y%20Balance%20General%202023%20web.pdf,web_reader_ok,UNAVAILABLE_FROM_WEB_LAYER,QUEUED,104-page PDF readable in web layer; raw bytes not exportable to sandbox in this mode
9,P0,Banco de San Juan S.A.,30/09/2023,https://assets.ctfassets.net/e7eu92ue673r/y9IVnh4fy1BgWES0TUbmZ/468b8e783fed7b6e18bd70a9ee7bebf9/30.09.2023__SEPARADOS_.pdf,web_reader_ok,UNAVAILABLE_FROM_WEB_LAYER,QUEUED,102-page PDF readable in web layer; raw bytes not exportable to sandbox in this mode
