persona_id,persona,nivel_cargo,cargo,jurisdiccion,partido_o_alianza,estado_ddjj_cargo_actual,fuente_ddjj_actual_url,oa_historial_estado,oa_historial_nombres,oa_anios,estado_busqueda_patrimonial,estado_investigacion,fecha_estado_investigacion,motivo_estado_investigacion,iteracion_sugerida,siguiente_accion
dip-aguirre-hilda,Hilda Aguirre,Diputados nacionales,Diputado/a nacional,La Rioja,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,AGUIRRE HILDA CLELIA,2018|2019|2020|2021|2022|2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,2,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-aguero-guillermo-cesar,Guillermo César Agüero,Diputados nacionales,Diputado/a nacional,Chaco,UCR - UNIÓN CÍVICA RADICAL,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-ajmechet-sabrina,Sabrina Ajmechet,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,AJMECHET SABRINA CARLOTA,2021|2022|2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,4,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-ali-ernesto-pipi,Ernesto Pipi Alí,Diputados nacionales,Diputado/a nacional,San Luis,UNIÓN POR LA PATRIA,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-almena-carlos-alberto,Carlos Alberto Almena,Diputados nacionales,Diputado/a nacional,San Luis,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-almiron-lisandro,Lisandro Almirón,Diputados nacionales,Diputado/a nacional,Corrientes,LA LIBERTAD AVANZA,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-alvarez-claudio,Claudio Álvarez,Diputados nacionales,Diputado/a nacional,San Luis,ARGENTINA FEDERAL,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,coincidencia_multiple_revisar_homonimia,ALVAREZ CLAUDIO ARIEL | ALVAREZ CLAUDIO DE JESUS | ALVAREZ CLAUDIO IVAN FERNANDO,2017|2018|2019|2020|2021|2022|2023,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,13,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-andino-cristian,Cristian Andino,Diputados nacionales,Diputado/a nacional,San Juan,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-andrade-javier,Javier Andrade,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,ANDRADE JAVIER,2022,revision_manual_identidad,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",3,Resolver variaciones de nombre o identificador antes de usar importes.
dip-andreussi-barbara,Barbara Andreussi,Diputados nacionales,Diputado/a nacional,Jujuy,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
