entity,basis,period,income_bcra,expense_bcra,income_otherfi,expense_otherfi,net_bcra,net_otherfi,quality,target_basis_compatible,system_panel_eligible_v72,v72_note
Banco Ciudad de Buenos Aires,CONSOLIDATED,Q4-2023,0,0,370794209.0769231,327736.1227385137,0,370466472.95418453,EXACT,NO_CONSOLIDATED_CONTROL_ONLY,NO,"V79 re-audit: official FY consolidated Annex Q confirms otherFI pass income 469,990,158k and expense 791,821k; 9M consolidated control remains compatible for control bridge only. Separated/individual source still required for strict panel. V82: issuer consolidated auditor explicitly states a separate 30-09-2023 review/report was issued; binary still not recovered, so this remains control-only. V84: independent BCRA raw individual/regulatory account archive reproduces the same 9M/FY pass values; consolidated row retained only as historical control."
Banco Macro SA,CONSOLIDATED,Q4-2023,83520202.8273678,0,647816.0410429954,2711008.8356978633,83520202.8273678,-2063192.7946548678,EXPENSE_APPROX_FROM_ROUNDED_QUARTERLY_TABLE,NO_CONSOLIDATED_CONTROL_ONLY,NO,Inherited consolidated control only; superseded for strict system-panel use by new exact separated-individual Q4 row.
Banco de Galicia y Buenos Aires SAU,INDIVIDUAL,Q4-2023,228495363.41333684,N/D,6150559.389648143,1422129.1574905645,N/D,4728430.232157579,PARTIAL_EXACT,YES,NO_INCOMPLETE_FOUR_LEG,"Basis-compatible and useful for otherFI subset, but BCRA expense leg remains missing."
Banco Santander Argentina SA,CONSOLIDATED,Q4-2023,0_to_6246336.000000,N/D,>=196390099.295284,N/D,N/D,N/D,COUNTERPARTY_BOUND_ONLY,NO_CONSOLIDATED_CONTROL_ONLY,NO,Inherited consolidated Q4 counterparty bound retained only as legacy control; V68 recovers individual 9M/FY primary statements and derives a separate individual Q4 income bound.
BBVA Argentina,CONSOLIDATED,Q4-2023,N/D,N/D,N/D,N/D,N/D,N/D,TOTAL_ONLY_COUNTERPARTY_UNSPLIT,NO_CONSOLIDATED_CONTROL_ONLY,NO,Individual Annex Q split still needed.
Banco de la Nacion Argentina,CONSOLIDATED,FY-2023,766170918,0,3980009,0,766170918,3980009,ANNUAL_CONTROL_NOT_Q4,NO_CONSOLIDATED_CONTROL_ONLY,NO,FY consolidated annual Annex Q control only; 9M consolidated review report recovered but no four-leg values. A7809 makes Q annual; target basis remains separated individual.
Industrial and Commercial Bank of China (Argentina) S.A.U.,INDIVIDUAL_STANDALONE,Q4-2023,199396505.326565,0,41833.72489,943870.859083,199396505.326565,-902037.134193,EXACT_FROM_OFFICIAL_9M_AND_FY_HOMOGENEOUS_DIFFERENCING,YES,YES_EXACT_Q4_TARGET_BASIS,Exact full-four-leg Q4 target-basis entity; remains strict eligible.
Banco de la Provincia de Buenos Aires,SEPARATED_INDIVIDUAL,FY-2023,1040489497.0,0,0,2428.0,1040489497.0,-2428.0,EXACT_OFFICIAL_ANNEX_Q,YES,NO_FY_NOT_Q4,FY annual exact control retained; V78 recovers compatible primary 9M separated Notes 14-15 and promotes a new exact Q4 row.
Banco Credicoop Cooperativo Limitado,SEPARATED_INDIVIDUAL,FY-2023,180887922.0,0,0,0,180887922.0,0,EXACT_OFFICIAL_ANNEX_Q,YES,NO_FY_NOT_Q4,V75: FY exact control retained; official 9M separated binary recovered and reconciled to FY Annex Q.
Banco de Valores S.A.,SEPARATED_INDIVIDUAL,Q4-2023,132269429.624235,0,47920.656341,204552.353464,132269429.624235,-156631.697124,EXACT_FROM_COMPATIBLE_9M_AND_FY_HOMOGENEOUS_DIFFERENCING,YES,YES_EXACT_Q4_TARGET_BASIS,New V66 exact full-four-leg Q4 entity; 9M original filing plus audited issuer FY.
Banco Supervielle S.A.,SEPARATED_INDIVIDUAL,Q4-2023,83427561.666363_to_86713401.666363,0,0_to_3285840,591120.907458,83427561.666363_to_86713401.666363,-591120.907458_to_2694719.092542,BOUND_FROM_EXACT_Q4_TOTALS_AND_FY_COUNTERPARTY_CEILING,YES,NO_BOUND_NOT_EXACT,"Individual target basis achieved; Q4 total exact, but 9M counterparty split missing so income split remains bounded."
Banco Macro S.A.,SEPARATED_INDIVIDUAL,Q4-2023,61675202.8273678,0.0,5729593.579547919,2502560.2856956925,61675202.8273678,3227033.293852227,EXACT_FROM_OFFICIAL_9M_AND_FY_HOMOGENEOUS_DIFFERENCING,YES,YES_EXACT_Q4_TARGET_BASIS,New V67 exact full-four-leg Q4 row from official Banco Macro separated Annex Q 9M/FY; BCRA pass-expense leg is zero because Annex Q expense-by-pass presents only other financial institutions in both compatible filings.
Banco Santander Argentina SA,SEPARATED_INDIVIDUAL,FY-2023,354462410.0,0.0,22950.0,1631890.0,354462410.0,-1608940.0,EXACT_OFFICIAL_ANNEX_Q_FY_NOT_Q4,YES,NO_FY_NOT_Q4,V68 primary annual separated Annex Q recovered. Exact FY counterparty split; not usable as Q4 network flow without a compatible 9M counterparty split.
