"trace_id","request_id","institution","gap_id","requested_record","period_or_date","identifiers","minimum_usable_fields","confidentiality_fallback","status"
"TR120_001","REQ120_ECON","Ministerio de Economía / Tesoro","CL120_SETTLEMENT_2008","Expediente e índice de cada ronda","2008-08-27/2008-10-07","R1-R4; cuatro fechas T+3","carátula; número; índice; área","metadatos sin contenido exceptuado","DRAFT_NOT_SENT"
"TR120_002","REQ120_ECON","Ministerio de Economía / Tesoro","CL120_SETTLEMENT_2008","Informe Caja de títulos recibidos","2008-09-01/2008-10-06","0306/40000; cuatro ISIN","fecha; especie; nominal; estado","copia testada o agregado por especie","DRAFT_NOT_SENT"
"TR120_003","REQ120_ECON","Ministerio de Economía / Tesoro","CL120_SETTLEMENT_2008","Orden o constancia de pago","2008-09-02/2008-10-07","cuatro fechas T+3","fecha; importe; moneda; estado; identificador","sin cuenta ni contraparte","DRAFT_NOT_SENT"
"TR120_004","REQ120_ECON","Ministerio de Economía / Tesoro","CL120_SETTLEMENT_2008","Conciliación resultado-entrega-pago-deuda","2008","R1-R4","ronda; adjudicado; recibido; pagado; diferencia","agregado por ronda","DRAFT_NOT_SENT"
"TR120_005","REQ120_ECON","Ministerio de Economía / Tesoro","CL120_STRIP_2009","Expediente e índice del strip","2009-06-10/2009-06-18","ARARGE03G415","número; índice; área; documentos","metadatos","DRAFT_NOT_SENT"
"TR120_006","REQ120_ECON","Ministerio de Economía / Tesoro","CL120_STRIP_2009","Constancia de entrega y pago del strip","2009-06-17/2009-06-18","0306/40000; ARARGE03G415","fecha; nominal; efectivo; estado","agregado sin participantes","DRAFT_NOT_SENT"
"TR120_007","REQ120_ECON","Ministerio de Economía / Tesoro","CL120_BNA_FIRST_STAGE","Mandato y expediente BNA","2008-08-11/2008-08-22","primera etapa","acto; anexos; índice; rendición","copia testada","DRAFT_NOT_SENT"
"TR120_008","REQ120_ECON","Ministerio de Economía / Tesoro","CL120_SETTLEMENT_2008","Tabla de conservación o expurgo","2008-2009","expedientes de recompra","regla; acto; fecha; destino","N/A","DRAFT_NOT_SENT"
"TR120_009","REQ120_BCRA","BCRA / CRyL","CL120_SETTLEMENT_2008","Mensajes o asientos CRyL","2008-09-01/2008-10-07","0306/40000; cuatro ISIN","fecha; especie; nominal; estado; identificador","disociación de cuentas y terceros","DRAFT_NOT_SENT"
"TR120_010","REQ120_BCRA","BCRA / CRyL","CL120_SETTLEMENT_2008","Débitos créditos u órdenes de liquidación","2008-09-02/2008-10-07","cuatro fechas T+3","fecha; monto; moneda; estado","agregado por fecha sin cuenta","DRAFT_NOT_SENT"
"TR120_011","REQ120_BCRA","BCRA / CRyL","CL120_SETTLEMENT_2008","Operaciones fallidas reversadas o tardías","2008","R1-R4","fecha; especie; estado; motivo general","sin contraparte","DRAFT_NOT_SENT"
"TR120_012","REQ120_BCRA","BCRA / CRyL","CL120_STRIP_2009","Registro CRyL y pago strip","2009-06-17/2009-06-18","ARARGE03G415","fecha; nominal; efectivo; estado","agregado sin cuentas","DRAFT_NOT_SENT"
"TR120_013","REQ120_BCRA","BCRA / CRyL","CL120_CUSTODY_HOLDINGS","Agregados existentes de tenencias públicas","2008-2013","CRyL; especies de deuda pública","corte; especie; sector institucional; monto","mayor agregación compatible con secreto","DRAFT_NOT_SENT"
