map_id,institution,producer_or_custodian,system_or_record,record_class,exact_fields_or_trace,target_use,source_id,source_locator,applicability,caveat
PS120_01,Ministerio de Economía / Tesoro,Mesa de Entradas de la ONCP,Sistema de Regularización de la Deuda Pública,reporte diario de ingresos,"número; fecha; estado de validación; motivo de devolución",localizar actuación contemporánea y cruce documental,e0_argentina_rc_26_216_2008_tsa_sigade,Anexo I puntos 1-3,CONTEMPORANEOUS_ADJACENT_PROCEDURE,"El procedimiento regulado es BOCON; no prueba uso en recompras."
PS120_02,Ministerio de Economía / Tesoro,Mesa de Entradas de la ONCP,COMDOC III,asiento diario de solicitudes,"número COMDOC; fecha; remitente; asunto; área",buscar identificador heredado previo a GDE,e0_argentina_rc_26_216_2008_tsa_sigade,Anexo I punto 1,CONTEMPORANEOUS_ADJACENT_PROCEDURE,"COMDOC III está probado para esa serie; debe verificarse su uso en la serie de recompra."
PS120_03,Ministerio de Economía / Tesoro,Unidad de Registro de la Deuda Pública de la DADP,SIGADE,registro de operación de deuda,"código SIGADE; fecha; especie; nominal; importe; estado",buscar registro analítico y referencia a expediente,e0_argentina_rc_26_216_2008_tsa_sigade,Anexo I punto 6,CONTEMPORANEOUS_SYSTEM_CAPABILITY,"Prueba administración contemporánea de SIGADE; no identifica el código de las recompras."
PS120_04,Ministerio de Economía / Tesoro,DADP / agentes habilitados,TSA sobre VPN Tesoro-Caja,archivo transmitido,"emisor; receptor; fecha; lote; aceptación; rechazo",buscar intercambio electrónico con Caja,e0_argentina_rc_26_216_2008_tsa_sigade,Considerandos y Anexo I punto 5,CONTEMPORANEOUS_SYSTEM_CAPABILITY,"La norma lo aplica a BOCON; la extensión a recompras debe ser confirmada."
PS120_05,Ministerio de Economía / Tesoro,DADP / Unidad de Registro,constancia de aceptación Caja,acuse o validación de archivo,"fecha; archivo/lote; monto; estado; firma o usuario",probar recepción por Caja o rechazo,e0_argentina_rc_26_216_2008_tsa_sigade,Anexo I punto 5,CONTEMPORANEOUS_ADJACENT_RECORD_CLASS,"La clase existe en el procedimiento vecino; no prueba que exista para cada recompra."
PS120_06,Ministerio de Economía / Tesoro,ONCP y TGN,nota conjunta a agente de registro o pago,instrucción firmada,"número; fecha; firmantes; agente; especie; monto",buscar orden conjunta o equivalente,e0_argentina_rc_26_216_2008_tsa_sigade,Artículo 5,CONTEMPORANEOUS_DEBT_CONTROL,"El artículo cubre ciertos títulos/órdenes de pago; la aplicabilidad a recompras debe acreditarse."
PS120_07,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG1,errores de prematching,"fórmula; tipo; agente/cuenta cedente y receptor; especie; modalidad; nominal; importe; fechas",localizar incongruencias previas a liquidación,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 1,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,"El diseño prueba la clase y los campos; no la existencia del archivo objetivo."
PS120_08,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG2,operaciones rechazadas,"agente/cuenta; especie; modalidad; nominal; importe; mercado; fechas",buscar rechazo o fallo,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 2,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,"El diseño no prueba conservación ni inclusión de la recompra."
PS120_09,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG3,operaciones liquidadas,"agente/cuenta; especie; modalidad; nominal; importe; mercado; concertación; liquidación; subcuenta; comitente Caja",probar liquidación por evento,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 2,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,"Debe vincularse por fecha, especie y cuentas; CG3 no revela por sí solo beneficiario final."
PS120_10,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG4,operaciones para liquidar,"agente/cuenta; especie; modalidad; nominal; importe; mercado; fechas; subcuenta; comitente Caja",distinguir pendiente de liquidado,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 3,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,"Pendiente no equivale a liquidado ni fallido."
