relative_month,mirror_date,post_date,mirror_sa_index,post_sa_index,mirror_pc_index,post_pc_index,mirror_gap,post_gap,mirror_cumulative_months_base,post_cumulative_months_base
0,2021-05,2023-12,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
1,2021-06,2024-01,101.8863661864019,100.46404538134564,101.8633842216707,100.44798998870912,0.018863661864019,0.004640453813456347,0.018863661864019,0.004640453813456347
2,2021-07,2024-02,101.74913771113619,100.62529556031848,101.70398590077004,100.59313837462815,0.01749137711136184,0.006252955603184729,0.03635503897538084,0.010893409416641076
3,2021-08,2024-03,103.14539103186131,99.47418895122179,103.08114419778099,99.42753740296448,0.03145391031861311,-0.0052581104877821305,0.06780894929399395,0.005635298928858945
4,2021-09,2024-04,103.74419797232932,98.79880647298705,103.66100212824925,98.73669720473191,0.03744197972329322,-0.012011935270129448,0.10525092901728716,-0.006376636341270503
5,2021-10,2024-05,103.16482129294657,99.99821139268785,103.06421996503863,99.91990205087251,0.031648212929465735,-1.7886073121475832e-05,0.1368991419467529,-0.006394522414391979
6,2021-11,2024-06,104.82618055996555,100.59380464856022,104.70520262127474,100.49897793028293,0.04826180559965554,0.005938046485602255,0.18516094754640844,-0.00045647592878972354
7,2021-12,2024-07,107.7227041792815,103.11064998304936,107.57973694912408,102.99753388492994,0.07722704179281492,0.031106499830493517,0.26238798933922336,0.030650023901703793
8,2022-01,2024-08,106.89552074142148,103.49242628815306,106.73453800639932,103.36270817012351,0.06895520741421479,0.0349242628815305,0.33134319675343815,0.06557428678323429
9,2022-02,2024-09,108.48574503048897,103.51892566304952,108.3029767280947,103.3729920564668,0.08485745030488978,0.035189256630495214,0.41620064705832793,0.1007635434137295
10,2022-03,2024-10,108.23690052433852,104.36595344934372,108.03708338508548,104.20304222227972,0.0823690052433852,0.04365953449343718,0.49856965230171313,0.14442307790716669
11,2022-04,2024-11,109.60507788439327,105.57673731589745,109.38315749621053,105.39544230898072,0.09605077884393265,0.05576737315897451,0.5946204311456458,0.2001904510661412
12,2022-05,2024-12,109.57588100460845,106.03517769019545,109.33508553374327,105.83706934556778,0.09575881004608444,0.06035177690195459,0.6903792411917302,0.2605422279680958
13,2022-06,2025-01,111.08318954262901,106.34410475725045,110.81925423292812,106.12881578707125,0.11083189542629013,0.06344104757250446,0.8012111366180203,0.32398327554060025
14,2022-07,2025-02,109.7873177335358,107.45769724877326,109.5075040527443,107.22338179385049,0.09787317733535805,0.07457697248773254,0.8990843139533784,0.3985602480283328
15,2022-08,2025-03,109.16712109189963,104.53478379236162,108.87307792067197,104.2921093418193,0.09167121091899633,0.045347837923616297,0.9907555248723747,0.4439080859519491
16,2022-09,2025-04,108.48326513697411,106.66310952796807,108.17535736429176,106.39885609268165,0.08483265136974105,0.0666310952796807,1.0755881762421158,0.5105391812316298
17,2022-10,2025-05,107.30045344648877,106.50287323924704,106.98087295332468,106.22294449238163,0.07300453446488775,0.06502873239247031,1.1485927107070035,0.5755679136241001
18,2022-11,2025-06,106.74379211165711,106.06733854531039,106.41042365854301,105.77201951486224,0.06743792111657121,0.060673385453103856,1.2160306318235747,0.636241299077204
19,2022-12,2025-07,106.84548815108602,105.96010309901907,106.49684447686091,105.64910209256593,0.0684548815108601,0.05960103099019065,1.2844855133344348,0.6958423300673946
20,2023-01,2025-08,107.91632907638544,106.66963014446056,107.54858452502485,106.34105021268059,0.07916329076385442,0.06669630144460559,1.3636488040982893,0.7625386315120002
21,2023-02,2025-09,108.04528249481984,107.39649390739983,107.66147774115645,107.05007752156376,0.08045282494819839,0.07396493907399826,1.4441016290464876,0.8365035705859984
22,2023-03,2025-10,108.51480194592611,107.1852562320413,108.11516285508121,106.82446090330396,0.08514801945926109,0.07185256232041293,1.5292496485057487,0.9083561329064114
23,2023-04,2025-11,106.1967513523729,107.10077292917207,105.79030415371626,106.72471638350002,0.06196751352372898,0.07100772929172061,1.5912171620294777,0.979363862198132
24,2023-05,2025-12,104.82264374562769,109.13906975019422,104.40680196507341,108.74053020940828,0.04822643745627686,0.09139069750194229,1.6394435994857546,1.0707545597000743
25,2023-06,2026-01,105.15806468718793,109.4687032144531,104.72570597354867,109.05307976721264,0.051580646871879354,0.094687032144531,1.691024246357634,1.1654415918446053
26,2023-07,2026-02,107.03097888122852,106.74718299491784,106.57596576941319,106.32641154759825,0.07030978881228522,0.06747182994917833,1.7613340351699192,1.2329134217937836
27,2023-08,2026-03,107.99365298942388,109.54134446579897,107.51734841867648,109.09521434731668,0.07993652989423872,0.09541344465798973,1.8412705650641579,1.3283268664517733
28,2023-09,2026-04,107.71660523890667,107.74459298910455,107.2243732806937,107.29016363960685,0.07716605238906671,0.07744592989104548,1.9184366174532246,1.4057727963428188
29,2023-10,2026-05,106.54026626750854,107.08593697202096,106.03700012440844,106.61926918633633,0.06540266267508543,0.07085936972020956,1.98383928012831,1.4766321660630284
30,2023-11,2026-06,105.352845312162,107.8943675413704,104.83842578781439,107.40854707784462,0.05352845312162002,0.07894367541370406,2.03736773324993,1.5555758414767324
