date,population,sa,tc,pc_sa_raw,pc_tc_raw,pc_sa_raw_nov2023_100,pc_tc_raw_nov2023_100,running_peak_pc,drawdown_pc_pct
2004-01,39240084.61691162,98.3644283435363,96.00687161738973,2.506733339232999e-06,2.4466530221500306e-06,79.20263035814902,78.01348094823365,2.506733339232999e-06,0.0
2004-02,39273787.38070021,98.0730609066357,96.61547733610057,2.4971633103771e-06,2.46004991572519e-06,78.90025617014604,78.4406515736674,2.506733339232999e-06,-0.38177291162637683
2004-03,39305315.77263146,97.66895933582744,97.29463215408506,2.4848791420684873e-06,2.4753555655653052e-06,78.51212615784004,78.92868441338445,2.506733339232999e-06,-0.8718197832402241
2004-04,39339018.53642004,95.24702827201972,98.00193963054714,2.4211846613265167e-06,2.4912146585410364e-06,76.49963829760195,79.43436422842876,2.506733339232999e-06,-3.4127554202737054
2004-05,39371634.114279956,96.9263780228826,98.73587891550041,2.461832743379268e-06,2.5077922503523733e-06,77.78395321343453,79.9629539513004,2.506733339232999e-06,-1.7911995325146646
2004-06,39405336.878068544,98.6799298853691,99.49377296599724,2.5042275413280495e-06,2.5248806595375546e-06,79.12345728372911,80.50783149312375,2.506733339232999e-06,-0.0999626831355016
2004-07,39437952.45592846,100.82839899798464,100.27597300134761,2.5566337174998985e-06,2.542626245959525e-06,80.77928039616796,81.073663654739,2.5566337174998985e-06,0.0
2004-08,39472544.81301059,102.18266642972112,101.07952822551897,2.5887022717633492e-06,2.56075529724149e-06,81.79251694977182,81.65172289893549,2.5887022717633492e-06,0.0
2004-09,39507137.170092724,102.34433957441499,101.89852926440246,2.59052786168193e-06,2.5792435636551414e-06,81.85019820419322,82.2412360038055,2.59052786168193e-06,0.0
2004-10,39540613.64468833,103.12853667775757,102.724465604539,2.608167329027057e-06,2.597948188857672e-06,82.40753399655087,82.8376478810398,2.608167329027057e-06,0.0
2004-11,39575206.00177047,103.57999481738356,103.54035880407156,2.617295152241273e-06,2.6162936157411158e-06,82.69593627560272,83.42260643368373,2.617295152241273e-06,0.0
2004-12,39608682.47636607,102.97627873646718,104.33257248050016,2.599841052474079e-06,2.634083386710828e-06,82.14445734864263,83.98984745480715,2.617295152241273e-06,-0.6668754860240766
2005-01,39643274.83344821,105.76429612109536,105.08883424928786,2.6679000805417536e-06,2.6508615822177557e-06,84.29484724381523,84.5248335863409,2.6679000805417536e-06,0.0
2005-02,39677867.19053034,106.03374131373461,105.80166754077054,2.6723649435229975e-06,2.6665159957494275e-06,84.4359188475509,85.02398703423589,2.6723649435229975e-06,0.0
2005-03,39709111.90015291,106.83398081296676,106.46864075245288,2.690414761266806e-06,2.6812143525184937e-06,85.00622005207879,85.49265585053017,2.690414761266806e-06,0.0
2005-04,39743704.257235035,107.99173416092523,107.0943698305132,2.717203546553318e-06,2.6946247671671795e-06,85.85263726989129,85.92025760616605,2.717203546553318e-06,0.0
2005-05,39777180.73183065,109.09957041013837,107.68615064636488,2.7427677980916906e-06,2.7072343656621156e-06,86.66036417617482,86.32232470070039,2.7427677980916906e-06,0.0
2005-06,39811773.08891278,108.59093362031211,108.25596621985645,2.727608573920907e-06,2.719194796425803e-06,86.18139403215373,86.70369256490848,2.7427677980916906e-06,-0.5526980512652546
2005-07,39845249.56350839,109.13671118353233,108.81851951253856,2.7390143713262967e-06,2.731028684839715e-06,86.5417710781284,87.0810255254731,2.7427677980916906e-06,-0.13684814179331095
2005-08,39880226.18135662,109.3753549270429,109.38798228076878,2.7425961535337075e-06,2.742912785482294e-06,86.65494090267933,87.45995954295466,2.7427677980916906e-06,-0.006258078358012398
2005-09,39915202.79920484,109.24681993418862,109.9787475017712,2.7369726889215492e-06,2.7553097514003387e-06,86.47726217553353,87.85524667836278,2.7427677980916906e-06,-0.21128690420579854
2005-10,39949051.139057964,109.94905932827652,110.60131567362217,2.752232060420077e-06,2.768559265366077e-06,86.95939656987854,88.27771798752747,2.752232060420077e-06,0.0
2005-11,39984027.75690619,111.17783347769951,111.26497219875105,2.7805561299035577e-06,2.782735468152854e-06,87.85432255599282,88.72973750807749,2.7805561299035577e-06,0.0
2005-12,40017876.09675931,113.01988413596017,111.97313288130877,2.8242349459698743e-06,2.798077854271143e-06,89.23439640319373,89.21894171329323,2.8242349459698743e-06,0.0
2006-01,40052852.71460754,113.85835877601714,112.72244214900033,2.842702855332256e-06,2.8143424128161967e-06,89.81790761111665,89.73755012106449,2.842702855332256e-06,0.0
2006-02,40087829.33245576,114.74327778974681,113.50710370832262,2.862297103646088e-06,2.8314604606547108e-06,90.43700657232529,90.28337271496353,2.862297103646088e-06,0.0
2006-03,40119421.11631867,114.29222252980547,114.31989511724908,2.8488003901760394e-06,2.849490145578127e-06,90.01056503931996,90.85826358364892,2.862297103646088e-06,-0.471534329991663
2006-04,40154397.7341669,115.85853185740707,115.15368596944462,2.885326101126513e-06,2.867772709026631e-06,91.16462970894457,91.44121768558423,2.885326101126513e-06,0.0
2006-05,40188246.07402002,115.0751311561637,116.00457050224863,2.863402671124651e-06,2.886529814926176e-06,90.47193803111676,92.0393029516561,2.885326101126513e-06,-0.7598250330630774
2006-06,40223222.691868246,116.24646481480154,116.86712999916358,2.89003359341226e-06,2.905464111974054e-06,91.31336741693546,92.64303809866716,2.89003359341226e-06,0.0
2006-07,40257071.03172137,118.13854703544126,117.73617509392808,2.934603636274274e-06,2.9246085737622466e-06,92.72160042465022,93.25347451586903,2.934603636274274e-06,0.0
2006-08,40291126.21762251,118.76510180681286,118.61164370462201,2.9476739162199804e-06,2.9438651842088176e-06,93.13456838379265,93.86748688239616,2.9476739162199804e-06,0.0
2006-09,40325181.403523654,119.80162031566624,119.49538397462136,2.970888565059198e-06,2.963294393616286e-06,93.86805735213635,94.48700270430736,2.970888565059198e-06,0.0
2006-10,40358138.035040885,120.5382388023264,120.38824841898389,2.986714567893823e-06,2.982998083669197e-06,94.36809500390405,95.11527056028714,2.986714567893823e-06,0.0
2006-11,40392193.22094203,120.65234441875425,121.2930084903612,2.9870213721447532e-06,3.002882458669631e-06,94.37778877679101,95.74929969977694,2.9870213721447532e-06,0.0
2006-12,40425149.85245927,123.36357601009584,122.20801072550971,3.051654142540946e-06,3.0230688363935696e-06,96.41992279343879,96.39295843672218,3.051654142540946e-06,0.0
2007-01,40459205.03836041,122.10166943184552,123.12965561252766,3.0178959106111403e-06,3.043303878456961e-06,95.35329926263309,97.0381688749035,3.051654142540946e-06,-1.1062273230510011
2007-02,40493260.22426155,124.63894369744415,124.05584811006081,3.07801700843951e-06,3.06361719019435e-06,97.25288268201804,97.68587500400054,3.07801700843951e-06,0.0
2007-03,40524019.74701097,126.42299958168975,124.98429269440928,3.1197053098616816e-06,3.08420273888619e-06,98.57006432081558,98.34226162529124,3.1197053098616816e-06,0.0
2007-04,40558074.93291211,125.43393794955807,125.9124009620781,3.0926994971295052e-06,3.1044964823984424e-06,97.71678991389265,98.98934380593907,3.1197053098616816e-06,-0.8656526835021383
2007-05,40591031.56442935,127.20552158541089,126.83573116667858,3.1338331814381227e-06,3.124723030636822e-06,99.01644789608595,99.63428341174257,3.1338331814381227e-06,0.0
2007-06,40625086.75033049,128.47743985277063,127.75643667580513,3.1625148431646225e-06,3.1447671105530823e-06,99.9226723501304,100.27340486971616,3.1625148431646225e-06,0.0
2007-07,40658043.381847724,127.72448775800072,128.6735313546623,3.1414322267909445e-06,3.164774314056395e-06,99.25654698071315,100.91135049388215,3.1625148431646225e-06,-0.6666408671328616
2007-08,40693101.6260911,128.75385596179828,129.5838721290755,3.1640216846789943e-06,3.184418659451373e-06,99.97028244475163,101.53772609816171,3.1640216846789943e-06,0.0
2007-09,40728159.87033448,129.62130963436823,130.4812592750099,3.1825967597613365e-06,3.2037111347632884e-06,100.55717965579353,102.15288204449521,3.1825967597613365e-06,0.0
2007-10,40762087.20347324,131.25183396903802,131.35297200532628,3.2199488047278985e-06,3.2224299837652573e-06,101.73735313667633,102.74974745890721,3.2199488047278985e-06,0.0
2007-11,40797145.447716616,132.63394522436434,132.18035192895658,3.251059449596559e-06,3.2399411889822457e-06,102.72032362945723,103.3081061890616,3.251059449596559e-06,0.0
2007-12,40831072.78085537,134.19545745914905,132.93703575783613,3.2866013141361744e-06,3.255781117271228e-06,103.84330273350182,103.81317492279976,3.2866013141361744e-06,0.0
2008-01,40866131.02509875,135.1848834031644,133.5908792494573,3.3079931966189293e-06,3.2689876897671028e-06,104.5191996605619,104.23427700898485,3.3079931966189293e-06,0.0
2008-02,40901189.26934213,133.3999935398552,134.10537785438112,3.2615186972043962e-06,3.2787647559896517e-06,103.05079353191657,104.5460265552332,3.3079931966189293e-06,-1.404915205449464
2008-03,40933985.69137626,133.34856433703652,134.4429606601326,3.2576491657182953e-06,3.28438480615525e-06,102.92853199449806,104.7252263324606,3.3079931966189293e-06,-1.5218904002611056
2008-04,40969043.93561964,135.77171533194928,134.56982378394784,3.3140074136293316e-06,3.284670835751406e-06,104.70922458236483,104.73434661402415,3.3140074136293316e-06,0.0
2008-05,41002971.268758394,134.86568584437137,134.45637396260904,3.289168605864675e-06,3.279186112667305e-06,103.9244187639194,104.5594618486103,3.3140074136293316e-06,-0.7495097223531588
