stage_id,stage,record,required_or_visible_fields,execution_meaning,source_id,target_status,permitted_inference,forbidden_inference
CP134_01,C41_ISSUED,Formulario C-41 Orden de Pago,vencimiento contractual original; devengado; beneficiario/observaciones según operatoria,Orden emitida,e0_cgn_circular_2_1997_c41_due_date,THREE_2008_IDS_VISIBLE_ONLY_AS_ANEXO_K_REFERENCES,"Los SIDIF 71597, 152677 y 2876 son localizadores de órdenes.",La orden fue pagada.
CP134_02,C41_PROCESSING,C-41 presentada/procesada por CGN,crédito; cuota; conformidad,Puede ser rechazada por insuficiencia,e0_cgn_circular_6_1995_c41_tgn,TARGET_BODIES_NOT_PUBLICLY_LOCATED,Hace falta estado de procesamiento por número SIDIF.,La mera numeración prueba conformidad.
CP134_03,TGN_PREPAYMENT,C-41 conformada remitida a TGN,formulario conformado; remisión,Se envía 'a efectos de su pago',e0_cgn_circular_6_1995_c41_tgn,OPEN,Conformidad y pago son etapas separables.,Remisión a TGN equivale a débito o crédito.
CP134_04,EXTERNAL_PAYMENT_INSTRUCTION,C-41 más nota a TGN,beneficiario; banco destino; cuenta; SIDIF; moneda; tipo de cambio; divisas; un beneficiario por orden,Instrucción suficientemente individualizada,e0_cgn_circular_13_2002_external_payments_c41,APPLICABILITY_TO_TARGET_NOT_PROVED,Pedir nota e instrucción asociadas si la operatoria fue exterior.,Las órdenes target fueron pagos al exterior.
CP134_05,BANK_DEBIT,Débito bancario,banco; cuenta; importe; fecha; documento original,Movimiento monetario posterior a la orden,e0_cgn_circular_22_2004_c55_bank_debit,NO_TARGET_DEBIT_LOCATED,El débito es una evidencia distinta que debe pedirse.,Devengado C-41 y débito son siempre iguales.
CP134_06,C55_REGULARIZATION,Formulario C-55 Regularización,débito BNA superior al devengado; banco/cuenta; documento original,Reconcilia diferencia positiva,e0_cgn_circular_22_2004_c55_bank_debit,TARGET_SEARCH_NOT_EXECUTED,Buscar C-55 vinculado a cada C-41.,Todo pago genera C-55.
CP134_07,C55_DEACTIVATION,Formulario C-55 Desafectación,débito BNA inferior al devengado; banco/cuenta; documento original,Reconcilia diferencia negativa,e0_cgn_circular_22_2004_c55_bank_debit,TARGET_SEARCH_NOT_EXECUTED,Pedir desafectación/reversa si existe diferencia.,Ausencia web de C-55 prueba identidad de montos.
CP134_08,TARGET_CLOSE,C-41 + estado + pago/débito + C-55 si aplica,71597;152677;2876; beneficiario; concepto; importe; moneda; fechas; estado; vínculo bancario,Cadena mínima para atribución,e0_cgn_cuenta_inversion_2008_sdp;e0_cgn_circular_2_1997_c41_due_date;e0_cgn_circular_6_1995_c41_tgn;e0_cgn_circular_22_2004_c55_bank_debit,OPEN,Los tres números reducen el universo de búsqueda.,Los tres números pertenecen a la recompra o prueban pago.
CP135_09,SIDIF_DAILY_STATE_OUTPUT,"SDPGB por beneficiario y SDPAG por ítem, o sucesor equivalente",OB SIDIF; SAF; beneficiario; importe; estado P/R/A; fecha; banco; cuenta; medio RN/CH/TR/TI/NS,"Distingue pagado, rechazado y anulado",e0_tgn_circular_7_1997_daily_paid_files;e0_cgn_circular_34_1997_sdpgb_paid_beneficiary_schema,SCHEMA_PROVED_TARGET_ROWS_NOT_LOCATED,"Pedir extracto exacto por 71597, 152677 y 2876 en SDPGB/SDPAG o sucesor.",La existencia del esquema prueba que las tres órdenes fueron pagadas.
CP135_10,TGN_TO_BCRA_INSTRUCTION_FILE,Archivo de instrucciones de pago enviado por enlace,identificador de archivo; fecha/hora; orden; importe; moneda; destino; acuse,Instrucción electrónica posterior a la orden,e0_cgn_cuenta_inversion_2008_tomo_ii_tgn_system_files,2008_RECORD_CLASS_PROVED_TARGET_FILE_OPEN,Pedir el archivo o registro equivalente asociado a cada orden.,La capacidad del enlace prueba envío target.
CP135_11,BCRA_MOVEMENT_AND_BALANCE_RETURN,Archivos de movimientos y saldos bancarios recibidos,cuenta; fecha valor; débito/crédito; importe; moneda; referencia; saldo,Huella bancaria separada de la instrucción,e0_cgn_cuenta_inversion_2008_tomo_ii_tgn_system_files,2008_RECORD_CLASS_PROVED_TARGET_MOVEMENT_OPEN,Exigir movimiento y saldo que permitan conciliar el eventual pago.,Todo archivo de movimiento corresponde a la recompra.
CP135_12,TARGET_PAYMENT_STATE_CLOSE,C-41 + SDPGB/SDPAG + instrucción + movimiento + ajuste,71597;152677;2876; P/R/A; fecha; beneficiario; banco/cuenta; medio; instrucción; movimiento; C-55 si aplica,Cadena mínima reforzada para pago efectivo,e0_cgn_cuenta_inversion_2008_sdp;e0_tgn_circular_7_1997_daily_paid_files;e0_cgn_circular_34_1997_sdpgb_paid_beneficiary_schema;e0_cgn_cuenta_inversion_2008_tomo_ii_tgn_system_files,OPEN,Ahora se conocen los campos y clases documentales exactos a solicitar.,Esquema y capacidad equivalen a resultado target.
