id,local_path,url,retrieved_at,bytes,sha256,tipo
oa_consulta,sources/oa/consultar_ddjj_2026-09-01.html,https://www.argentina.gob.ar/servicio/consultar-declaraciones-juradas-de-funcionarios-publicos,2026-09-01,49134,0b9bb4f487c140d72a37e80c26b49fa5b011172f6a7516312b88beffef8343b0,primaria
oa_f1245,sources/oa/preguntas_f1245_2026-09-01.html,https://www.argentina.gob.ar/anticorrupcion/declaraciones-juradas-preguntas,2026-09-01,55352,370b5fb5939776b6d45e17012503e97cd81135cd4f2fc476656c8bc33e28775e,primaria
ley_26857,sources/normativa/ley_26857.html,https://www.argentina.gob.ar/normativa/nacional/215002/texto,2026-09-01,41918,f86b9013f19b453ba73c4d0d6a21c43bd5e0fec1223ad9f512c0cf6ce795f16b,primaria
ley_23966,sources/normativa/ley_23966_actualizada.html,https://www.argentina.gob.ar/normativa/nacional/ley-23966-365/actualizacion,2026-09-01,212346,78d2545285aa9900d1c23dc026fd6527c5f84f3ae2f8ddce980c83c33609b465,primaria
datos_justicia,sources/datos/dataset_ddjj_2026-09-01.html,https://datos.jus.gob.ar/ar/dataset/declaraciones-juradas-patrimoniales-integrales,2026-09-01,80604,2a2af36a44531f05d19b9867531229dcae73740a99fe36f4b011f1a5418dcc02,primaria
hcdn_maximo,sources/politica/hcdn_maximo_2026-09-01.html,https://www.hcdn.gob.ar/diputados/mkirchner/,2026-09-01,25901,0eca84dc72149ad8b591974e35e268c7ba6865bd3cbd06189031b110d8557f3f,primaria
indec_ipc_2023,sources/indec/ipc_2023.pdf,https://www.indec.gob.ar/uploads/informesdeprensa/ipc_01_24DBD5D8158C.pdf,2026-09-01,2516416,a040cb25624ea8fa3a3f070c862447c91093fe01a83430dcc12c721a326f1435,primaria
indec_ipc_series,sources/indec/ipc_portal_2026-09-01.html,https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31,2026-09-01,37470,5b2afc002f1165e63769d1fc38109b4b72e45eb273ca3be22c464bb3c6ad1636,primaria
indec_ipc_2025,sources/indec/ipc_2025.pdf,https://www.indec.gob.ar/uploads/informesdeprensa/ipc_01_266741F036E8.pdf,2026-09-01,2285722,bb929e383b690e1caeb0f935bcae083a6ac4ac6c6ccd99c845c1657e60ae1219,primaria
cronista_maximo_2025,sources/descubrimiento/cronista_maximo_2025_2026-08-13.html,https://www.cronista.com/economia-politica/maximo-kirchner-presento-su-declaracion-jurada-cuanto-crecio-el-patrimonio-del-hijo-de-la-expresidenta/,2026-09-01,404463,b856d54b3d42b013700db4dd989bb4daa4e261e1a9df9d7cbc47fef9510762a8,secundaria_indice
lanacion_karina_2025,sources/descubrimiento/lanacion_karina_2025_2026-09-01.html,https://www.lanacion.com.ar/politica/declaracion-jurada-de-karina-milei-uno-por-uno-todos-los-bienes-informados-de-la-secretaria-general-nid01092026/,2026-09-01,350371,89487aa01276dc3862480db4b07d3b749db0fe99c71bcbf5f36b2fcb00ed9c54,secundaria_indice
datos_justicia_ckan,sources/datos_justicia/ckan_package_show_2026-09-01.json,https://datos.jus.gob.ar/api/3/action/package_show?id=declaraciones-juradas-patrimoniales-integrales,2026-09-01,17221,58698371ce973141d7d9a3c3d11f96d2470de89cf389126f7928672befadfe50,primaria
datos_justicia_modelo,sources/datos_justicia/metadata_modelo_datos_2026-09-01.md,https://raw.githubusercontent.com/datos-justicia-argentina/Declaraciones-Juradas-Patrimoniales-de-caracter-publico/master/Declaraciones-Juradas-Patrimoniales-de-caracter-publico-metadata.md,2026-09-01,18063,c1946f0974af1f4c573904262df06f889d913833dd541fb0a3ccce5b2b2d8f34,primaria
datos_justicia_2012_2024,sources/datos_justicia/declaraciones-juradas-2012-2024.zip,https://datos.jus.gob.ar/dataset/4680199f-6234-4262-8a2a-8f7993bf784d/resource/70ce68db-0af3-4922-94f9-d41be5ed38e2/download/declaraciones-juradas-2024.zip,2026-09-01,141660999,64497268b7dbe2b50d6ab6637ddd343adcd9aa1a2a9e946e1a8021513d5e8539,primaria
bcra_a3500_2017_2025,sources/bcra/a3500_2017_2025_2026-09-01.json,https://api.bcra.gob.ar/estadisticas/v4.0/monetarias/5?desde=2017-01-01&hasta=2025-12-31&limit=3000,2026-09-01,101951,1c2633478259eb34236eaa4c08be6d7a5022a937d6ef826c43c4196882349d71,primaria
indec_ipc_csv,sources/indec/serie_ipc_divisiones_2016_2026.csv,https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31,2026-09-01,1220697,2780c4d7ea3d7058c4042a275643d757a6bfaf55824a9ab1c540b59adc9033b4,primaria
fred_gs3m,sources/benchmarks/fred_gs3m_2017_2025_2026-09-01.csv,https://fred.stlouisfed.org/series/GS3M,2026-09-01,1750,ba27aa0941de7f5c74128c178d9e9982a299b1c899e1b9f67a1a1f286e7efe97,primaria
vanguard_vbiax,sources/benchmarks/vanguard_vbiax_prospectus_2025_2026-09-01.pdf,https://personal1.vanguard.com/pub/Pdf/p502.pdf,2026-09-01,211068,8fcb86b4fa1c26bb00a3b53f62433c44d3480be10280d0dbb242abb5c2b9daa4,primaria
msci_acwi,sources/benchmarks/msci_acwi_factsheet_usd_2026-07-31.pdf,https://www.msci.com/documents/10199/a71b65b5-d0ea-4b5c-a709-24b1213bc3c5,2026-09-01,179382,dc8ee65b09306e7786575474011584a0a944bcf10e8e26c03acb8b3867ced4c2,primaria
hcdn_roster_html_2026,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.html,https://www.hcdn.gob.ar/diputados/,2026-09-01,163182,2e654a44bfbb134496b808828963204a4175f404950e70296cb04b82461a34ea,primaria
hcdn_roster_csv_2026,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,https://www.hcdn.gob.ar/system/modules/ar.gob.hcdn.diputados/formatters/generar-lista-diputados.csv,2026-09-01,22052,45fa9279c9c630925f44eb94c859bda8ed3198cef01373fd2f9640910752a789,primaria
hcdn_ddjj_2025,sources/active_roster/hcdn_ddjj_ejercicio_2025_2026-09-01.html,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/listado/c4f0658a-4249-11f0-87b7-00505689ffd4,2026-09-01,93094,23e82153b5117286df985bd5e2221c85ef7fcc172c9ae611a0d57673a0b56022,primaria
hcdn_ddjj_2026,sources/active_roster/hcdn_ddjj_ejercicio_2026_2026-09-01.html,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/listado/f09aa91f-247f-11f1-99ad-00505689ffd4,2026-09-01,24137,c600a993c98f06bd942e45ca0a1f96a1a5ce528d6f13c1ad694defb877c3c25d,primaria
senado_roster_2026,sources/active_roster/senado_listado_vigente_2026-09-01.html,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,2026-09-01,246774,670cede3f129a93d41921e229cf595e596ba4445ae8c5153975c45ddcdf9ca2d,primaria
senado_ddjj_2025,sources/active_roster/senado_ddjj_2025_2026-09-01.html,https://www.senado.gob.ar/administrativo/ddjj/,2026-09-01,74334,0c31ca992d023d05c855e3c24ba3dd8cb81272f5ec3a918465891e11affa555a,primaria
cfi_gobernadores_2026,sources/active_roster/cfi_gobernadores_2026-09-01.html,https://cfi.org.ar/quienes_somos,2026-09-01,732336,3b6331741b4afaa359a46480c510142a4eae056751cac00e0074d6d4070c0b12,primaria
dine_poder_provincial_2026,sources/active_roster/dine_mapa_poder_provincial_julio_2026.pdf,https://www.argentina.gob.ar/sites/default/files/2026/02/mapa_de_poder_provincial_-_julio2026_4.pdf,2026-09-01,5438432,d2d0902e63582561352614bd1feab57a79c96e4eae697b5435b69a72c05ef35d,primaria
argentina_ministerios_2026,sources/active_roster/argentina_ministerios_nacionales_2026-09-01.html,https://www.argentina.gob.ar/jefatura/ministerios-nacionales,2026-09-01,38018,a5a88b716ce17f4f6a84e31e148b913bbcd315ccab016c22ba00b1af9918239e,primaria
oa_alcance_pen_2026,sources/active_roster/oa_alcance_ddjj_pen_2026-09-01.html,https://www.argentina.gob.ar/anticorrupcion/prevencion/declaraciones-juradas,2026-09-01,40808,79db35c04de62ff9772fd338c51d2220b4f4dc72a25330308dcf31a997123b62,primaria
jgm_decreto_548_2026,sources/active_roster/decreto_548_2026_jefe_gabinete.html,https://www.argentina.gob.ar/normativa/nacional/norma-427132/texto,2026-09-01,34306,7a6affb86f2c4b3ebfa6414bd949ef874ebe3a2d9ac5b2f77465295f63586e1d,primaria
interior_autoridades_2026,sources/active_roster/vicejefatura_interior_autoridades_2026-09-01.html,https://www.argentina.gob.ar/interior/transparencia/autoridades-personal,2026-09-01,49542,c2a1409d64c7557b53c57dcaa229f8be7945163de069f74617b3ff80300518ec,primaria
presidencia_autoridades_2026,sources/active_roster/presidencia_autoridades_2026-09-01.html,https://www.argentina.gob.ar/presidencia,2026-09-01,38689,bbb5f798d91911b30c2e30264271eacb39060720efb0f59e7e7d22796a637438,primaria
senado_presidencia_2026,sources/active_roster/senado_presidencia_2026-09-01.html,https://www.senado.gob.ar/presidencia,2026-09-01,47638,ab03598e54145f2cce64cdbb569811e707b9b266a5bfb6ba6a7c932a8422ee1f,primaria
cancilleria_autoridad_2026,sources/active_roster/cancilleria_autoridad_2026-09-01.html,https://www.cancilleria.gob.ar/es/ministerio-de-relaciones-exteriores-comercio-internacional-y-culto,2026-09-01,49213,10337419bdfa42c6f0840b84f016e0f739c152ccff25d2e4c29360f9cd4df720,primaria
defensa_autoridades_2026,sources/active_roster/defensa_autoridades_2026-09-01.html,https://www.argentina.gob.ar/defensa/transparencia/autoridades-personal,2026-09-01,40361,4f96e618438673aa84d75674c7f62ecfe6a9a4325c88b057a2a04131d8c862ec,primaria
economia_autoridades_2026,sources/active_roster/economia_autoridades_2026-09-01.html,https://www.argentina.gob.ar/node/72493,2026-09-01,42781,14962fcb0905dc5309ca7f76006ea67bb9e2ddf15fde6f984bf95e5a93d085c5,primaria
justicia_autoridades_2026,sources/active_roster/justicia_autoridades_2026-09-01.html,https://www.argentina.gob.ar/justicia/transparencia/autoridades-personal,2026-09-01,93880,cbc9f9c433982c596aa570ae8487a8febee9deef02480c0c0bce28007fc59e99,primaria
seguridad_autoridades_2026,sources/active_roster/seguridad_autoridades_2026-09-01.html,https://www.argentina.gob.ar/seguridad/transparencia/autoridades-personal,2026-09-01,43717,1d76c75e4669e17bbc971d158179d49bc2d42f907a986ab28f93424c9e36f225,primaria
salud_autoridades_2026,sources/active_roster/salud_autoridades_2026-09-01.html,https://www.argentina.gob.ar/salud/transparencia/autoridades-personal,2026-09-01,39722,0b0340b4583978037d2a5edd6eeea96a7c6a961cc8e7dcb0e4b1a1e138aedb6c,primaria
