priority,entity,missing_artifact,why,status
1,Banco Hipotecario S.A.,Physical originals of official 30/09/2023 and 31/12/2023 issuer PDFs,V99/V100 arithmetic exact; preservation alone blocks ~1.409pp.,ANALYTICALLY_RESOLVED_SOURCE_PRESERVATION_HOLD
2,Banco Columbia S.A.,Physical originals 10184.pdf and 10253.pdf,V97 bridge exact; preservation alone blocks ~0.188pp.,ANALYTICALLY_RESOLVED_SOURCE_PRESERVATION_HOLD
3,BACS Banco de Credito y Securitizacion S.A.,Official BACS 30/09/2023 and 31/12/2023 PDFs,V101 direct separated 9M+FY four-leg resolved; preservation alone blocks ~0.154pp.,ANALYTICALLY_RESOLVED_SOURCE_PRESERVATION_HOLD
4,Banco Municipal de Rosario,Official BMR 30/09/2023 and 31/12/2023 PDFs,V101 four-leg resolved with annual-note control for FY Annex-Q header typo; preservation alone blocks ~0.151pp.,ANALYTICALLY_RESOLVED_SOURCE_PRESERVATION_HOLD
5,Banco Provincia de Tierra del Fuego,Official BTF Balance y Memoria 2023 PDF,V101 BTF-only FY issuer/raw crosswalk resolves four legs; preservation alone blocks ~0.139pp.,ANALYTICALLY_RESOLVED_SOURCE_PRESERVATION_HOLD
6,Banco VOII S.A.,Official VOII 30/09/2023 and 31/12/2023 issuer PDFs,V102 direct issuer Annex Q + raw exact in both periods; preservation alone blocks ~0.037pp.,ANALYTICALLY_RESOLVED_SOURCE_PRESERVATION_HOLD
7,Banco Mariva S.A.,Attachment JSON/blob GUIDs + exact download request + original individual binaries for #3122483/#3165651,"V105 revalidates both exact official CNV filing IDs/basis/close; #3122483 PublicView is live-indexed at the inherited GUID. A current public Almanac AIF schema explicitly documents attachment guid/name/size/hash fields and programmatic PDF redownload, but the exact AIF request contract and target attachment GUIDs remain unrecovered.",OFFICIAL_TARGETS_REVALIDATED_MARIVA_9M_PUBLICVIEW_LIVE_ATTACHMENT_JSON_SCHEMA_CORROBORATED_BLOB_GUID_NOT_RECOVERED
8,HSBC Bank Argentina S.A.,Attachment JSON/blob GUIDs + exact download request + original individual binaries for #3121099/#3163537,"V105 official CNV registry revalidates both individual filing IDs, basis and close dates. Their PublicView GUIDs remain inherited from V103; attachment JSON schema is independently corroborated but target blob GUIDs/original bytes remain missing.",OFFICIAL_TARGET_IDS_BASIS_CLOSE_REVALIDATED_ATTACHMENT_JSON_SCHEMA_CORROBORATED_BLOB_GUID_NOT_RECOVERED
9,Banco BMA / ex Banco Itau Argentina S.A.,Attachment JSON/blob GUIDs + exact download request + original individual binaries for #3119515 and ordinary FY #3171909,V105 official CNV company registry revalidates #3119515 (9M individual) and #3171909 (FY individual) and independently shows later #3177414 as a separate individual FY filing; #3177414 remains an inadmissible substitute. Attachment route is corroborated but exact target blob GUIDs remain missing.,OFFICIAL_TARGETS_REVALIDATED_3171909_3177414_DISTINCTION_CONFIRMED_ATTACHMENT_JSON_SCHEMA_CORROBORATED_BLOB_GUID_NOT_RECOVERED
10,Banco de la Nacion Argentina,Separated 30/09/2023 interest opening or explicit 521007 presentation mapping,Resolve Sep 521007 without backward inference.,OPEN
11,Banco Santander Argentina SA,Explicit 30/09/2023 BCRA-vs-otherFI accumulated-flow split below separated pass-income total,Closing-stock counterparty cannot substitute for YTD flow split.,OPEN
12,Banco de Corrientes S.A.,Official FY2023 binary documentid=1193 then compatible Sep bridge,Exact endpoint identified; binary still not recovered.,HOLD_EXACT_BINARY_ENDPOINT_READY_FOR_MANUAL_RESCUE
13,Banco de Santiago del Estero S.A.,Official FY2023 issuer Annex Q/counterparty opening plus compatible Sep bridge,Raw 511108 alone cannot establish counterparty.,HOLD_ISSUER_CROSSWALK_NOT_RECOVERED
14,Banco CMF S.A.,Explicit same-year pass-result BCRA-vs-otherFI flow opening,Source bodies exact; closing stock cannot substitute for flow split.,HOLD_SOURCE_BODY_RECOVERED_FLOW_SPLIT_MISSING
15,Banco del Chubut S.A.,Official FY/9M 2023 Annex Q counterparty opening,Raw candidate exists but no issuer-specific split.,HOLD_ISSUER_CROSSWALK_NOT_RECOVERED
16,Banco Rioja S.A.U.,"Compatible 9M issuer opening plus explanation of FY 158,789k issuer/raw income mismatch; preserve FY PDF","FY Annex Q is BCRA-only but 511108 does not reconcile income; useful falsifier, not promotable.",HOLD_MISMATCH_NO_GLOBAL_MAPPING
