trace_id,request_id,institution,gap_id,requested_record,period_or_date,identifiers,minimum_usable_fields,confidentiality_fallback,status
TR125_001,REQ125_ECON,Ministerio de Economía / Tesoro,CL125_SETTLEMENT_2008,Expediente e índice de cada ronda,2008-08-27/2008-10-07,R1-R4; cuatro fechas T+3,carátula; número; índice; área,metadatos sin contenido exceptuado,DRAFT_NOT_SENT
TR125_002,REQ125_ECON,Ministerio de Economía / Tesoro,CL125_SETTLEMENT_2008,Informe Caja de títulos recibidos,2008-09-01/2008-10-06,0306/40000; cuatro ISIN,fecha; especie; nominal; estado,copia testada o agregado por especie,DRAFT_NOT_SENT
TR125_003,REQ125_ECON,Ministerio de Economía / Tesoro,CL125_SETTLEMENT_2008,Orden o constancia de pago,2008-09-02/2008-10-07,cuatro fechas T+3,fecha; importe; moneda; estado; identificador,sin cuenta ni contraparte,DRAFT_NOT_SENT
TR125_004,REQ125_ECON,Ministerio de Economía / Tesoro,CL125_SETTLEMENT_2008,Conciliación resultado-entrega-pago-deuda,2008,R1-R4,ronda; adjudicado; recibido; pagado; diferencia,agregado por ronda,DRAFT_NOT_SENT
TR125_005,REQ125_ECON,Ministerio de Economía / Tesoro,CL125_STRIP_2009,Expediente e índice del strip,2009-06-10/2009-06-18,ARARGE03G415,número; índice; área; documentos,metadatos,DRAFT_NOT_SENT
TR125_006,REQ125_ECON,Ministerio de Economía / Tesoro,CL125_STRIP_2009,Constancia de entrega y pago del strip,2009-06-17/2009-06-18,0306/40000; ARARGE03G415,fecha; nominal; efectivo; estado,agregado sin participantes,DRAFT_NOT_SENT
TR125_007,REQ125_ECON,Ministerio de Economía / Tesoro,CL125_BNA_FIRST_STAGE,Mandato y expediente BNA,2008-08-11/2008-08-22,primera etapa,acto; anexos; índice; rendición,copia testada,DRAFT_NOT_SENT
TR125_008,REQ125_ECON,Ministerio de Economía / Tesoro,CL125_SETTLEMENT_2008,Tabla de conservación o expurgo,2008-2009,expedientes de recompra,regla; acto; fecha; destino,N/A,DRAFT_NOT_SENT
TR125_009,REQ125_BCRA,BCRA / CRyL,CL125_SETTLEMENT_2008,Mensajes o asientos CRyL,2008-09-01/2008-10-07,0306/40000; cuatro ISIN,fecha; especie; nominal; estado; identificador,disociación de cuentas y terceros,DRAFT_NOT_SENT
TR125_010,REQ125_BCRA,BCRA / CRyL,CL125_SETTLEMENT_2008,Débitos créditos u órdenes de liquidación,2008-09-02/2008-10-07,cuatro fechas T+3,fecha; monto; moneda; estado,agregado por fecha sin cuenta,DRAFT_NOT_SENT
