source_id,url,retrieval,status
e0_macro_20f_2007_mypes_collateral_v181,https://www.macro.com.ar/relaciones-inversores/documento/1493316419832/bma_20f_2007_eng.pdf,DIRECT_OFFICIAL,PRESERVED
e0_macro_20f_2009_mypes_collateral_v181,https://www.macro.com.ar/relaciones-inversores/documento/1517358335677/bma_20f_2009_eng.pdf,DIRECT_OFFICIAL,PRESERVED
e0_macro_20f_2010_mypes_collateral_v181,https://www.macro.com.ar/relaciones-inversores/documento/1517358335382/bma_20f_2010_eng.pdf,DIRECT_OFFICIAL,PRESERVED
e0_macro_20f_2011_mypes_collateral_v181,https://www.macro.com.ar/relaciones-inversores/documento/1517358335198/bma_20f_2011_eng.pdf,DIRECT_OFFICIAL,PRESERVED
e0_sec_macro_20f_2012_restricted_assets_v181,https://www.sec.gov/Archives/edgar/data/1347426/000119312513178117/d526406d20f.htm,DIRECT_OFFICIAL,PRESERVED
e0_sec_macro_20f_2013_contingency_control_v181,https://www.sec.gov/Archives/edgar/data/1347426/000119312514167653/d713664d20f.htm,DIRECT_OFFICIAL,PRESERVED
e0_sec_macro_20f_2014_contingency_control_v181,https://www.sec.gov/Archives/edgar/data/1347426/000119312515152311/d912561d20f.htm,DIRECT_OFFICIAL,PRESERVED
e0_sec_macro_20f_2015_contingency_control_v181,https://www.sec.gov/Archives/edgar/data/1347426/000119312516563512/d176736d20f.htm,DIRECT_OFFICIAL,PRESERVED
e0_sec_macro_submission_index_v181,https://data.sec.gov/submissions/CIK0001347426.json,DIRECT_OFFICIAL,PRESERVED
e0_bcra_nonfinancial_entities_2011s2_mypes_v181,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/EntidadesNo/enf022011.pdf,DIRECT_OFFICIAL,PRESERVED
e0_bcra_nonfinancial_entities_2012s1_registry_exit_v181,https://www.bcra.gob.ar/archivos/Pdfs/Publicaciones/EntidadesNo/enf012012.pdf,DIRECT_OFFICIAL,PRESERVED
