row_id,filename,role,catalogued,catalog_source_id,bytes,sha256,preserved
B151_01,argentina_afg_fifth_stage_legacy_to_internet.html,LEGACY_TRANSITION,YES,e0_argentina_afg_fifth_stage_legacy_transaf,37007,9db94f7ee884b52397e45eb95f9b71b0766e16e19904280b07bfc9d15a6369ff,YES
B151_02,argentina_afg_first_stage_sidif_transaf.html,HISTORICAL_ARCHITECTURE,YES,e0_argentina_afg_first_stage_sidif_transaf_architecture,41493,df6c68fc5259f89c425324cfbb9883b5ae5e853b315c84b0568f6aedb7dbf93b,YES
B151_03,argentina_dgsiaf_transaf_current.html,CURRENT_COMPARATOR,YES,e0_argentina_dgsiaf_transaf_current_page,28978,3542335003104c46707efcc52a8559483ff754b03081f83f6ce7a2f58b84642f,YES
B151_04,cgn_account_2008_sep_specific_queries.pdf,EXISTING_2008_SOURCE_DUPLICATE,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,1157092,abea3762088e8b5a555dc9723c7737922c7deb6d69daa398c82c7379c3c2de0e,YES
B151_05,cgn_account_2008_uepex_specific_queries.html,EXISTING_2008_SOURCE_DUPLICATE,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,53229,3244a20ebf2356ad63422017bcd66be7eae2954fe8e3d8ff01ff1c6b9465b71a,YES
B151_06,cgn_circular_2_1999_parametrized_text_file.html,PARAMETERIZED_LIST,YES,e0_cgn_circular_2_1999_parameterized_text_file,10431,d8906d10a01745042a72912cc32ebf33adaa05fcd3e45c2e6c0fdc2c36c2edba,YES
B151_07,cgn_circular_2_2021_uai_closing_instructions.pdf,UAI_CLOSING_CIRCULAR,YES,e0_cgn_circular_2_2021_uai_closing,414215,e1b98fa1f61b2f34423859c587b79fd1710fd7fd2d090d6338e71a5abdbdc6a2,YES
B151_08,cgn_disposition_31_2006_local_parametrized_list.html,EXISTING_SOURCE_DUPLICATE,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,16804,3b54ab0cee1c6b0f3e1644f7f5eaf671fadc08758235f64444aea180189fa9df,YES
B151_09,cgn_sigen_instruction_account_2009.pdf,ADJACENT_YEAR_AUDIT,YES,e0_cgn_sigen_instruction_account_2009,85378,c2017483c86e210ea05c222f9f453ca57b0b48f58f750509a5f70c44a2986fe6,YES
B151_10,dgsiaf_2022_transaf_user_guide.pdf,LATER_TECHNICAL_COMPARATOR,YES,e0_dgsiaf_transaf_user_guide_2022,694795,5162ff6ece181a5a03914c786848df75c5bf4c752ab240a923b382d019d58c9a,YES
B151_11,sigen_instruction_1_2021_embedded.pdf,EMBEDDED_AUDIT_INSTRUCTION,YES,e0_sigen_instruction_1_2021_account_certification,480396,6f172ec3f0f9784aed46ff99de32a656cbbc8bde425e7d1aa80f4d0106b4cfaf,YES
B151_12,sigen_instruction_2021_annex_i_bank_movements.pdf,BANK_MOVEMENT_CERTIFICATION,YES,e0_sigen_instruction_1_2021_annex_i_bank_movements,179355,755da7695590c15d7ac511f513c5af89871c55764c20cda43940bb02169649ca,YES
B151_13,sigen_instruction_2021_annex_ii.pdf,BUNDLE_ONLY,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,179345,8f39c158354ff15167431d7b1f8c6693457ccd962cdc451562c46ffc0dc4dcc9,YES
B151_14,sigen_instruction_2021_annex_iii_a.pdf,BUNDLE_ONLY,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,179335,391980845e83ee96dc7d8b93491696c125174bad786461cb53b73c340f4cb715,YES
B151_15,sigen_instruction_2021_annex_iii_b.pdf,BUNDLE_ONLY,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,179400,aee5f30d4228cbdb14ecd2e79c63dc32add11fc8f22b257e28bad54256b6e3d3,YES
B151_16,sigen_instruction_2021_annex_iv.pdf,EXECUTION_FORM_CERTIFICATION,YES,e0_sigen_instruction_1_2021_annex_iv_execution_forms,165767,f041668c215247d70c6d554c9771182efb91093147ecfa331984352a379f4eea,YES
B151_17,sigen_instruction_2021_annex_v.pdf,BUNDLE_ONLY,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,179370,98d6632e247db166206017ecd327565c774ddf93a5717306dfe8319e4c2db55f,YES
B151_18,sigen_instruction_2021_annex_vi.pdf,BUNDLE_ONLY,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,165648,267242fa60b3adb7b3ec0d929bbc35179b761fe6d73adb04567fa01134519d36,YES
B151_19,sigen_instruction_2021_annex_vii.pdf,BUNDLE_ONLY,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,179351,f0aa9752ffefce871e9486262975c049f713e06c6d844f8be79c7829ce281a44,YES
