gap_id,entity_or_id,status,source_status,local_path,bytes,sha256,method,tls_validation,url,effective_url,note
2001,bcra_boldat202505_tipo_titular,NOT_INGESTED,DOWNLOAD_FAILED,,,,curl.exe + Invoke-WebRequest,SCHANNEL_DEFAULT_SSL_NO_REVOKE,https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf,https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf,"curl: curl.exe : curl: (6) Could not resolve host: www7.bcra.gob.ar
En C:\Users\miyur\Downloads\SOURCE_BACKFILL_TOOL_V96_ROUND3\tool_round3\Download-SourceBackfill.ps1: 84 Carácter: 17
+         $meta = & $CurlCommand.Source @args 2> $stderr
+                 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (curl: (6) Could...ww7.bcra.gob.ar:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
curl: (6) Could not resolve host: www7.bcra.gob.ar
curl: (6) Could not resolve host: www7.bcra.gob.ar
curl: (6) Could not resolve host: www7.bcra.gob.ar
curl: (6) Could not resolve host: www7.bcra.gob.ar | IWR: No se puede resolver el nombre remoto: 'www7.bcra.gob.ar'"
2002,bcra_ief_1s2018_ciclo,INGESTED,DOWNLOAD_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_ief_1s2018_ciclo.pdf,1423308,09e0305bf0cae9d40eb7f6002bc4d0b28f4fc37d951761a882dafafee1de43cc,curl.exe,SCHANNEL_DEFAULT_SSL_NO_REVOKE,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0118.pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0118.pdf,"Payload manifest, size, PDF magic and SHA-256 revalidated before ingest."
2003,bcra_ief_1s2019_ciclo,INGESTED,DOWNLOAD_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_ief_1s2019_ciclo.pdf,902373,de9aca43185b3778dcbdf138bbebf0b85f21ed1b8516198605ec6c4c41532b49,Invoke-WebRequest,WINDOWS_DEFAULT,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0119.pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0119.pdf,"Payload manifest, size, PDF magic and SHA-256 revalidated before ingest."
2004,bcra_ief_2s2023_ciclo,INGESTED,DOWNLOAD_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_ief_2s2023_ciclo.pdf,1144797,8d69b6fb4e37719fe5e707598f6a3704fcf543da5e9500800cd0d3d8106c4f39,Invoke-WebRequest,WINDOWS_DEFAULT,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0223.pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0223.pdf,"Payload manifest, size, PDF magic and SHA-256 revalidated before ingest."
2005,bcra_iif_1s2024_ahorro_ph,INGESTED,DOWNLOAD_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_1s2024_ahorro_ph.pdf,2122951,d86e20fd424bdd1790fda2d9b262258846bb9a6d3ba2555cd74d46d8916a7798,curl.exe,SCHANNEL_DEFAULT_SSL_NO_REVOKE,https://www.bcra.gob.ar/archivos/pdfs/PublicacionesEstadisticas/Informe-inclusion-%20financiera-octubre-24.pdf,https://www.bcra.gob.ar/archivos/pdfs/PublicacionesEstadisticas/Informe-inclusion-%20financiera-octubre-24.pdf,"Payload manifest, size, PDF magic and SHA-256 revalidated before ingest."
2006,bcra_iif_1s2025_mora,INGESTED,DOWNLOAD_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_1s2025_mora.pdf,2404631,07a210eecaa7d45c3afa34042718be4a1489d418598ba6a996da0f64070bc50b,Invoke-WebRequest,WINDOWS_DEFAULT,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informe-inclusion-financiera-octubre-25.pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informe-inclusion-financiera-octubre-25.pdf,"Payload manifest, size, PDF magic and SHA-256 revalidated before ingest."
2007,bcra_iif_2s2024_ahorro_ph,INGESTED,DOWNLOAD_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_2s2024_ahorro_ph.pdf,2319050,1a93f4c386a1be093656ae21a2949224569ef73cc40631a6e71ca85f7eb5e5ad,Invoke-WebRequest,WINDOWS_DEFAULT,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informe-inclusion-financiera-abril-25.pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informe-inclusion-financiera-abril-25.pdf,"Payload manifest, size, PDF magic and SHA-256 revalidated before ingest."
2008,bcra_iif_2s2025_ahorro_ph,INGESTED,DOWNLOAD_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_iif_2s2025_ahorro_ph.pdf,1877423,791835603eaf4d31bf637cccc72f8d5ee1e18e8545ddf66cd248bb2ddd12d311,Invoke-WebRequest,WINDOWS_DEFAULT,https://www.bcra.gob.ar/archivos/Pdfs/publicacionesestadisticas/informes/informe-inclusion-financiera-2026-04.pdf,https://www.bcra.gob.ar/archivos/Pdfs/publicacionesestadisticas/informes/informe-inclusion-financiera-2026-04.pdf,"Payload manifest, size, PDF magic and SHA-256 revalidated before ingest."
2009,bcra_imm_dic2024_mora,INGESTED,DOWNLOAD_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_imm_dic2024_mora.pdf,2284708,488847eb4333927f21d5c655eb840d0b4d34419d4fb08a828fb2e2001b600824,curl.exe,SCHANNEL_DEFAULT_SSL_NO_REVOKE,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informe-monetario-mensual-dic-24.pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informe-monetario-mensual-dic-24.pdf,"Payload manifest, size, PDF magic and SHA-256 revalidated before ingest."
2010,bcra_imm_jun2014_a5590,INGESTED,DOWNLOAD_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_imm_jun2014_a5590.pdf,486976,70bf8ab9521f1a52c3e434d78a892a716d0bd7b5d83b824f7558d103cacd0b0b,curl.exe,SCHANNEL_DEFAULT_SSL_NO_REVOKE,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/bol0614.pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/bol0614.pdf,"Payload manifest, size, PDF magic and SHA-256 revalidated before ingest."
