source_id,url,content_role,official_page_verified,binary_endpoint_verified,local_bytes_materialized,sha256,fetch_status,strict_gate_status,notes
BCRA_PRIVATE_HOLDER_STOCKS_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_priv.xls,Private nonfinancial loans/deposits by holder type; month-end stocks,True,True,False,N/D,RUNTIME_NETWORK_BLOCKED,FAIL_RAW_BYTES,Official link exposed from BCRA loans/deposits pages. Stock source only; even with bytes it would not itself allocate accrued interest result.
BCRA_PUBLIC_HOLDER_STOCKS_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_pub.xls,Public-sector loans/deposits by jurisdiction/province; month-end stocks,True,True,False,N/D,RUNTIME_NETWORK_BLOCKED,FAIL_RAW_BYTES,Official binary endpoint verified via BCRA page.
BCRA_PUBLIC_SECURITIES_BY_ISSUER_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/titpubser.xls,Financial-institution public-security holdings by political jurisdiction/province of issuer; month-end stocks,True,True,False,N/D,RUNTIME_NETWORK_BLOCKED,FAIL_RAW_BYTES,Issuer stock is not result contribution; requires a same-window result bridge.
BCRA_UVA_LOANS_MONTHLY_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/finuva_mensual.xls,Monthly UVA loan balances/flows/rates/plazos,True,True,False,N/D,RUNTIME_NETWORK_BLOCKED,FAIL_RAW_BYTES,Potential gross indexed-asset leg; result reconciliation still required.
BCRA_UVA_DEPOSITS_MONTHLY_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/depuva_mensual.xls,Monthly UVA deposit balances/flows/rates/plazos,True,True,False,N/D,RUNTIME_NETWORK_BLOCKED,FAIL_RAW_BYTES,Potential gross indexed-liability leg; result reconciliation still required.
BCRA_BANK_DEC2023_SERIES_XLSX,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc1223.xlsx,Official Series de Datos for Informe sobre Bancos Dec-2023,True,True,False,N/D,RUNTIME_NETWORK_BLOCKED,FAIL_RAW_BYTES,Official page advertises this file. Browser identifies XLSX endpoint but cannot expose binary bytes.
BCRA_BANK_DEC2023_ANEXO_XLSX,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc_Anexo.xlsx,Official Anexo Estadístico Dec-2023,True,True,False,N/D,RUNTIME_NETWORK_BLOCKED,FAIL_RAW_BYTES,"Filename is generic on server; current endpoint may be overwritten by later editions, so a downloaded byte snapshot must be versioned immediately."
BCRA_BANK_DEC2018_SERIES_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc1218.xls,Official Series de Datos for Informe sobre Bancos Dec-2018,True,True,False,N/D,RUNTIME_NETWORK_BLOCKED,FAIL_RAW_BYTES,Needed for historical 2018 compatibility checks.
BCRA_BALANCE_DETAIL_RESULTS_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/baldethis.xls,Operations to future / debtor situation / consolidated income statement detail,True,True,False,N/D,RUNTIME_NETWORK_BLOCKED,FAIL_RAW_BYTES,Highest-priority candidate for subaccount/result reconstruction. BCRA methodological notes state these data come from processed financial-institution accounting balances.
BCRA_INFO_ENTITIES_OPEN_DATA,https://www.bcra.gob.ar/informacion-sobre-entidades-financieras/,Monthly regulatory-reporting open data; BCRA states a .7z with TXT plus layout PDF is available,True,False,False,N/D,LANDING_PAGE_ONLY_ENDPOINT_NOT_RESOLVED,FAIL_RAW_BYTES,Potential entity-level subaccount source. Runtime did not resolve the month-specific .7z endpoint.
BCRA_DIN3_TXT,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din3_ser.txt,"Open TXT: principal assets, public-security holdings and loans",True,True,False,N/D,WEB_TOO_LARGE_OR_TIMEOUT,FAIL_RAW_BYTES,"Useful for stock validation, not sufficient for income/result allocation."
BCRA_DIN4_TXT,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din4_ser.txt,Open TXT: principal liabilities/deposits,True,True,False,N/D,WEB_TOO_LARGE_OR_TIMEOUT,FAIL_RAW_BYTES,"Useful for funding stock validation, not sufficient for sectoral accrued-interest result."
