scan_id,surface,period_or_collection,target,result,classification,service_state,next_step
LA169_01,Wayback CDX,2013-2020,www.sigen.gov.ar/documentacion/plananualpdfs/*,25 HTTP-200 PDF rows; plans 2013-2015 only,LATE_DIRECTORY_CAPTURE_TARGET_2009_ABSENT_SCOPED,OK,institutional archive and mirrors
LA169_02,Wayback CDX,2013-2020,Plan SIGEN 2009 + Anexo G + planred2009,not present among returned directory rows,LATE_ARCHIVE_NEGATIVE_SCOPED,OK,do not infer deletion date
LA169_03,Common Crawl,CC-MAIN-2013-20/2013-48/2014-10/2014-15,*.sigen.gov.ar/documentacion/plananualpdfs/*,superseded in V170: wildcard/domain query did not reliably constrain the folder,SUPERSEDED_INVALID_QUERY_NEGATIVE,INVALIDATED,exact host prefix + matchType=prefix + JSON/URL validation
LA169_04,Common Crawl,catalog/full 2013-2020 retry,directory + exact main/annex G/plan red,catalog/index connection timed out; batch interrupted without completed export,SERVICE_UNAVAILABLE_NOT_NEGATIVE,ERROR,rerun bounded yearly batches
LA169_05,InfoLEG Actos de Gobierno,78 issues 2008-09-15 to 2010-03-08,Plan SIGEN annual publications,Plan 2008 and two Plan 2010 parts; no Plan 2009 title,EDITORIAL_SURFACE_NEGATIVE_SCOPED,OK,request publication/custody certificate
LA169_06,public web exact-title search,2026-08-31,four exact Plan 2009 filenames/titles,no target bodies; official Memory 2008 remained only exact approval reference,SEARCH_ENGINE_NEGATIVE_SCOPED,OK,custody request by exact filenames
LA170_07,Common Crawl official catalog,2013-2020 · 74 collections,queryable collection universe,74 collection identifiers authenticated,COLLECTION_UNIVERSE_VERIFIED_RESULTS_PENDING,CATALOG_OK,resume exact-prefix batches
LA170_08,Common Crawl broad query audit,2013-2015 · 20 collections,wildcard domain/path pattern,12 service errors; 6 HTML-503 false positives; 2 general-domain result sets,BROAD_BATCH_INVALIDATED,MIXED_INVALID,do not use as capture or negative evidence
LA170_09,Common Crawl exact-prefix retry,2013 · 2 collections × 2 hosts,exact folder prefix with matchType=prefix,4 service errors; zero evaluable responses,SERVICE_ERRORS_NOT_NEGATIVES,ERROR,retry with backoff when service recovers
LA170_10,public exact-title search,2026-08-31,four exact Plan 2009 filename/title probes,no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,OK,institutional custody by 14 exact routes
LA170_11,SIGEN/Normativa/Boletín Oficial search,approval date 2008-12-15,Plan SIGEN 2009 approval act,no act number or body located; Memory 2008 remains exact approval reference,PUBLIC_ACT_SEARCH_NEGATIVE_SCOPED,OK,"approval register, file and UAI communication"
LA170_12,CGN Cuenta 2009 UEPEX,2009,recipient of Nota SIGEN 3672/09,CGN identified as contextual recipient by narrative antecedent,RECIPIENT_IDENTIFIED_BY_CONTEXT_CGN,OK,formal addressee and CGN incoming identifier
