log_id,surface,query_or_target,result,classification,limit_or_next_step
LA169_01,Wayback CDX,www.sigen.gov.ar/documentacion/plananualpdfs/*,25 HTTP-200 PDF rows; plans 2013-2015 only,LATE_DIRECTORY_CAPTURE_TARGET_2009_ABSENT_SCOPED,institutional archive and mirrors
LA169_02,Wayback CDX,Plan SIGEN 2009 + Anexo G + planred2009,not present among returned directory rows,LATE_ARCHIVE_NEGATIVE_SCOPED,do not infer deletion date
LA169_03,Common Crawl,*.sigen.gov.ar/documentacion/plananualpdfs/*,superseded in V170: wildcard/domain query did not reliably constrain the folder,SUPERSEDED_INVALID_QUERY_NEGATIVE,exact host prefix + matchType=prefix + JSON/URL validation
LA169_04,Common Crawl,directory + exact main/annex G/plan red,catalog/index connection timed out; batch interrupted without completed export,SERVICE_UNAVAILABLE_NOT_NEGATIVE,rerun bounded yearly batches
LA169_05,InfoLEG Actos de Gobierno,Plan SIGEN annual publications,Plan 2008 and two Plan 2010 parts; no Plan 2009 title,EDITORIAL_SURFACE_NEGATIVE_SCOPED,request publication/custody certificate
LA169_06,public web exact-title search,four exact Plan 2009 filenames/titles,no target bodies; official Memory 2008 remained only exact approval reference,SEARCH_ENGINE_NEGATIVE_SCOPED,custody request by exact filenames
LA170_07,Common Crawl official catalog,queryable collection universe,74 collection identifiers authenticated,COLLECTION_UNIVERSE_VERIFIED_RESULTS_PENDING,resume exact-prefix batches
LA170_08,Common Crawl broad query audit,wildcard domain/path pattern,12 service errors; 6 HTML-503 false positives; 2 general-domain result sets,BROAD_BATCH_INVALIDATED,do not use as capture or negative evidence
LA170_09,Common Crawl exact-prefix retry,exact folder prefix with matchType=prefix,4 service errors; zero evaluable responses,SERVICE_ERRORS_NOT_NEGATIVES,retry with backoff when service recovers
LA170_10,public exact-title search,four exact Plan 2009 filename/title probes,no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,institutional custody by 14 exact routes
LA170_11,SIGEN/Normativa/Boletín Oficial search,Plan SIGEN 2009 approval act,no act number or body located; Memory 2008 remains exact approval reference,PUBLIC_ACT_SEARCH_NEGATIVE_SCOPED,"approval register, file and UAI communication"
LA170_12,CGN Cuenta 2009 UEPEX,recipient of Nota SIGEN 3672/09,CGN identified as contextual recipient by narrative antecedent,RECIPIENT_IDENTIFIED_BY_CONTEXT_CGN,formal addressee and CGN incoming identifier
FN170_01,public web exact-title search,"""Plan SIGEN 2009.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia.
FN170_02,public web exact-title search,"""Anexo G - Capacitacion 2009.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia.
FN170_03,public web exact-title search,"""planred2009.pdf"" SIGEN",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia.
FN170_04,public web exact-title search,"""Anexo F - Cuadro 18"" ""SIGEN"" 2009",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,"Los otros diez cuadros permanecen en el inventario de 14 enlaces, no como cuerpos recuperados."
