entity,period,basis,url,preservation
Nuevo Banco de Santa Fe Sociedad Anonima,30/09/2023,separated/individual,https://assets.ctfassets.net/h7wmg0jhythh/3KykEMuhRA2DZjWCd12wv/10e5d5dd2278b7501d23c2fe0815962b/092023_-_NBSF_-_EEFF_Separados.pdf,BINARY_PRESERVED_LOCAL_SHA256; path=/research/ciclo_ajuste/inputs/issuer_retrieval/v89/binaries/017_092023_-_NBSF_-_EEFF_Separados.pdf; sha256=7b0ec6c242c06702796830ce1a2ae172fedef8b12fb4f0134cb949a676d2602b
Nuevo Banco de Santa Fe Sociedad Anonima,FY-2023,separated/individual or official comparative,https://assets.ctfassets.net/h7wmg0jhythh/n0pbb6IBTuXKan3xDHFJI/0f0fbd42c71be085d2712976d1890ef9/122023_-_NBSF_-_EEFF_Separados.pdf,BINARY_PRESERVED_LOCAL_SHA256; path=/research/ciclo_ajuste/inputs/issuer_retrieval/v89/binaries/018_122023_-_NBSF_-_EEFF_Separados.pdf; sha256=231c456998ac00b4e60093951ce76158cef2b4721314c0f71a208662fc38b80f
Nuevo Banco de Entre Ríos S.A.,30/09/2023,separated/individual,https://assets.ctfassets.net/h7wmg0jhythh/4298svWaPcM3FgQ8pspEtP/e19201d5d304fe5ff78ac1bbefcad978/NBERSA_09.2023_-_EEFF_.pdf,BINARY_PRESERVED_LOCAL_SHA256; path=/research/ciclo_ajuste/inputs/issuer_retrieval/v89/binaries/016_NBERSA_09.2023_-_EEFF_.pdf; sha256=f20be4cb8104e8224c6bfadf84a6fa6909988d744756f87ab9ff488ef2c9fb61
Nuevo Banco de Entre Ríos S.A.,FY-2023,separated/individual or official comparative,https://assets.ctfassets.net/h7wmg0jhythh/2fLFeDK6jUhhYgrHlc1WNH/59c7096b296c83d4d6420a3bc3f28243/NBERSA_12.2023_-_EEFF_sin_pdu.pdf,BINARY_PRESERVED_LOCAL_SHA256; path=/research/ciclo_ajuste/inputs/issuer_retrieval/v89/binaries/015_NBERSA_12.2023_-_EEFF_sin_pdu.pdf; sha256=b462146af5e4145156338deea8ac297bdc8aaeac052ab85b691cd5b9b27b8e9e
Banco de San Juan S.A.,30/09/2023,separated/individual,https://assets.ctfassets.net/e7eu92ue673r/y9IVnh4fy1BgWES0TUbmZ/468b8e783fed7b6e18bd70a9ee7bebf9/30.09.2023__SEPARADOS_.pdf,BINARY_PRESERVED_LOCAL_SHA256; path=/research/ciclo_ajuste/inputs/issuer_retrieval/v89/binaries/009_30.09.2023__SEPARADOS_.pdf; sha256=99608f0261fb255dff814078661d6ef6f7ee2944bbe0beb5a19ac99bef0d380e
Banco de San Juan S.A.,FY-2023,separated/individual or official comparative,https://contenido.sanjuan.gob.ar/media/k2/attachments/%2803%29_%28MARZO%29_14-03-2025_ANEXO_BANCO_SAN_JUAN.pdf,BINARY_PRESERVED_LOCAL_SHA256; path=/research/ciclo_ajuste/inputs/issuer_retrieval/v89/binaries/010_(03)_(MARZO)_14-03-2025_ANEXO_BANCO_SAN_JUAN.pdf; sha256=18f89f425a3ce9e4cd6150fa9d87080f3ff1c1211313c9f8f94675c765c700e2
Banco de Santa Cruz S.A.,30/09/2023,separated/individual,https://assets.ctfassets.net/h7wmg0jhythh/67xmHobIaNPVJS8GHGQzkg/ef170bd735ee3a4dbe86a1f35d407799/092023_-_BSC_-_Estados_Financieros_NIIF.pdf,BINARY_PRESERVED_LOCAL_SHA256; path=/research/ciclo_ajuste/inputs/issuer_retrieval/v89/binaries/012_092023_-_BSC_-_Estados_Financieros_NIIF.pdf; sha256=e57a3f6449d365eeae9ba7708ad21f12af2445f67bcc4cd2833238159db0bd30
Banco de Santa Cruz S.A.,FY-2023,separated/individual or official comparative,https://assets.ctfassets.net/h7wmg0jhythh/4g79KmIvc3oFO0cOoxTWKs/431c9d8d065184e2c23525856a1d55ca/122023_-_BSC_-_Estados_Financieros.pdf,BINARY_PRESERVED_LOCAL_SHA256; path=/research/ciclo_ajuste/inputs/issuer_retrieval/v89/binaries/011_122023_-_BSC_-_Estados_Financieros.pdf; sha256=3f0460be1194d66e3c0e2468ecc299b944bd11695996c76651920c36da7f3f06
BICE S.A.,30/09/2023,separated-condensed candidate,https://www.agn.gob.ar/sites/default/files/informes/2023-209-Informe%20Anexo%201%20SC.pdf,MANUAL_RECOVERY_PENDING
HSBC Bank Argentina S.A.,30/09/2023,individual CNV presentation,https://aif2.cnv.gov.ar/presentations/publicview/d483d33a-5c86-4fbb-ab9c-6528bf43f572,MANUAL_RECOVERY_PENDING
