version,source_id,url,extension,historical_materialized,historical_sha256,historical_status,round2_status
V54,BCRA_PRIVATE_HOLDER_STOCKS_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_priv.xls,.xls,False,N/D,RUNTIME_NETWORK_BLOCKED,QUEUED_ROUND2
V54,BCRA_PUBLIC_HOLDER_STOCKS_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_pub.xls,.xls,False,N/D,RUNTIME_NETWORK_BLOCKED,QUEUED_ROUND2
V54,BCRA_PUBLIC_SECURITIES_BY_ISSUER_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/titpubser.xls,.xls,False,N/D,RUNTIME_NETWORK_BLOCKED,QUEUED_ROUND2
V54,BCRA_UVA_LOANS_MONTHLY_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/finuva_mensual.xls,.xls,False,N/D,RUNTIME_NETWORK_BLOCKED,QUEUED_ROUND2
V54,BCRA_UVA_DEPOSITS_MONTHLY_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/depuva_mensual.xls,.xls,False,N/D,RUNTIME_NETWORK_BLOCKED,QUEUED_ROUND2
V54,BCRA_BANK_DEC2023_SERIES_XLSX,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc1223.xlsx,.xlsx,False,N/D,RUNTIME_NETWORK_BLOCKED,QUEUED_ROUND2
V54,BCRA_BANK_DEC2023_ANEXO_XLSX,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc_Anexo.xlsx,.xlsx,False,N/D,RUNTIME_NETWORK_BLOCKED,PRESERVED_ALREADY
V54,BCRA_BANK_DEC2018_SERIES_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc1218.xls,.xls,False,N/D,RUNTIME_NETWORK_BLOCKED,QUEUED_ROUND2
V54,BCRA_BALANCE_DETAIL_RESULTS_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/baldethis.xls,.xls,False,N/D,RUNTIME_NETWORK_BLOCKED,QUEUED_ROUND2
V54,BCRA_DIN3_TXT,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din3_ser.txt,.txt,False,N/D,WEB_TOO_LARGE_OR_TIMEOUT,QUEUED_ROUND2
V54,BCRA_DIN4_TXT,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din4_ser.txt,.txt,False,N/D,WEB_TOO_LARGE_OR_TIMEOUT,QUEUED_ROUND2
V55,BCRA_PRIVATE_HOLDER_STOCKS_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_priv.xls,.xls,False,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,QUEUED_ROUND2
V55,BCRA_PUBLIC_HOLDER_STOCKS_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_pub.xls,.xls,False,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,QUEUED_ROUND2
V55,BCRA_PUBLIC_SECURITIES_BY_ISSUER_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/titpubser.xls,.xls,False,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,QUEUED_ROUND2
V55,BCRA_UVA_LOANS_MONTHLY_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/finuva_mensual.xls,.xls,False,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,QUEUED_ROUND2
V55,BCRA_UVA_DEPOSITS_MONTHLY_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/depuva_mensual.xls,.xls,False,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,QUEUED_ROUND2
V55,BCRA_BANK_DEC2023_SERIES_XLSX,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc1223.xlsx,.xlsx,False,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,QUEUED_ROUND2
V55,BCRA_BANK_DEC2023_ANEXO_XLSX,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc_Anexo.xlsx,.xlsx,False,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,PRESERVED_ALREADY
V55,BCRA_BANK_DEC2018_SERIES_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc1218.xls,.xls,False,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,QUEUED_ROUND2
V55,BCRA_BALANCE_DETAIL_RESULTS_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/baldethis.xls,.xls,False,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,QUEUED_ROUND2
V55,BCRA_DIN3_TXT,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din3_ser.txt,.txt,False,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,QUEUED_ROUND2
V55,BCRA_DIN4_TXT,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din4_ser.txt,.txt,False,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,QUEUED_ROUND2
V55,BCRA_ES_SERIES_METADATA_CACHE,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/es_series.txt,.txt,True,46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b,MATERIALIZED_FROM_USER_REPO_CACHE,PRESERVED_ALREADY
