bridge_id,category,instrument_or_measure,unit,as_of_2002_12_31,as_of_2003_12_31,delta_2003_minus_2002,source_2002,source_2003,comparability,permitted_interpretation,forbidden_interpretation
B01,ALL_BODEN_PURPOSES,Updated_debt_stock,ARS_million,48235.713,51525.296,3289.583,e0_cgn_cuenta_inversion_2002_tomo_i,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,PURPOSE_TOTALS_COMPARABLE_WITH_ROUNDING,"Total published BODEN/pagare stock increased while new unrelated purpose buckets appeared.",Treat delta as bank compensation flow.
B02,COMPENSATORY,Updated_debt_stock,ARS_million,22035.916,17348.345,-4687.571,e0_cgn_cuenta_inversion_2002_tomo_i,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,STOCKS_COMPARABLE_NOT_FLOWS,"End-date updated stocks can be compared descriptively.",Interpret decline as cash repayment or bank loss without instrument bridge.
B03,COVERAGE,Updated_debt_stock,ARS_million,8120.833,6879.649,-1241.184,e0_cgn_cuenta_inversion_2002_tomo_i,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,STOCKS_COMPARABLE_NOT_FLOWS,"End-date updated stocks can be compared descriptively.",Interpret decline as cash repayment or clawback.
B04,AHORRISTAS,Updated_debt_stock,ARS_million,18078.963,17664.377,-414.586,e0_cgn_cuenta_inversion_2002_tomo_i,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,STOCKS_COMPARABLE_NOT_FLOWS,"Depositor-purpose stock remains separate from bank compensation.",Add to bank compensation.
B05,COMPENSATORY,BODEN_2007_original_nominal,ARS_million,2292.823,868.384,-1424.439,e0_cgn_cuenta_inversion_2002_tomo_i,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,INSTRUMENT_NOMINAL_SAME_CURRENCY,"Nominal stock declined across vintages.",Assign the change to one cause such as cash payment.
B06,COMPENSATORY,PAGARE_2007_original_nominal,ARS_million,1089.492,441.701,-647.791,e0_cgn_cuenta_inversion_2002_tomo_i,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,INSTRUMENT_NOMINAL_SAME_CURRENCY,"Nominal stock declined across vintages.",Infer beneficiary cash receipt.
B07,COMPENSATORY,BODEN_2012_original_nominal,USD_million,4614.574,4796.981,182.407,e0_cgn_cuenta_inversion_2002_tomo_i,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,INSTRUMENT_NOMINAL_SAME_CURRENCY,"Nominal stock increased across vintages.",Value as ARS flow without a dated exchange-rate and placement bridge.
B08,COMPENSATORY,PAGARE_2012_original_nominal,USD_million,468.587,3.000,-465.587,e0_cgn_cuenta_inversion_2002_tomo_i,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,INSTRUMENT_NOMINAL_SAME_CURRENCY,"Nominal stock declined sharply across vintages.",Assume extinction equals cash payment; conversion or reclassification may intervene.
B09,COVERAGE,BODEN_2012_original_nominal,USD_million,2020.634,1993.217,-27.417,e0_cgn_cuenta_inversion_2002_tomo_i,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,INSTRUMENT_NOMINAL_SAME_CURRENCY,"Nominal stock changed modestly.",Call it net fiscal cost without subscriptions redemptions and corrections.
B10,COVERAGE,PAGARE_2012_original_nominal,USD_million,367.846,364.846,-3.000,e0_cgn_cuenta_inversion_2002_tomo_i,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,INSTRUMENT_NOMINAL_SAME_CURRENCY,"Nominal stock changed modestly.",Call it cash redemption without service records.
B11,ACCOUNTING_TRANSFER,Administration_Central_transfer_entries,ARS_million,16183.54426211,3923.73653360,-12259.80772851,e0_cgn_cuenta_inversion_2002_tomo_i,e0_cgn_cuenta_inversion_2003_tomo_i,NOT_A_HOMOGENEOUS_FLOW_SERIES,"The accounts disclose year-specific reconciliation entries; the 2003 figure is the sum of the generic and two named lines.",Subtract them as if they were opening and closing stocks or sum them as realized cash.
B12,COMPENSATION_RELATED,Compensatory_plus_coverage_updated_stock,ARS_million,30156.749,24227.994,-5928.755,e0_cgn_cuenta_inversion_2002_tomo_i,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,DERIVED_CONTROL_ONLY,"Arithmetic control within each official purpose table.",Treat as final net fiscal incidence or bank profit.
