period,source_excel_row,source_status,total_financing_thousand_ars,total_normal_pct,total_potential_risk_pct,total_problem_component_1_pct,total_problem_component_2_pct,total_high_risk_component_1_pct,total_high_risk_component_2_pct,total_irrecoverable_uncollectible_pct,total_irrecoverable_technical_pct,total_irregular_situations_3_to_6_pct,total_irregular_residual_pct,total_rounding_delta_pct,private_financing_thousand_ars,private_normal_pct,private_potential_risk_pct,private_problem_component_1_pct,private_problem_component_2_pct,private_high_risk_component_1_pct,private_high_risk_component_2_pct,private_irrecoverable_uncollectible_pct,private_irrecoverable_technical_pct,private_irregular_situations_3_to_6_pct,private_irregular_residual_pct,private_rounding_delta_pct,source_id,source_sheet,definition
2001-01,821,AVAILABLE,84561505,84.740000,3.520000,1.470000,0.656950,2.220000,2.970037,3.910000,0.498382,11.725369,11.740000,-0.014631,64134129,82.220000,4.330000,1.660000,0.866063,2.100000,3.907570,4.430000,0.490000,13.453633,13.450000,0.003633,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2001-02,822,AVAILABLE,88523913,83.000000,3.720000,1.470000,0.655067,2.320000,3.118137,5.210000,0.508497,13.281701,13.280000,0.001701,71151688,79.210000,4.520000,1.830000,0.814962,2.760000,3.867238,6.440000,0.570000,16.282200,16.270000,0.012200,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2001-03,823,AVAILABLE,86632901,85.410000,3.840000,1.240000,0.524205,1.870000,2.121671,4.690000,0.299656,10.745532,10.750000,-0.004468,67736292,81.640000,4.890000,1.580000,0.670357,2.360000,2.700093,5.850000,0.310000,13.470450,13.470000,0.000450,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2001-04,824,AVAILABLE,85792625,84.870000,4.190000,1.280000,0.532576,1.880000,2.183863,4.750000,0.306365,10.932804,10.940000,-0.007196,66162252,80.660000,5.420000,1.650000,0.690496,2.410000,2.826323,6.010000,0.330000,13.916820,13.920000,-0.003180,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2001-05,825,AVAILABLE,84858323,84.970000,4.010000,1.320000,0.541685,1.870000,2.164119,4.810000,0.319342,11.025146,11.020000,0.005146,66413010,81.070000,5.110000,1.680000,0.692029,2.370000,2.762903,5.980000,0.340000,13.824931,13.820000,0.004931,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2001-06,826,AVAILABLE,85223201,85.050000,3.840000,1.360000,0.570252,1.860000,2.192577,4.770000,0.348208,11.101037,11.110000,-0.008963,65120528,80.700000,5.020000,1.780000,0.746236,2.420000,2.866950,6.070000,0.380000,14.263186,14.280000,-0.016814,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2001-07,827,AVAILABLE,82272638,84.170000,4.060000,1.540000,0.640647,1.940000,2.305709,4.980000,0.359976,11.766333,11.770000,-0.003667,63009919,79.660000,5.260000,2.010000,0.836408,2.500000,3.007849,6.330000,0.390000,15.074257,15.080000,-0.005743,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2001-08,828,AVAILABLE,79546320,83.170000,4.440000,1.600000,0.748242,2.080000,2.424992,5.150000,0.378104,12.381338,12.390000,-0.008662,61320669,78.500000,5.710000,2.070000,0.970417,2.690000,3.142657,6.500000,0.410000,15.783073,15.790000,-0.006927,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2001-09,829,AVAILABLE,78955722,82.520000,4.610000,1.590000,0.790960,2.090000,2.597206,5.400000,0.402599,12.870765,12.870000,0.000765,61273211,77.810000,5.890000,2.040000,1.016203,2.680000,3.343575,6.780000,0.440000,16.299778,16.300000,-0.000222,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2001-10,830,AVAILABLE,77730987,81.760000,4.880000,1.850000,0.860874,2.080000,2.693998,5.440000,0.426955,13.351826,13.360000,-0.008174,59640185,76.620000,6.260000,2.400000,1.113409,2.700000,3.507528,6.910000,0.480000,17.110936,17.120000,-0.009064,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2001-11,831,AVAILABLE,81938527,82.360000,4.740000,1.820000,0.868450,2.020000,2.674544,5.070000,0.447616,12.900610,12.900000,0.000610,59952872,76.280000,6.370000,2.480000,1.178661,2.750000,3.647408,6.760000,0.530000,17.346069,17.350000,-0.003931,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
