component_id,ief_label,q3_pct_a_an,q4_pct_a_an,q4_minus_q3_pp,q3_implied_target_flow_millions,q4_implied_target_flow_millions,flow_status,counterparty_status,note
interest_income,Ingresos por intereses,13.5,15.6,2.1,2152162.658,3596213.298,IMPLIED_TARGET_FROM_IEF_NOT_RAW_ACCOUNTING,N_D_OR_MIXED,"All analytical components share the IEF denominator; implied flows are diagnostic targets, not independently observed subaccount flows."
interest_expenses,Egresos por intereses,-36.9,-39.8,-2.9,-5882577.932,-9174954.44,IMPLIED_TARGET_FROM_IEF_NOT_RAW_ACCOUNTING,N_D_OR_MIXED,"All analytical components share the IEF denominator; implied flows are diagnostic targets, not independently observed subaccount flows."
cer_cvs,Ajustes CER y CVS,8.1,7.9,-0.2,1291297.595,1821159.298,IMPLIED_TARGET_FROM_IEF_NOT_RAW_ACCOUNTING,N_D_OR_MIXED,"All analytical components share the IEF denominator; implied flows are diagnostic targets, not independently observed subaccount flows."
fx,Diferencias de cotización,6.9,18.2,11.3,1099994.247,4195582.181,IMPLIED_TARGET_FROM_IEF_NOT_RAW_ACCOUNTING,N_D_OR_MIXED,"All analytical components share the IEF denominator; implied flows are diagnostic targets, not independently observed subaccount flows."
passes,Primas por pases,8.8,16.5,7.7,1402891.214,3803687.142,IMPLIED_TARGET_FROM_IEF_NOT_RAW_ACCOUNTING,BCRA_DIRECT,"All analytical components share the IEF denominator; implied flows are diagnostic targets, not independently observed subaccount flows."
securities_ori,Resultado por títulos valores c/ORI,28.1,35.4,7.3,4479686.718,8160637.869,IMPLIED_TARGET_FROM_IEF_NOT_RAW_ACCOUNTING,N_D_OR_MIXED,"All analytical components share the IEF denominator; implied flows are diagnostic targets, not independently observed subaccount flows."
monetary_result,Resultado monetario,-14.2,-23.4,-9.2,-2263756.277,-5394319.947,IMPLIED_TARGET_FROM_IEF_NOT_RAW_ACCOUNTING,N_D_OR_MIXED,"All analytical components share the IEF denominator; implied flows are diagnostic targets, not independently observed subaccount flows."
other_financial,Otros resultados financieros,0.0,0.3,0.3,0.0,69157.948,IMPLIED_TARGET_FROM_IEF_NOT_RAW_ACCOUNTING,N_D_OR_MIXED,"All analytical components share the IEF denominator; implied flows are diagnostic targets, not independently observed subaccount flows."
component_sum,Suma componentes MFIR,14.3,30.7,16.4,2279698.223,7077163.349,EXACT_WITH_ROUNDING,NOT_APPLICABLE,Component sum = 14.3 vs reported MFIR 14.4 in Q3; 30.7 vs 30.6 in Q4; ±0.1 pp rounding.
reported_mfir,Margen financiero integral real reportado,14.4,30.6,16.2,2295640.169,7054110.7,IEF_REPORTED,MIXED,Reported IEF analytical aggregate.
