ledger_id,window,mechanism,phase,as_of_date,payer,recipient,universe,instrument,amount_original,original_unit,normalized_ars_million,valuation_basis,source_id,source_locator,realization_status,additivity,status_interpretation,caveat
F01,2002,ASymmetric_pesification,LEGAL_AUTHORIZATION,2002-02-03,Tesoro_Nacional,Financial_system,Regulated_financial_entities,Treasury_bond,N/D,N/D,N/D,NOT_APPLICABLE,e0_infoleg_decreto_214_2002,Art_7,AUTHORIZED_NO_AGGREGATE_AMOUNT,NON_ADDITIVE,The decree orders a Treasury-funded bond but does not establish an aggregate realized amount.,Authorization is not issuance delivery or cash payment.
F02,2002,ASymmetric_pesification,ENTITY_CALCULATION_RULE,2002-05-31,Ministerio_de_Economia,Each_financial_entity,Entity_by_entity,BODEN_2007_and_BODEN_2012,N/D,N/D,N/D,FORMULA_ON_2001_12_31_BALANCE,e0_infoleg_decreto_905_2002,Arts_28_29,FORMULA_DEFINED_TOTAL_OPEN,NON_ADDITIVE,Compensation is calculated entity by entity from the 31 December 2001 balance; peso compensation and FX coverage are distinct legs.,The legal formula is not a fiscal total.
F03,2003,CER_CVS_asymmetry,LEGAL_AUTHORIZATION_CEILING,2003-11-14,Estado_Nacional,Financial_entities,Eligible_CER_CVS_portfolios,BGN_pesos_variable_rate_2013,2800,ARS_million,2800,MAXIMUM_AUTHORIZATION,e0_infoleg_ley_25796_2003,Arts_2_4,AUTHORIZED_CEILING,NON_ADDITIVE,Law 25.796 authorizes up to ARS 2.8bn and defines a periodic entity formula.,The ceiling is not evidence that ARS 2.8bn was issued delivered or paid in 2003.
F04,2001,ASymmetric_pesification,SUBSEQUENT_EVENT_DISCLOSURE,2001-12-31,Tesoro_Nacional,Financial_entities,System,BODEN,N/D,N/D,N/D,SUBSEQUENT_EVENT_ONLY,e0_bcra_estados_contables_2001_notas,PDF_p17,NOT_A_2001_REALIZED_FLOW,NON_ADDITIVE,The BCRA 2001 statements describe the 2002 compensation rules as events after year-end.,Do not backdate the 2002 instrument to a realized 2001 fiscal flow.
F05,2002,ASymmetric_pesification,DEBT_STOCK_ISSUED_AND_PLACED,2002-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_and_pagares_compensatorios,22035916,ARS_thousand_updated,22035.916,UPDATED_VALUE_AT_2002_12_31,e0_cgn_cuenta_inversion_2002_tomo_i,PDF_p34_printed_25,ISSUED_AND_PLACED_STOCK,ADD_WITHIN_ONP_2002_PURPOSES_ONLY,Official end-2002 compensation-purpose debt stock.,Debt stock is not cash paid and cannot be added to the accounting-transfer line without a bridge.
F06,2002,FX_negative_position_coverage,DEBT_STOCK_ISSUED_AND_PLACED,2002-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_and_pagare_2012_coverage,8120833,ARS_thousand_updated,8120.833,UPDATED_VALUE_AT_2002_12_31,e0_cgn_cuenta_inversion_2002_tomo_i,PDF_p34_printed_25,ISSUED_AND_PLACED_STOCK,ADD_WITHIN_ONP_2002_PURPOSES_ONLY,Official end-2002 coverage-purpose debt stock.,Coverage includes exchange/subscription mechanics and is not automatically a free transfer.
F07,2002,Depositor_bond_exchange,DEBT_STOCK_ISSUED_AND_PLACED,2002-12-31,Tesoro_Nacional,Depositors,Depositors_exercising_bond_options,BODEN_for_ahorristas,18078963,ARS_thousand_updated,18078.963,UPDATED_VALUE_AT_2002_12_31,e0_cgn_cuenta_inversion_2002_tomo_i,PDF_p34_printed_25,ISSUED_AND_PLACED_STOCK,ADD_WITHIN_ONP_2002_PURPOSES_ONLY,Official end-2002 depositor-purpose debt stock.,This is not bank compensation and must remain a separate purpose bucket.
F08,2002,All_BODEN_purposes,DEBT_STOCK_CONTROL_TOTAL,2002-12-31,Tesoro_Nacional,Mixed,Mixed,BODEN_and_pagares,48235713,ARS_thousand_updated,48235.713,UPDATED_VALUE_AT_2002_12_31,e0_cgn_cuenta_inversion_2002_tomo_i,PDF_p34_printed_25,CONTROL_TOTAL,CONTROL_NOT_ADDITIVE,Control total for the three published 2002 purpose buckets.,Never label total BODEN as bank compensation.
F09,2002,ASymmetric_pesification,ACCOUNTING_TRANSFER_RECONCILIATION,2002-12-31,Administracion_Central,Financial_entities_and_individuals,Central_government_accounts,BODEN,16183544262.11,ARS,16183.54426211,ACCOUNTING_RECONCILIATION_ENTRY,e0_cgn_cuenta_inversion_2002_tomo_i,PDF_p126_printed_117,ACCOUNTING_RECOGNITION_NOT_CASH,NON_ADDITIVE,The 2002 Account records BODEN asymmetric-pesification under transfers granted.,It is an extra-budgetary/accounting reconciliation entry and overlaps the debt program; it is not a cash-flow measure.
F10,2003,ASymmetric_pesification,DEBT_STOCK_ISSUED_AND_PLACED,2003-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_and_pagares_compensatorios,17348345,ARS_thousand_updated,17348.345,UPDATED_VALUE_AT_2003_12_31,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,Single_page_table,ISSUED_AND_PLACED_STOCK,ADD_WITHIN_ONP_2003_PURPOSES_ONLY,Official end-2003 compensation-purpose debt stock.,Stock embeds prior issuance amortization valuation and corrections; it is not a 2003 flow.
