episode_id,episode_name,t0,shock_type,variable,sector,frequency,pre_value,trough_value,trough_date,recovery_value,recovery_date,months_to_trough,months_to_recovery,benchmark_definition,source_id,source_quality,basis,method_break,status,interpretation,falsifier,notes
E0,Crisis de convertibilidad / default / salida / reordenamiento financiero,MULTIPLE_2001-12_TO_2002-06,OTHER,episode_source_map,CROSS_SECTOR,EPISODE,N/D,N/D,N/D,N/D,N/D,N/D,N/D,announcement norm publication implementation and market onset remain separate,E0_PRIMARY_SOURCE_MAP_V107.md,PRIMARY_PARTIAL,17 preserved official sources inventoried in V107,YES_SPECIAL_FINANCIAL_REORDERING,PRIMARY_MAP_PARTIAL,Primary chronology and bank/credit/deposit carriers now exist; comparable net incidence is not reconstructed.,YES_AGAINST_SINGLE_T0_AND_SIMPLE_TRANSFER,Do not use E0 to validate a causal household-to-bank transfer.
E0,Crisis de convertibilidad / default / salida / reordenamiento financiero,MULTIPLE_2001-12_TO_2002-06,OTHER,real_system_deposits,BANKS,EPISODE,N/D,-42%,2002,N/D,N/D,N/D,N/D,real change from beginning of crisis to the trough reported by BCRA,e0_bcra_bef_1s2004,PRIMARY,BCRA BEF 1S 2004 summary table,YES_SPECIAL_FINANCIAL_REORDERING,PARTIAL_BANK_STRESS,System deposits fell 42% in real terms to the trough.,YES_BANKS_IMMEDIATELY_WIN,System deposits are not household-only deposits; exact date/index bridge remains pending.
E0,Crisis de convertibilidad / default / salida / reordenamiento financiero,MULTIPLE_2001-12_TO_2002-06,OTHER,real_consolidated_net_worth,BANKS,EPISODE,N/D,-37%,2003,N/D,N/D,N/D,N/D,real change over two years reported by BCRA,e0_bcra_bef_1s2004,PRIMARY,BCRA BEF 1S 2004 summary table,YES_SPECIAL_FINANCIAL_REORDERING,PARTIAL_BANK_STRESS,Consolidated bank net worth fell 37% in real terms over two years.,YES_BANKS_IMMEDIATELY_WIN,Aggregate loss does not imply equal incidence across entities or identify the final payer.
E0,Crisis de convertibilidad / default / salida / reordenamiento financiero,MULTIPLE_2001-12_TO_2002-06,OTHER,total_irregular_financing,RISK,MONTHLY,12.545961%,21.770759%,2002-10,17.789776%,2003-12,N/D,N/D,situations 3 to 6 / total financing; within frozen workbook vintage,hist_bcra_baldethis,PRIMARY,BCRA historical detail workbook; 31 available monthly observations,YES_MISSING_2002_01_TO_2002_05,PARTIAL_NORMALIZATION,Observed irregularity peaks in October 2002 and remains 5.243815 pp above December 2001 at end-2003.,YES_FAST_FULL_RISK_RECOVERY,The peak is observed rather than proven for the five-month publication gap.
E0,Crisis de convertibilidad / default / salida / reordenamiento financiero,MULTIPLE_2001-12_TO_2002-06,OTHER,private_irregular_financing,RISK,MONTHLY,18.035634%,40.285006%,2002-10,30.777864%,2003-12,N/D,N/D,situations 3 to 6 / private nonfinancial and residents-abroad financing; within frozen workbook vintage,hist_bcra_baldethis,PRIMARY,BCRA historical detail workbook; 31 available monthly observations,YES_MISSING_2002_01_TO_2002_05,PARTIAL_NORMALIZATION,Observed private irregularity peaks in October 2002 and remains 12.742230 pp above December 2001 at end-2003.,YES_UNIFORM_PORTFOLIO_RESPONSE,Private-credit stress is materially larger than the total-financing clock.
E0,Crisis de convertibilidad / default / salida / reordenamiento financiero,MULTIPLE_2001-12_TO_2002-06,OTHER,provisions_over_irregular_portfolio,BANKS,ANNUAL,66.4%,73.8%,2002,79.2%,2003,N/D,N/D,provisions / irregular portfolio; later-report annual vintage,e0_bcra_informe_bancos_oct_2004_risk,PRIMARY,BCRA Informe sobre Bancos October 2004 statistical annex,YES_PUBLICATION_VINTAGE,BUFFER_IMPROVED,Provision coverage rises throughout 2001–2003 despite elevated irregularity.,YES_BUFFERS_ONLY_FOLLOW_FINAL_MORA,This is a stock coverage ratio and not the bad-debt charge flow.
E0,Crisis de convertibilidad / default / salida / reordenamiento financiero,MULTIPLE_2001-12_TO_2002-06,OTHER,net_irregular_exposure_to_net_worth,BANKS,ANNUAL,21.6%,17.2%,2002,11.9%,2003,N/D,N/D,irregular portfolio net of provisions / net worth; later-report annual vintage,e0_bcra_informe_bancos_oct_2004_risk,PRIMARY,BCRA Informe sobre Bancos October 2004 statistical annex,YES_PUBLICATION_VINTAGE,NET_EXPOSURE_IMPROVED,Residual credit-risk exposure relative to net worth falls by 9.7 pp between 2001 and 2003.,YES_IRREGULARITY_EQUALS_UNBUFFERED_CAPITAL_LOSS,The net-exposure clock improves while gross irregularity remains elevated.
E0,Crisis de convertibilidad / default / salida / reordenamiento financiero,MULTIPLE_2001-12_TO_2002-06,OTHER,bad_debt_charges_over_net_assets,BANKS,ANNUAL,-2.6%,-4.7%,2002,-1.1%,2003,N/D,N/D,bad-debt charges / net assets; negative result contribution,e0_bcra_informe_bancos_oct_2004_risk,PRIMARY,BCRA Informe sobre Bancos October 2004 statistical annex,YES_RESULT_CURRENCY_REGIME,LOSS_FLOW_RECOVERED,The loss flow is most adverse in 2002 and becomes smaller than its 2001 magnitude in 2003.,YES_PROVISION_STOCK_EQUALS_LOSS_FLOW,Keep result flow separate from provision balance and coverage.
E0,Crisis de convertibilidad / default / salida / reordenamiento financiero,MULTIPLE_2001-12_TO_2002-06,OTHER,liquid_assets_over_deposits,BANKS,ANNUAL,19.568750%,22.850362%,2002,29.138268%,2003,N/D,N/D,liquid assets / total deposits calculated from source stocks,e0_bcra_informe_bancos_oct_2004_risk,PRIMARY_DERIVED,Exact calculation from BCRA Informe sobre Bancos October 2004 stocks,YES_ACCOUNTING_DEFINITION,ACCOUNTING_LIQUIDITY_IMPROVED,The accounting liquidity coefficient rises by 9.569518 pp between 2001 and 2003.,YES_LIQUIDITY_EQUALS_MARKET_FUNDING_ACCESS,The coefficient does not identify stress-market funding access or entity heterogeneity.
E0,Crisis de convertibilidad / default / salida / reordenamiento financiero,MULTIPLE_2001-12_TO_2002-06,OTHER,accounting_net_worth_over_net_assets,BANKS,ANNUAL,14.947178%,14.073459%,2002,11.905343%,2003,N/D,N/D,net worth / net assets calculated from source stocks; descriptive proxy only,e0_bcra_informe_bancos_oct_2004_risk,PRIMARY_DERIVED,Exact calculation from BCRA Informe sobre Bancos October 2004 stocks,YES_NOT_REGULATORY_CAPITAL,CAPITALIZATION_PROXY_DECLINED,The accounting proxy declines by 3.041834 pp between 2001 and 2003.,YES_ACCOUNTING_PROXY_EQUALS_REGULATORY_ADEQUACY,Do not relabel this ratio as capital integration or regulatory adequacy.
