row_id,date,instrument,proved,open,source
LC178_01,15/09/1999,Contrato BID 1192/OC-AR,"existencia, monto máximo USD 100m y objetivo",cuerpo contractual completo,Resoluciones 148/2005 y 967/2006
LC178_02,05/09/2002,modificación del contrato BID,adopción de fideicomiso como seguridad jurídica adicional,texto de modificación,Resoluciones 148/2005 y 967/2006
LC178_03,26/05/2004,Contrato de Fideicomiso MyPEs II(a),suscripción por Estado; SUD fiduciaria; Credicoop y Macro Bansud IFI,contrato ejecutado y anexos,Resolución 148/2005
LC178_04,06/12/2006,Resolución 967/2006,modelo modificado de 74 hojas; incorpora Nuevo Banco Suquía como IFI,anexo expresamente no publicado,Resolución 967/2006
LC178_05,25/07/2012,Decreto 1273/2012,crea FONDYF e integra recuperos del programa 643/867/1192,conciliación de cada cuenta a la nueva afectación,Decreto 1273/2012
LC178_06,12/10 y 28/12/2012,Resolución 206/2012 + convenio,modelo público y suscripción posterior citada para extender Comité FONAPYME,ejemplar firmado y anexos operativos,Resoluciones 206/2012 y 4/2016
LC178_07,18/04/2013,Resolución 48/2013,modelo de administración BNA-FONDYF con 13 cláusulas,ejemplar efectivamente suscripto y fecha,Resolución 48/2013
LC178_08,08/08/2014-01/01/2016,"Acta 398, Res. 1417/2014 y Res. 4/2016",reasignaciones de coordinación y ejecución,Acta 398 y expediente de transferencia,Resolución 4/2016
LC178_09,31/12/2016,Cuenta de Inversión 2016,bloque bancario publicado bajo rótulo FONDYF,crosswalk formal Cuenta 2015→2016 y Cuadro 13.3,Cuenta 2016 PDF 159-161
LC178_10,04/06/2019,Decreto 400/2019,"amplía instrumentos, fideicomisos posibles y reglas de transparencia",decisión concreta aplicada al stock BID 1192 en reunión 29/08/2019,Decreto 400/2019
