scope,entities,basis,period,asset_numerator_million_ars,bank_assets_denominator_million_ars,asset_coverage_pct,completeness,meaning,can_weight_pass_flows
BANK_SYSTEM_DENOMINATOR,63 banks,BCRA_BANKS_AGGREGATE,Dec-2023,96697695.5,96697695.5,100.0,OFFICIAL_AGGREGATE,Official bank-system asset denominator.,NO
STRICT_Q4_FOUR_LEG_EXACT_TARGET_BASIS,ICBC Argentina + Banco de Valores S.A. + Banco Macro S.A.,INDIVIDUAL_ENTITY_REGULATORY,Q4-2023,10889096.4,96697695.5,11.260967847987647,ALL_FOUR_LEGS_EXACT_THREE_ENTITIES_UNCHANGED_V70,Strict eligible Q4 network coverage remains unchanged after V70 source audit; no new compatible individual 9M Annex Q recovered.,NO_RETRIEVAL_DIAGNOSTIC_ONLY
Q4_INDIVIDUAL_COUNTERPARTY_DETAIL_POINT,ICBC + Banco de Valores + Banco Macro + Galicia,INDIVIDUAL_ENTITY_REGULATORY,Q4-2023,19562178.1,96697695.5,20.230242301896432,THREE_FULL_GALICIA_PARTIAL_BCRA_LEG,Point-valued otherFI detail footprint; Galicia still lacks BCRA expense leg.,NO_RETRIEVAL_DIAGNOSTIC_ONLY
Q4_INDIVIDUAL_COUNTERPARTY_DETAIL_INCLUDING_BOUNDS,ICBC + Banco de Valores + Banco Macro + Galicia + Supervielle,INDIVIDUAL_ENTITY_REGULATORY,Q4-2023,21540472.200000003,96697695.5,22.27609674524249,THREE_FULL_GALICIA_PARTIAL_SUPERVIELLE_BOUND,Retrieval footprint including Supervielle bounds; not a point-estimate network.,NO
FY_EXACT_FOUR_LEG_SOURCE_FOOTPRINT_NOT_Q4,ICBC + Banco de Valores + Banco Macro + Banco Provincia + Banco Credicoop,INDIVIDUAL_ENTITY_REGULATORY,MIXED_Q4_AND_FY_2023,22765852.700000003,96697695.5,23.54332498027319,FY_CONTROLS_EXIST_BUT_Q4_MISSING_FOR_BAPRO_CREDICOOP,Retrieval potential only; cannot be used as Q4 network coverage.,NO
KNOWN_INDIVIDUAL_SOURCE_FOOTPRINT,ICBC + Galicia + Banco de Valores + Banco Macro + Supervielle + Banco Provincia + Banco Credicoop + Santander,INDIVIDUAL_ENTITY_REGULATORY,MIXED_Q4_FY_2023,41994319.1,96697695.5,43.42845905774456,MIXED_PERIOD_POINT_BOUND_INCOME_BOUND_AND_INCOMPLETE_LEGS,Upper retrieval footprint among entities with usable individual-source evidence including Santander recovered primary pair; not network coverage.,NO
Q4_INDIVIDUAL_PASS_INCOME_BOUND_FOOTPRINT,ICBC + Banco de Valores + Banco Macro + Galicia + Supervielle + Santander,INDIVIDUAL_ENTITY_REGULATORY,Q4-2023,30117562.8,96697695.5,31.14610192545901,THREE_FULL_GALICIA_PARTIAL_SUPERVIELLE_BOUND_SANTANDER_INCOME_BOUND,"Retrieval footprint with Santander individual Q4 pass-income counterparty bound; expenses remain unidentified, so this is not net-flow network coverage.",NO
BNA_SINGLE_TARGET_IF_Q4_EXACT_HYPOTHETICAL,current strict exact + Banco de la Nacion Argentina,INDIVIDUAL_ENTITY_REGULATORY,Q4-2023,32177348.4,96697695.5,33.27623086943163,HYPOTHETICAL_RETRIEVAL_PRIORITY_NOT_OBSERVED_Q4,Shows maximum retrieval-footprint jump if BNA 9M compatible Annex Q is recovered; not flow estimate.,NO
PUBLIC_COOP_PRIORITY_TARGETS_ASSET_FOOTPRINT,BNA + Provincia + Credicoop + Ciudad,INDIVIDUAL_ENTITY_REGULATORY_TARGET,Dec-2023 assets / Q4 target,36860971.7,96697695.5,38.1198036927364,POTENTIAL_RETRIEVAL_FOOTPRINT_ONLY,Asset footprint of four high-priority unresolved targets. Not current Q4 four-leg coverage.,NO
STRICT_PLUS_ALL_PUBLIC_COOP_PRIORITY_IF_EXACT_HYPOTHETICAL,ICBC + Valores + Macro + BNA + Provincia + Credicoop + Ciudad,INDIVIDUAL_ENTITY_REGULATORY_TARGET,Q4-2023,47750068.1,96697695.5,49.38077154072405,HYPOTHETICAL_ALL_TARGETS_EXACT,Even perfect recovery of these four targets would remain below 50% asset footprint; closed-network gate would still require more coverage/topology evidence.,NO
