control_id,source_id,pdf_pages,target,method,result,text_layer,limit
PDF180_01,e0_bo_res347_2004_full_annex_contract_v180,87,contrato + Anexos I-V,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_87_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
PDF180_02,e0_bo_res389_2005_full_annex_contract_v180,89,contrato + Anexos I-III,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_89_PAGES_VISUALLY_INSPECTED,SCAN,visual integrity; substantive limits retained
PDF180_03,e0_agn_res023_2005_fideicomisos_publicos_v180,93,relevamiento completo,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_93_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
PDF180_04,e0_agn_res160_2006_bid1192_fy2005_v180,99,auditoría y anexos,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_99_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
PDF180_05,e0_agn_res014_2010_bid1192_fy2008_v180,48,auditoría y anexos,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_48_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
PDF180_06,e0_bid_ar0127_pcr_v180,29,informe de terminación,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_29_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
PDF180_07,e0_bid_ar0127_intermediate_evaluation_v180,4,evaluación intermedia,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_4_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
PDF180_08,e0_bid_ar0127_loan_proposal_v180,4,propuesta,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_4_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
PDF180_09,e0_bcra_a4620_2007_mipymes_v180,11,reglamentación,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_11_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
PDF180_10,e0_bcra_b8920_2007_mipymes_v180,33,reglamentación/banda,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_33_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
PDF180_11,e0_bcra_b8995_2007_rates_v180,1,tasa,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_1_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
PDF180_12,e0_bcra_b9055_2007_rates_v180,1,tasa,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_1_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
PDF180_13,e0_bcra_b9056_2007_suspension_v180,1,suspensión,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_1_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
PDF180_14,e0_bcra_b9123_2007_rates_v180,1,tasa,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_1_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
PDF180_15,e0_bcra_ordered_text_mipymes_comparator_v180,64,comparador normativo,contact sheets for all pages plus selected high-resolution pages,PASS_ALL_64_PAGES_VISUALLY_INSPECTED,DIGITAL_TEXT,visual integrity; substantive limits retained
