source_id,institution,title,url,local_path,sha256,bytes,evidentiary_role,limit
e0_bo_res347_2004_full_annex_contract_v180,Boletín Oficial de la República Argentina,Resolución 347/2004 · anexo completo del modelo de fideicomiso,https://www.boletinoficial.gob.ar/detalleAviso/primera/7263053/20040513?busqueda=1&anexos=1,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bo_resolucion_347_2004_anexo_modelo_fideicomiso.pdf,ea7dd86042808296db63d141a9346757c02a48ace83500517c1f1acc58116764,577492,contract/audit/program/rate/provenance,Modelo aprobado: contrato y Anexos I-V; fechas y firmas de las partes en blanco. No es contraparte ejecutada.
e0_bo_res347_2004_notice_endpoint_v180,Boletín Oficial de la República Argentina,Detalle oficial del aviso 7263053 y Anexo 00227867,https://www.boletinoficial.gob.ar/detalleAviso/primera/7263053/20040513?busqueda=1&anexos=1,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bo_resolucion_347_2004_detalle_aviso_7263053.html,a157a367492bff8a882c569d5e0934ca0b2557bb5d640eb4b6d6f1bb275002e1,116603,contract/audit/program/rate/provenance,"Prueba procedencia del anexo, no ejecución."
e0_bo_res389_2005_full_annex_contract_v180,Boletín Oficial de la República Argentina,Resolución 389/2005 · anexo completo del modelo modificado,https://www.boletinoficial.gob.ar/detalleAviso/primera/7276817/20050711?busqueda=1&anexos=1,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bo_resolucion_389_2005_anexo_modelo_fideicomiso.pdf,d4bc767e82bbac9ae7fa3d0774610fc4538424b8c1bfee6031144139f78a08d1,5948598,contract/audit/program/rate/provenance,Modelo aprobado: contrato y Anexos I-III publicados; refiere IV-V sin incluirlos. Fecha y firmas de partes en blanco.
e0_bo_res389_2005_notice_endpoint_v180,Boletín Oficial de la República Argentina,Detalle oficial del aviso 7276817 y Anexo 00292146,https://www.boletinoficial.gob.ar/detalleAviso/primera/7276817/20050711?busqueda=1&anexos=1,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bo_resolucion_389_2005_detalle_aviso_7276817.html,5b0341fddf421ea2b078449e15e71c32905ed409ec129b9eca9a92ac7b91c3a4,140607,contract/audit/program/rate/provenance,"Prueba procedencia del anexo, no ejecución."
e0_infoleg_res747_2004_guarantee_addenda_v180,Ministerio de Economía y Producción,Resolución 747/2004 · addendas y delimitación de garantías IFI,https://servicios.infoleg.gob.ar/infolegInternet/anexos/100000-104999/101253/norma.htm,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/infoleg_norma_101253_addendas_fideicomiso.html,4d7579121842124c008d31b08920c2b97b4be6d754d824692bb383f67e3a91d6,12597,contract/audit/program/rate/provenance,Acredita que el contrato y garantía se celebraron el 26/05/2004; cada IFI garantiza su propia cartera y Macro las obligaciones del fiduciario. El anexo publicado sigue siendo modelo sin firmas.
e0_agn_res023_2005_fideicomisos_publicos_v180,Auditoría General de la Nación,Resolución 23/2005 · relevamiento de fideicomisos públicos,https://www.agn.gob.ar/sites/default/files/informes/2005_023info_0.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_res023_2005_fideicomisos_publicos.pdf,dfd7d3ac057f6d4c342b6231f60066d7770d71efff880f25d5b14f1aacf729eb,397340,contract/audit/program/rate/provenance,"Relevamiento, no auditoría de cumplimiento; registra MyPES II, contrato 26/05/2004, plazo, partes y recursos."
e0_agn_res160_2006_bid1192_fy2005_v180,Auditoría General de la Nación,Resolución 160/2006 · auditoría BID 1192 ejercicio 2005,https://www.agn.gob.ar/sites/default/files/informes/2006_160info_0.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_res160_2006_bid1192_ejercicio2005.pdf,8dcdbf05145e3e98b2b1b55bf94057eeb27b444ceacf1452f4fbe81f26ef3d8d,413016,contract/audit/program/rate/provenance,"Acredita por informe de auditoría fechas de instrumentos ejecutados, baja ejecución inicial, operaciones Macro, inactividad Credicoop y brechas de legajos/control. No sustituye contraparte firmada."
e0_agn_res014_2010_bid1192_fy2008_v180,Auditoría General de la Nación,Resolución 14/2010 · auditoría BID 1192 ejercicio 2008,https://www.agn.gob.ar/sites/default/files/informes/2010_014info_0.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_res014_2010_bid1192_ejercicio2008.pdf,cc2fafdc076d0fa1cf3788b5231d8f3bc8cffd9f0bb96d116a767b817d24c6d9,538946,contract/audit/program/rate/provenance,"Cuantifica la facilidad en pesos, tasa máxima, cierre, terminación y liquidación pendiente; dice que Res. 967/2006 no se había perfeccionado al 22/02/2008."
e0_agn_res129_2005_endpoint_gap_v180,Auditoría General de la Nación,Endpoint legado AGN 129/2005 · error de migración preservado,https://www.agn.gob.ar/sites/default/files/informes/2005_129info.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_res129_2005_current_endpoint_error.html,44512fa8043e54b55d98ca0b5fe6a2b70228cffbc138309edfca5e6ee56f4b2a,253718,contract/audit/program/rate/provenance,Control negativo: el PDF histórico no se recupera por esta ruta; no es evidencia sustantiva.
e0_agn_res129_2005_api_query_gap_v180,Auditoría General de la Nación,Consulta API AGN por resolución 129/2005 · cero registros,https://webagnapi.agn.gob.ar/api/node/informes?filter%5Bano%5D=2005&filter%5Bresolucion%5D=129&include=informe%2Cresolucion_archivo,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_api_res129_2005_bid1192.json,47e7348d1fe4ff73f42d34545e806bcf7bfd6a750a10a5ac7bd828a3680a6124,306,contract/audit/program/rate/provenance,La migración pública no devuelve el registro; ausencia de índice no prueba ausencia del informe histórico.
