"gap_id","priority","entity_or_id","role","url","expected_extension","status","method","tls_validation","warning","http_status","content_type","effective_url","local_filename","bytes","sha256","magic_ok","retrieved_utc","error"
"0","P0","BICE","FY2023 issuer","https://www.bice.com.ar/wp-content/uploads/2025/03/Memoria-y-Balance-2023.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bice.com.ar/wp-content/uploads/2025/03/Memoria-y-Balance-2023.pdf","000_P0_BICE.pdf","5951646","f6f6fb95aec9484c3e42e6acab74b6d9a13c6ea85453bf2c0d74f2f6408eda5f","True","2026-08-28T19:01:01.8023852Z",""
"1","P0","Banco CMF S.A.","official 2023 report","https://www.bancocmf.com.ar/wp-content/uploads/Anual-2023-Memoria.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bancocmf.com.ar/wp-content/uploads/Anual-2023-Memoria.pdf","001_P0_Banco_CMF_S_A.pdf","569391","c6a436d3b0ab5d572825fc6941d1bafefd68e77a67103746b99c7b3240446323","True","2026-08-28T19:01:03.5159220Z",""
"2","P0","Banco Industrial","FY2023 separated issuer","https://www.garval.sba.com.ar/images/LEGALIZADOS-BIND---2023---12---EEFF-Separados.pdf",".pdf","DOWNLOAD_OK","curl.exe --insecure","BYPASSED_WRONG_PRINCIPAL","TLS hostname verification bypassed after SEC_E_WRONG_PRINCIPAL. Binary still requires magic-byte and SHA-256 validation.","200","application/pdf","https://www.garval.sba.com.ar/images/LEGALIZADOS-BIND---2023---12---EEFF-Separados.pdf","002_P0_Banco_Industrial.pdf","4879324","1e23da89c47f19f1b6b7a074e6ef62cd60ffb086afac01c38589becd8778e78e","True","2026-08-28T19:01:05.0173125Z",""
"3","P0","Banco Provincia del Neuquén S.A.","2023 standalone/group-basis disclosure","https://apiapp.bpn.com.ar/Resources/Files/06c53b4c8d1a4285ae8685e7d02644a2.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://apiapp.bpn.com.ar/Resources/Files/06c53b4c8d1a4285ae8685e7d02644a2.pdf","003_P0_Banco_Provincia_del_Neuquén_S_A.pdf","319779","ba146a4793bce90ac50c98dc190a48f76910de437e7a2d2fb69ab5bdfa559edf","True","2026-08-28T19:01:06.8234162Z",""
"4","P0","Banco Provincia del Neuquén S.A.","FY2023 official Balance / Annex Q","https://apiapp.bpn.com.ar/Resources/Files/3c8ae1e827054171978cb213a56891df.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://apiapp.bpn.com.ar/Resources/Files/3c8ae1e827054171978cb213a56891df.pdf","004_P0_Banco_Provincia_del_Neuquén_S_A.pdf","6508873","cd17e9e424df8550a61d40f9b6f88757f93f30d3e473457f2ed9da7a6aeec230","True","2026-08-28T19:01:09.7927875Z",""
"5","P0","Banco de Formosa S.A.","9M2023 official separated package / Annex Q","https://www.bancoformosa.com.ar/Multimedios/pdfs/117571.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bancoformosa.com.ar/Multimedios/pdfs/117571.pdf","005_P0_Banco_de_Formosa_S_A.pdf","7249163","0a660361c63180c6b2c3706877c748fe198b8943a13a5e99b3c72f4df5201e1d","True","2026-08-28T19:01:13.4024795Z",""
"6","P0","Banco de Formosa S.A.","FY2023 official financial-statements package","https://www.bancoformosa.com.ar/Multimedios/pdfs/117598.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bancoformosa.com.ar/Multimedios/pdfs/117598.pdf","006_P0_Banco_de_Formosa_S_A.pdf","12285326","86f17e539912d2f8c53bf06ef175eb929ec5f78e1c8a5be9e31f6acdb48bdba7","True","2026-08-28T19:01:16.5298277Z",""
"7","P0","Banco de Formosa S.A.","official 2023 integrated report","https://www.bancoformosa.com.ar/Multimedios/pdfs/118254.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bancoformosa.com.ar/Multimedios/pdfs/118254.pdf","007_P0_Banco_de_Formosa_S_A.pdf","54536329","a3a4f91b8e3e9c668a0f572f865420de743ed09739310df77111f6b5c1b7b84e","True","2026-08-28T19:01:21.0672117Z",""
"8","P0","Banco de La Pampa S.E.M.","FY2023 official issuer Memoria/Balance Annex Q","https://www.bancodelapampa.com.ar/files/files/Dise%C3%B1o%20Memoria%20y%20Balance%20General%202023%20web.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bancodelapampa.com.ar/files/files/Dise%C3%B1o%20Memoria%20y%20Balance%20General%202023%20web.pdf","008_P0_Banco_de_La_Pampa_S_E_M.pdf","3894591","dd4917c72be07ffb3cfdc06481330233f2e5a62cce0c84dcaf67423ee8d4720d","True","2026-08-28T19:01:22.7574420Z",""
"9","P0","Banco de San Juan S.A.","30/09/2023","https://assets.ctfassets.net/e7eu92ue673r/y9IVnh4fy1BgWES0TUbmZ/468b8e783fed7b6e18bd70a9ee7bebf9/30.09.2023__SEPARADOS_.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://assets.ctfassets.net/e7eu92ue673r/y9IVnh4fy1BgWES0TUbmZ/468b8e783fed7b6e18bd70a9ee7bebf9/30.09.2023__SEPARADOS_.pdf","009_P0_Banco_de_San_Juan_S_A.pdf","1021552","99608f0261fb255dff814078661d6ef6f7ee2944bbe0beb5a19ac99bef0d380e","True","2026-08-28T19:01:23.2368082Z",""
