id,url,resultado_2026_08_30,documento_local_o_recuperacion,observacion
1,https://dequesetrata.org/nacional/congreso/proyectos/01cd44c8-66eb-4477-aca2-9917327914d2,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/3368-D-2026.pdf,Índice secundario del expediente 3368-D-2026; se siguió y conservó la fuente oficial
2,https://dequesetrata.org/nacional/congreso/proyectos/d34c1267-4acc-4269-ba77-250349c89999,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/3170-D-2026.pdf,Índice secundario del expediente 3170-D-2026; se siguió y conservó la fuente oficial
3,https://es.scribd.com/document/1012412417/104457,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/0396-D-2026.pdf,Copia secundaria; se usó el PDF oficial de Diputados
4,https://es.scribd.com/document/1055787345/PROYECTO-DE-LEY-DESENDEUDAMIENTO,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/0386-D-2026.pdf,Copia secundaria; se usó el PDF oficial de Diputados
5,https://hcdn.gob.ar/comisiones/permanentes/cdconsumidor/proyecto.html?exp=6705-D-2025,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/6705-D-2025.pdf,Página y documento oficial recuperados
6,https://tn.com.ar/politica/2026/08/21/la-oposicion-busca-abrir-el-debate-en-diputados-por-el-endeudamiento-de-las-familias-y-ya-hay-35-proyectos/,ABIERTO,,Contexto periodístico; no sustituye textos ni datos oficiales
7,https://tn.com.ar/politica/2026/08/26/diputados-la-oposicion-convoco-a-una-sesion-especial-para-tratar-la-emergencia-en-discapacidad-y-proyectos-sobre-endeudamiento-fa/,ABIERTO,,Contexto parlamentario periodístico
8,https://tn.com.ar/politica/2026/08/26/diputados-la-oposicion-no-pudo-incluir-sus-proyectos-para-aliviar-la-deuda-de-las-familias-pero-pedira-una-sesion-especial/,ABIERTO,,Contexto parlamentario periodístico
9,https://www.hcdn.gob.ar/comisiones/permanentes/cdconsumidor/listado-proyectos.html,FALLO_LECTOR,,El servidor devolvió 502 al lector web; los expedientes individuales de la comisión sí fueron abiertos
10,https://www.hcdn.gob.ar/comisiones/permanentes/cdconsumidor/proyecto.html?exp=0396-D-2026,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/0396-D-2026.pdf,Página y documento oficial recuperados
11,https://www.hcdn.gob.ar/comisiones/permanentes/cdconsumidor/proyecto.html?exp=0529-D-2026,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/0529-D-2026.pdf,Página y documento oficial recuperados
12,https://www.hcdn.gob.ar/comisiones/permanentes/cdconsumidor/proyecto.html?exp=1396-D-2026,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/1396-D-2026.pdf,Página y documento oficial recuperados
13,https://www.hcdn.gob.ar/comisiones/permanentes/cdconsumidor/proyecto.html?exp=4695-D-2025,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/4695-D-2025.pdf,Página y documento oficial recuperados
14,https://www.hcdn.gob.ar/comisiones/permanentes/cdconsumidor/proyecto.html?exp=4848-D-2025,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/4848-D-2025.pdf,Página y documento oficial recuperados
15,https://www.hcdn.gob.ar/comisiones/permanentes/cdconsumidor/proyecto.html?exp=5136-D-2025,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/5136-D-2025.pdf,Página y documento oficial recuperados
16,https://www.hcdn.gob.ar/comisiones/permanentes/cfinanzas/listado-proyectos.html,FALLO_LECTOR,,El servidor devolvió 502 al lector web; los expedientes individuales de la comisión sí fueron abiertos
17,https://www.hcdn.gob.ar/comisiones/permanentes/cfinanzas/proyecto.html?exp=4040-D-2026,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/4040-D-2026.pdf,Página y documento oficial recuperados
