episode,variable_family,quality,primary_source_present,physical_source_preserved,comparable,gap,next_action
E0_2001_2003,shock,N/D,NO,NO,NO,"t0, announcement, implementation and market-onset chronology absent","Build BCRA/official legal source map before assigning t0"
E0_2001_2003,households,N/D,NO,NO,NO,"comparable wages, poverty, employment, deposits and household-incidence branch absent","Inventory INDEC and official household series/vintages"
E0_2001_2003,credit,N/D,PARTIAL,PARTIAL,NO,"one long-run rate workbook exists but stocks, terms, restructuring and debtor incidence are not mapped","Inventory BCRA credit/debtor publications and pesification treatment"
E0_2001_2003,risk,N/D,NO,NO,NO,"mora, provisions, write-offs and solvency sequence not reconstructed","Locate BCRA bank reports, memories and balance data"
E0_2001_2003,banks,N/D,NO,NO,NO,"bank losses, compensation, capital, liquidity and recovery clocks not reconstructed","Map BCRA, issuer statements and AGN primary sources"
E0_2001_2003,state_bcra,N/D,NO,NO,NO,"legal mechanisms and fiscal incidence not catalogued mechanism by mechanism","Map laws, decrees, BCRA communications and compensation instruments"
E1_2008_2009,shock,SUPPORTED,PARTIAL,PARTIAL,YES_CONTROL_ONLY,"exact common t0 and sensitivity table not imported","Freeze external-shock t0 and retain as control"
E1_2008_2009,households,SUPPORTED,PARTIAL,PARTIAL,YES_CONTROL_ONLY,"underlying household window should be re-indexed in the common schema","Import V31 control-series pointers without changing falsifier status"
E1_2008_2009,credit,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"common credit bridge not reconstructed","Add stocks/rates only if method-compatible"
E1_2008_2009,risk,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"common mora/provision sequence not frozen","Build only as falsification control"
E1_2008_2009,banks,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"heterogeneous response not in a common accounting bridge","Do not infer uniform bank sign"
E1_2008_2009,state_bcra,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"policy incidence not normalized","Map only if needed for control interpretation"
E2_2014,shock,SUPPORTED,YES,YES,YES,"announcement/implementation/t0 sensitivity needs one row","Freeze official event chronology"
E2_2014,households,SUPPORTED,YES,YES,YES,"registered vs broad recovery clocks remain separate","Import exact series vintages into common windows"
E2_2014,credit,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"all-in realized cost and bridge quantities incomplete","Recover compatible stock/rate/origination series"
E2_2014,risk,SUPPORTED,YES,YES,YES,"cohort detail absent","Retain threshold sensitivity and provision caveat"
E2_2014,banks,SUPPORTED,YES,YES,YES,"descriptive abnormal bridge is not causal","Keep pretrend and securities-led falsifier explicit"
E2_2014,state_bcra,PRIMARY,YES,YES,YES,"net incidence of each measure not fully quantified","Index A5590 and related official sources"
E3_2015_2016,shock,NOT_COMPARABLE,NO,NO,NO,"episode is a regulatory laboratory, not a single shock","Do not manufacture a common t0"
E3_2015_2016,households,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"borrower cost effects not systemically quantified","Reuse matched-product work and keep net welfare N/D"
E3_2015_2016,credit,SUPPORTED,YES,PARTIAL,YES_REGULATORY,"matched pre/post panel gate incomplete","Extend historical transparency/product pairs if available"
E3_2015_2016,risk,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"insurance risk transfer amount incomplete","Separate mechanical risk shift from net bank profit"
E3_2015_2016,banks,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"systemic profit effect N/D","Do not infer sign from regulation alone"
E3_2015_2016,state_bcra,PRIMARY,YES,PARTIAL,YES_REGULATORY,"physical preservation/cross-index must be rechecked","Catalog A5853 and A5928 primary texts"
E4_2018_2019,shock,SUPPORTED,YES,YES,YES,"May t0 has pretrend sensitivity","Freeze announcement, market and household-onset alternatives"
E4_2018_2019,households,EXACT,YES,YES,YES,"common income recovery clocks need vintage audit","Reuse EPH buffers and preserve series distinctions"
E4_2018_2019,credit,PARTIAL,YES,YES,PARTIAL,"originations and realized all-in cost not complete","Build compatible credit bridge"
E4_2018_2019,risk,SUPPORTED,YES,YES,YES,"first link fails under May t0","Retain negative lag and later-threshold rows"
E4_2018_2019,banks,SUPPORTED,YES,YES,PARTIAL,"NIIF break and strong pretrend","Keep descriptive abnormal range only"
E4_2018_2019,state_bcra,PRIMARY,YES,YES,YES,"policy bundle incidence remains heterogeneous","Index limits, reserve requirements and social floors separately"
E5_2020_2021,shock,SUPPORTED,YES,PARTIAL,NO_SPECIAL_REGIME,"health onset and policy dates require explicit regime fields","Build only a special-regime branch"
E5_2020_2021,households,PARTIAL,YES,PARTIAL,NO_SPECIAL_REGIME,"extraordinary transfers and labor restrictions alter comparability","Do not pool without controls"
E5_2020_2021,credit,NOT_COMPARABLE,YES,PARTIAL,NO_SPECIAL_REGIME,"forbearance and emergency rules","Document rule changes before values"
E5_2020_2021,risk,NOT_COMPARABLE,YES,PARTIAL,NO_SPECIAL_REGIME,"portfolio classification discontinuities","Mark breaks explicitly"
E5_2020_2021,banks,NOT_COMPARABLE,YES,PARTIAL,NO_SPECIAL_REGIME,"accounting and regulatory discontinuities","No direct recovery-clock comparison"
