claim,status,strength,notes
A5928_HOUSEHOLD_COST_REMOVAL,SUPPORTED,HIGH,Carried from V39.
A5928_BANK_DIRECT_COST_SHIFT,SUPPORTED,HIGH,Carried from V39.
A5928_BANK_SERVICE_RESULT_SYSTEM_DIRECTION,SUPPORTED,HIGH,BCRA IEF + monetary reports.
A5928_SUPERVIELLE_B2_QUANTIFIED,SUPPORTED_AS_REPORTED_SINGLE_GROUP,MEDIUM_HIGH,-AR$9.1m / -18.8% QoQ explicitly attributed.
A5928_HIPOTECARIO_TARGETED_PREMIUM_DIRECTION,SUPPORTED_REGULATORY_SEQUENCE,MEDIUM_HIGH,2015-2016 reforms negatively affected debtor-life premiums; no separate A5928 amount.
A5928_MULTI_GROUP_BANK_CHANNEL_DIRECTION,SUPPORTED_QUALITATIVELY,MEDIUM_HIGH,BCRA + Supervielle + Hipotecario.
A5928_MULTI_GROUP_BANK_CHANNEL_QUANTIFICATION,NOT_ESTABLISHED,N/D,Only Supervielle meets explicit attributed-amount gate.
A5928_TOTAL_INSURANCE_FEES_PROXY,REJECTED,HIGH,Mixed with non-credit insurance; Supervielle Q4 demonstrates this.
A5928_INSURANCE_SEGMENT_NET_INCOME_PROXY,REJECTED,HIGH,Galicia/BBVA show portfolio growth and offsetting products.
A5928_TOTAL_SERVICE_FEE_PROXY,REJECTED,HIGH,Macro total fees mix many categories; insurance embedded in Other/JV.
A5928_PORTFOLIO_SUBSTITUTION,SUPPORTED,MEDIUM_HIGH,Hipotecario explicitly says other products compensated debtor-life decline; Supervielle Q4 similar.
A5928_BANK_OWN_GROSS_REVENUE_MAGNITUDE,N/D,NOT_IDENTIFIED,Three-layer caveat remains.
A5928_BANK_NET_PROFIT_EFFECT,N/D,NOT_IDENTIFIED,No isolated counterfactual.
A5928_MULTI_BANK_PERSONAL_MECHANISM,SUPPORTED,HIGH,Carried from V39.
A5928_STRICT_3_BANK_MATCHED_PREPOST,UNRESOLVED_ARCHIVE_LIMIT,N/D,Carried from V39.
DELIBERATE_HOUSEHOLD_TO_BANK_COORDINATION,NOT_UPDATED,N/D,No implication.
