bank,date,salary_credit,segment,rate_type,term_months,tna_pct,cft_with_insurance_tax_pct,cft_with_insurance_no_tax_pct,cft_without_insurance_tax_pct,cft_without_insurance_no_tax_pct,insurance_component_tax_pp,insurance_component_no_tax_pp,declared_insurance_monthly_pct,simple_annualization_pp,source_rate_sheet,identity_support,design_label
HSBC Bank Argentina,2016-08-04,CON_HABERES,Premier Black,Fija,6-60,36.50,46.14,38.50,44.11,36.46,2.03,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,CON_HABERES,Premier Black,Variable,6-60,29.00,37.09,31.01,35.05,28.97,2.04,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,CON_HABERES,Premier,Fija,6-60,38.50,48.56,40.49,46.52,38.45,2.04,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,CON_HABERES,Premier,Variable,6-60,34.00,43.13,36.00,41.09,33.96,2.04,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,CON_HABERES,Advance,Fija,6-60,42.00,52.78,43.99,50.75,41.95,2.03,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,CON_HABERES,Advance,Variable,6-60,36.00,45.54,38.00,43.50,35.96,2.04,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,CON_HABERES,Personal Banking,Fija,6-60,44.50,55.80,46.48,53.76,44.44,2.04,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,CON_HABERES,Personal Banking,Variable,6-60,40.00,50.37,41.99,48.33,39.95,2.04,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,SIN_HABERES,Premier Black,Fija,6-60,36.50,47.35,39.49,45.31,37.46,2.04,2.03,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,SIN_HABERES,Premier Black,Variable,6-60,29.00,39.50,33.01,37.46,30.97,2.04,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,SIN_HABERES,Premier,Fija,6-60,41.00,51.58,42.99,49.54,40.95,2.04,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,SIN_HABERES,Premier,Variable,6-60,36.00,45.54,38.00,43.50,35.96,2.04,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,SIN_HABERES,Advance,Fija,6-60,43.00,53.99,44.98,51.95,42.95,2.04,2.03,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,SIN_HABERES,Advance,Variable,6-60,38.00,47.95,39.99,45.92,37.95,2.03,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,SIN_HABERES,Personal Banking,Fija,6-60,44.50,55.80,46.48,53.76,44.44,2.04,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
HSBC Bank Argentina,2016-08-04,SIN_HABERES,Personal Banking,Variable,6-60,40.00,50.37,41.99,48.33,39.95,2.04,2.04,0.17,2.04,https://studylib.es/doc/2771347/anexo-de-tasas-de-pr%C3%A9stamos-personales,https://esdocs.com/doc/1065975/t%C3%A9rminos-y-condiciones-de-productos-de-retail-banking,PRE_INTERNAL_SAME_TNA_COUNTERFACTUAL
