claim,status,strength,notes
A5928_RULE_REMOVES_USER_INSURANCE_CHARGE,SUPPORTED,HIGH,Primary regulation
A5928_AGGREGATE_DIRECTIONAL_FIRST_STAGE,SUPPORTED,HIGH,BCRA Sep report: CFT down with TNA ~42.6 stable
A5928_DAILY_TNA_NO_COLLAPSE,SUPPORTED_DESCRIPTIVE,HIGH_DATA,Aug daily mean 42.3768 vs Sep 42.6091; +0.2323 pp
A5928_COLUMBIA_MATCHED_PERSONAL_LOAN,SUPPORTED_SINGLE_BANK,MEDIUM_HIGH,"V34, 23 clean matched products"
A5928_HSBC_PRE_INTERNAL_COUNTERFACTUAL,SUPPORTED,HIGH_MECHANICAL,16 same-date/same-TNA comparisons; insurance adds ~2.04 pp CFT
A5928_BBVA_POST_PERSONAL_CLEAN,SUPPORTED_POST_ONLY,HIGH,V36 primary Sep/Nov PDFs
A5928_MULTI_BANK_PERSONAL_MECHANISM,SUPPORTED,HIGH,Columbia matched + HSBC internal counterfactual + BBVA clean post + BCRA aggregate
A5928_MULTI_BANK_PERSONAL_IMPLEMENTATION,SUPPORTED_DOCUMENTARY_PLUS_PRICING,HIGH,V36
A5928_MULTI_BANK_PERSONAL_MATCHED_PREPOST,PENDING,N/D,Strict gate still only Columbia
A5928_SYSTEMWIDE_PERSONAL_LOAN_DIRECTION,SUPPORTED_DIRECTIONALLY_NOT_MAGNITUDE,HIGH,BCRA aggregate plus cross-bank product evidence
A5928_SYSTEMWIDE_MAGNITUDE,N/D,N/D,No compatible post volumes/CFT distribution
A5928_BANK_NET_PROFIT_EFFECT,N/D,N/D,Incidence shift != net-profit effect
DELIBERATE_HOUSEHOLD_TO_BANK_COORDINATION,NOT_UPDATED,N/D,Not inferable from this episode
