claim,status,strength,notes
A5928_RULE_REMOVES_USER_INSURANCE_CHARGE,SUPPORTED,HIGH,A5928 primaria
A5928_AGGREGATE_DIRECTIONAL_FIRST_STAGE,SUPPORTED,HIGH,BCRA Sep-2016: TNA personales 42.6 estable y CFT menor por seguro
A5928_COLUMBIA_MATCHED_PERSONAL_LOAN,SUPPORTED_SINGLE_BANK,MEDIUM_HIGH,V34
A5928_MULTI_BANK_CROSS_PRODUCT_DIRECTION,SUPPORTED_MULTI_BANK,MEDIUM_HIGH,V35
A5928_BBVA_POST_PERSONAL_CLEAN,SUPPORTED_POST_ONLY,HIGH,Sep+Nov PDFs primarios; residuo ~0.06 pp
A5928_MULTI_BANK_PERSONAL_IMPLEMENTATION,SUPPORTED_DOCUMENTARY_PLUS_PRICING,HIGH,Columbia+BBVA+Galicia+Santander+Macro+Coinag+NBCH
A5928_MULTI_BANK_PERSONAL_MATCHED_PREPOST,PENDING,N/D,Sólo Columbia tiene par inmediato homogéneo
A5928_PROMOTIONAL_METADATA_LAG,PRESENT,HIGH,BBVA/ICBC prueban riesgo de copy rezagado
A5928_TRUE_POST_RULE_NONCOMPLIANCE,N/D,N/D,Requiere billing/contrato/tarifario específico post
A5928_SYSTEMWIDE_PERSONAL_LOAN_DIRECTION,SUPPORTED_DIRECTIONALLY_NOT_MAGNITUDE,MEDIUM_HIGH,BCRA agregado + docs; sin panel ponderable
A5928_SYSTEMWIDE_MAGNITUDE,N/D,N/D,Sin volumen compatible post
A5928_BANK_NET_PROFIT_EFFECT,N/D,N/D,Costo absorbido != utilidad neta
DELIBERATE_HOUSEHOLD_TO_BANK_COORDINATION,NOT_UPDATED,N/D,No inferible
