source_id,institution,artifact,url,local_path,sha256,bytes,period_coverage,variable_families,primary_source,preserved,method_breaks,use_status,caveat
bcra_personales_tasas,BCRA,Tasas mensuales de préstamos,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/preser_tas.xls,/data/fuentes/tasas/bcra/preser_tas.xls,063ba84b46b8c57162d3c9a87c722b2dc8cd3ca37a98c16105b55a4e5f4b9f53,21674496,2001-01/2003-12; 39 filas E0,credit_rates,YES,YES,Com. A2097 hasta 2001-12; Com. A2803 desde 2002-01,USABLE_WITH_BREAK,Tasas ponderadas por monto; definición y universo deben conservarse.
hist_bcra_baldethis,BCRA,Detalle histórico de balances y resultados,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/baldethis.xls,/data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_baldethis.xls,e57b0dd852a71de0398ecf676b03f31d3bf89207faf97300f918e6a5c86295e0,1577472,2001-01/2003-12; 39 filas E0,banks;risk;credit;capital;results,YES,YES,moneda constante 2002-01/2003-02; exclusiones/revocaciones; imputación del último dato; transferencias a fideicomisos,USABLE_WITH_BREAKS,No agrega entidades ni meses sin documentar exclusiones; no homogeneizar automáticamente resultados nominales/reexpresados.
hist_bcra_perser_priv,BCRA,Préstamos y depósitos privados por tipo de titular,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_priv.xls,/data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_perser_priv.xls,9ccfe325c9ad0e61f9480d119fa268ff0b35756f8e993c49a3e9361518ea07b7,1047040,2001-01/2003-12; 39/40 observaciones según hoja,households;credit;deposits,YES,YES,capital/principal sin intereses ni ajustes; imputación de no clasificado; CEDROS incluidos,USABLE_WITH_BREAKS,"Permite separar personas físicas y jurídicas, pero no identifica bienestar, pérdida real ni titularidad económica final."
hist_bcra_perser_pub,BCRA,Préstamos y depósitos públicos por jurisdicción,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_pub.xls,/data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_perser_pub.xls,d7af3f66aa1fb99e42b62d8c37ed3282ec43d255fbc2b549ae153384f60ce744,2678784,2001-01/2003-12; 39 filas E0,state_bcra;credit;deposits,YES,YES,capital/principal sin intereses ni ajustes; imputación de no clasificado,USABLE_WITH_BREAKS,No sustituye la contabilidad fiscal ni la conciliación de compensaciones.
hist_bcra_titpubser,BCRA,Tenencias bancarias de títulos públicos por emisor,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/titpubser.xls,/data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_titpubser.xls,fb5da58f3cb4179ba039fcb5a576a8f819fa5ab8227d8d12bd7996cd32b0123a,922112,2001-01/2003-12; 40 observaciones E0,banks;state_bcra;public_securities,YES,YES,incluye créditos por compensaciones; cambio contable 2003-08 por canje provincial,USABLE_WITH_BREAKS,"Stock contable no equivale a transferencia neta realizada; separar valuación, devengamiento, emisión y cobro."
hist_bcra_din3_ser,BCRA,TXT diario de activos principales títulos y préstamos,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din3_ser.txt,/data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_din3_ser.txt,23c615a3e980b1edc989e5b5b533cc4c1d02b833ce36b0d7564a12ede70584a9,22896971,diario desde 1996; cubre E0,banks;credit;public_securities,YES,YES,códigos y cambios metodológicos aún no normalizados,PRESERVED_INDEX_PENDING,988471 líneas; requiere diccionario/código y pruebas de continuidad antes de medir.
hist_bcra_din4_ser,BCRA,TXT diario de pasivos principales y depósitos,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din4_ser.txt,/data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_din4_ser.txt.zip,5077091065b6ef0e3509f71f5b39b024cd6e1349403e0d8ade098edbbb77c9b4,13825733,diario; cubre E0,banks;households;deposits,YES,YES,códigos y cambios metodológicos aún no normalizados,PRESERVED_ARCHIVE_INDEX_PENDING,ZIP GitHub-safe; TXT restaurable de 56141985 bytes y SHA ba88bb6aeb80500ce1a5d8241628444abdb2a808be6974c56d901ebfd3b50bb8.
e0_bcra_estados_contables_2001_notas,BCRA,Estados contables 2001 · notas,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/e2001notas.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v107/binaries/bcra_estados_contables_2001_notas.pdf,b8757edb497a599661448cfb5a8f0f0dcdeba19d57dc938472aa44556866ac4b,83671,2001,shock;state_bcra;banks;deposits,YES,YES,regímenes cambiario y contable extraordinarios,USABLE_DOCUMENTARY,Describe mecanismos y opciones; no cuantifica por sí solo incidencia neta.
e0_bcra_informe_congreso_2002,BCRA,Informe al Congreso 2002,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/inf2002.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v107/binaries/bcra_informe_congreso_2002.pdf,203afdc58e20172cf3737519e777d257e06d7d79adc8cdc948d4d28ff2062024,3047360,2001-2002,shock;state_bcra;banks;compensation,YES,YES,cronología por anuncio norma implementación y contabilidad,USABLE_DOCUMENTARY,Fuente institucional; contrastar diseño y contabilidad con realización fiscal y auditorías.
e0_bcra_informe_congreso_2003,BCRA,Informe al Congreso 2003,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/inf2003.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v107/binaries/bcra_informe_congreso_2003.pdf,cf969b24217e4d34087e31cbb0abe7c1b773e514694d717afc2b699e169b11a1,3129790,2003,banks;state_bcra;recovery,YES,YES,fuentes PDF con codificación no extraíble limpiamente,PRESERVED_VISUAL_INDEX_PENDING,Autenticado visualmente; no se incorporan cifras hasta indexación verificable.
e0_bcra_bef_1s2004,BCRA,Boletín de Estabilidad Financiera · 1S 2004,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/bef0104e.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v107/binaries/bcra_bef_1s2004.pdf,15f22f1a95dacb512f61c91ad9144a6fef32c5518e580373afd1bb3aa546a03a,1235278,2001-2003,banks;deposits;capital;results;state_bcra,YES,YES,valores reales; piso y período de comparación específicos,USABLE_DOCUMENTARY_QUANT,Las cifras agregadas no identifican hogar individual ni beneficio neto de cada banco.
e0_infoleg_decreto_1570_2001,Poder Ejecutivo Nacional,Decreto 1570/2001,https://servicios.infoleg.gob.ar/infolegInternet/anexos/70000-74999/70355/texact.htm,/research/ciclo_ajuste/inputs/historical_retrieval/v107/binaries/infoleg_decreto_1570_2001.html,0b76605f7738bb40e8e55a122dd3dbf64fcf2adaa87388b69185039fe9901aca,18528,2001-12,shock;deposits;payments,YES,YES,texto actualizado contiene modificaciones posteriores,USABLE_LEGAL,Conservar fecha de la norma y vigencia de cada disposición; no usar como único t0.
e0_infoleg_ley_25561,Congreso de la Nación,Ley 25561,https://servicios.infoleg.gob.ar/infolegInternet/anexos/70000-74999/71477/texact.htm,/research/ciclo_ajuste/inputs/historical_retrieval/v107/binaries/infoleg_ley_25561.html,7767d20cba27e165581d8787982334eb439db05356907716fd0b0a381d0795e6,30832,2002-01,shock;state_bcra;exchange_regime,YES,YES,texto actualizado y prórrogas,USABLE_LEGAL,Marco de emergencia; no reemplaza fechas de anuncio mercado o implementación.
e0_infoleg_decreto_214_2002,Poder Ejecutivo Nacional,Decreto 214/2002,https://servicios.infoleg.gob.ar/infolegInternet/anexos/70000-74999/72017/texact.htm,/research/ciclo_ajuste/inputs/historical_retrieval/v107/binaries/infoleg_decreto_214_2002.html,097907208b444b2ad5d27058550818222f7dc99b94882df7cf691f0537e2c1fd,34471,2002-02,state_bcra;banks;credit;deposits;pesification,YES,YES,aclaraciones excepciones y normas complementarias,USABLE_LEGAL,Asimetría legal no identifica por sí sola quién soportó el costo final.
e0_infoleg_decreto_471_2002,Poder Ejecutivo Nacional,Decreto 471/2002,https://servicios.infoleg.gob.ar/infolegInternet/anexos/70000-74999/72885/norma.htm,/research/ciclo_ajuste/inputs/historical_retrieval/v107/binaries/infoleg_decreto_471_2002.html,7605ce0db5fd64b3f946faa7237527d2aaef0c05602476eaa6be42666a42fdf5,18831,2002-03,state_bcra;public_debt;banks,YES,YES,efectos referidos al Decreto 214/2002 y excepciones posteriores,USABLE_LEGAL,Requiere puente con tenencias bancarias y contabilidad fiscal.
