search_id,target,route,result,public_body_found,status,permitted_inference,forbidden_inference
EX133_01,S01:0342455/2008,búsqueda web exacta general,Sólo norma InfoLEG/Argentina.gob.ar y reproducción en Boletín Oficial,NO,NORM_ONLY,El expediente existía al dictarse la norma.,El cuerpo fue destruido o no existe.
EX133_02,S01:0342455/2008,argentina.gob.ar; boletinoficial.gob.ar; economia.gob.ar,"Ningún índice, foja, listado ONCP o comprobante adicional localizado",NO,OFFICIAL_PUBLIC_ROUTES_EXHAUSTED,El cuerpo no está recuperado en las rutas públicas consultadas.,No hubo preadjudicación o liquidación.
EX133_03,S01:0342455/2008,Resolución Conjunta 212/2008-24/2008,ONCP produce listado; DADP conserva documentación; Caja y BCRA intervienen en liquidación,PROCEDURE_ONLY,EXACT_RECORD_PRODUCER_MAP,"El pedido puede dirigirse por objeto, productor y custodio.",El procedimiento prueba la ejecución de las diez filas.
EX133_04,SIGADE/SIDIF 2008,CGN 2004/2008/2010 + AGN 124/2022,La desagregación SIDIF/C-41 existe en ejercicios comparadores y SIGADE se concilia con SIDIF,FORMAT_AND_SYSTEM_ONLY,REQUEST_FEASIBILITY_DEMONSTRATED,Es razonable pedir submayor y comprobantes por claves exactas.,Los importes anuales corresponden al programa de recompra.
EX133_05,S01:0342455/2008,Página oficial Economía Consulta de expedientes → COMDOC pre-09/2016,Ruta histórica exacta identificada; endpoint COMDOC rechazó conexión,NO_QUERY_NOT_COMPLETED,LEGACY_INDEX_EXACT_ENDPOINT_UNAVAILABLE,La búsqueda debe cubrir COMDOC y archivo heredado.,Endpoint caído equivale a inexistencia documental.
EX133_06,Anexos AGN T3/T4 2009,Senado OV 366/09 y OV 44/10; Bicameral Revisora,"Metadatos de ingreso, comisión y archivo exactos; texto original en proceso de carga",METADATA_ONLY,PARLIAMENTARY_ARCHIVE_ROUTE_EXACT_BODY_OPEN,El pedido puede usar expedientes y destino archivístico exactos.,El anexo fue destruido o no contenía el proyecto 48 0237/09.
EX134_07,FindDoc capability,Agenda Digital Argentina pp.206-207,Esquema de salida y arquitectura exactos,DESIGN_SPEC,ROUTE_METADATA_CAPABILITY_PROVED,El índice histórico mostraba pases y ubicación.,Mostraba el cuerpo.
EX134_08,S01:0130656/2008,AGN Informe 254/2013,Consulta real al endpoint con estado y ubicación al 05/03/2013,CONTROL_QUERY_METADATA,HISTORIC_OPERATIONAL_CONTROL,FindDoc funcionaba para un S01/2008.,Responde por el target.
EX134_09,S01:0342455/2008,canales oficiales alternativos Economía,"Email, teléfono y atención presencial identificados; no contactados",NO,ADMINISTRATIVE_ROUTE_READY_NOT_SENT,Puede pedirse exportación de hoja de ruta.,La consulta fue presentada.
EX134_10,Nota Bicameral 18/05/2012,inventario actual Senado + sumario HCDN 23/05/2012,Contexto de archivo masivo; cuerpo exacto no localizado,CONTEXT_ONLY,PUBLIC_INVENTORY_EXHAUSTED_EXACT_NOTE_OPEN,El pedido puede dirigirse al contacto actual con dos OV exactos.,Los expedientes fueron parte del lote de Cámara o fueron destruidos.
