jurisdiccion,jurisdiccion_corta,tipo_legislatura,bancas_diputados_o_unica,bancas_senado,bancas_total_ficha_dne,intendencias_ficha_dne,legisladores_nominales_incorporados,estado_nominal,fuente_nominal_url,estado_ruta_ddjj
Buenos Aires,Buenos Aires,Bicameral,92,46,138,135,138,nómina oficial incorporada,https://www.hcdiputados-ba.gov.ar/index.php?page=diputados&search=seccionBloques,ruta provincial por relevar
Catamarca,Catamarca,Bicameral,41,16,57,36,0,pendiente de fuente nominal,,ruta provincial por relevar
Chaco,Chaco,Unicameral,32,0,32,70,0,pendiente de fuente nominal,,ruta provincial por relevar
Chubut,Chubut,Unicameral,27,0,27,47,0,pendiente de fuente nominal,,ruta provincial por relevar
Ciudad Autónoma de Buenos Aires,CABA,Unicameral,60,0,60,0,60,nómina oficial incorporada,https://www.legislatura.gob.ar/seccion/composicion-actual.html,listado DJPI 2025 publicado; cruce nominal pendiente
Córdoba,Córdoba,Unicameral,70,0,70,259,70,nómina oficial incorporada,https://legislaturacba.gob.ar/composicion-de-la-camara/,ruta oficial localizada; cruce nominal pendiente
Corrientes,Corrientes,Bicameral,30,15,45,74,0,pendiente de fuente nominal,,ruta provincial por relevar
Entre Ríos,Entre Ríos,Bicameral,34,17,51,83,0,pendiente de fuente nominal,,ruta provincial por relevar
Formosa,Formosa,Unicameral,30,0,30,37,0,pendiente de fuente nominal,,ruta provincial por relevar
Jujuy,Jujuy,Unicameral,48,0,48,28,0,pendiente de fuente nominal,,ruta provincial por relevar
La Pampa,La Pampa,Unicameral,30,0,30,61,0,pendiente de fuente nominal,,ruta provincial por relevar
La Rioja,La Rioja,Unicameral,36,0,36,18,0,pendiente de fuente nominal,,ruta provincial por relevar
Mendoza,Mendoza,Bicameral,48,38,86,18,0,pendiente de fuente nominal,,ruta provincial por relevar
Misiones,Misiones,Unicameral,40,0,40,78,40,nómina oficial incorporada,https://www.diputadosmisiones.gov.ar/nuevo/diputados,ruta provincial por relevar
Neuquén,Neuquén,Unicameral,35,0,35,26,0,pendiente de fuente nominal,,ruta provincial por relevar
Río Negro,Río Negro,Unicameral,46,0,46,39,46,nómina oficial incorporada,https://web.legisrn.gov.ar/institucional/legisladores,ruta provincial por relevar
Salta,Salta,Bicameral,60,23,83,60,0,pendiente de fuente nominal,,ruta provincial por relevar
San Juan,San Juan,Unicameral,36,0,36,19,0,pendiente de fuente nominal,,ruta provincial por relevar
San Luis,San Luis,Bicameral,43,9,52,66,0,pendiente de fuente nominal,,ruta provincial por relevar
Santa Cruz,Santa Cruz,Unicameral,24,0,24,15,0,pendiente de fuente nominal,,ruta provincial por relevar
Santa Fe,Santa Fe,Bicameral,50,19,69,56,69,nómina oficial incorporada,https://diputadossantafe.gov.ar/web/camara/diputados,ruta provincial por relevar
Santiago del Estero,Santiago del Estero,Unicameral,40,0,40,28,0,pendiente de fuente nominal,,ruta provincial por relevar
Tierra del Fuego,Tierra del Fuego,Unicameral,15,0,15,3,0,pendiente de fuente nominal,,ruta provincial por relevar
Tucumán,Tucumán,Unicameral,49,0,49,19,0,pendiente de fuente nominal,,ruta provincial por relevar
