persona_id,persona,nivel_cargo,jurisdiccion,estado_revision,oa_nombre,oa_person_key,anios,presentaciones_seleccionadas,anios_misma_institucion,organismos,cargos,senal_preclasificacion,publicable,motivo_no_publicacion
dip-alvarez-claudio,Claudio Álvarez,Diputados nacionales,San Luis,identidad_confirmada_cruce_oficial,ALVAREZ CLAUDIO ARIEL,93406d770418f0f6,2023,1,2023,UNION TRABAJADORES GASTRONOMICO R A SECC SAN LUI,DIPUTADO NACIONAL,candidato_misma_institucion,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-alvarez-claudio,Claudio Álvarez,Diputados nacionales,San Luis,identidad_confirmada_cruce_oficial,ALVAREZ CLAUDIO DE JESUS,d41feb55ee051445,2017|2018|2019|2020|2021|2022|2023,7,,GENDARMERIA NACIONAL,JEFE DIVISION LOGISTICA | OFICIAL JEFE | JEFE DIVISION LOGISTICA AGR XII COMAHUE | VOCAL TITULAR COMISION DE RECEPCION REGION V | VOCAL TITULAR COMISIÓN DE RECEPCIÓN REGIÓN V | OFICIAL JEFE GENDARMERIA,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-alvarez-claudio,Claudio Álvarez,Diputados nacionales,San Luis,identidad_confirmada_cruce_oficial,ALVAREZ CLAUDIO IVAN FERNANDO,e38f31a8e7950d76,2017,1,,LOTERIA NACIONAL SOCIEDAD DEL ESTADO,SUBGERENTE COMERCIAL,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-farias-pablo,Pablo Farías,Diputados nacionales,Santa Fe,identidad_confirmada_cruce_oficial,FARIAS PABLO ADRIAN,0895190a660243ec,2020,1,,SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENT,TECNICO GENERAL,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-farias-pablo,Pablo Farías,Diputados nacionales,Santa Fe,identidad_confirmada_cruce_oficial,FARIAS PABLO GUSTAVO,716bae744f13a4c6,2024,1,2024,,DIPUTADO NACIONAL,candidato_misma_institucion,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-farias-pablo,Pablo Farías,Diputados nacionales,Santa Fe,identidad_confirmada_cruce_oficial,FARIAS PABLO ANDRES,bd2796c406ce1305,2017|2018|2019|2020|2021|2022|2023,7,,FUERZA AEREA ARGENTINA,COMODORO,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE,06d41b06983ab1fb,2017,1,,,,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE RAFAEL,0c14f591f517b887,2020|2021|2022|2023,4,,INTERCARGO SOCIEDAD ANONIMA UNIPERSONAL,EMPLEADO | EMPLEADO DE PLANTA,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE RAUL,1099603b8d782eae,2017|2018|2019|2020|2021|2022|2023|2024,8,,SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENT,INSPECTOR VETERINARIO,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE ALEJANDRO,2da5fda9f77a4e41,2017|2018|2019|2020|2021,5,,GENDARMERIA NACIONAL,MIEMBRO TITULAR DE LA COMISION DE RECEPCION | MIEMBRO TITULAR COMISION DE RECEPCION AGR VI FSA,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
